time,Oklahoma City,pts.away,score,pts.home,San Antonio
8:12.0,,,61-64,,P. Gasol misses 2-pt shot from 15 ft
8:12.0,Defensive rebound by Team,,61-64,,
8:02.0,R. Westbrook misses 3-pt shot from 24 ft,,61-64,,
7:57.0,,,61-64,,Defensive rebound by P. Mills
7:54.0,,,61-64,,Turnover by P. Mills (bad pass; steal by P. George)
7:49.0,P. George misses 2-pt shot at rim (block by D. Green),,61-64,,
7:45.0,,,61-64,,Defensive rebound by D. Murray
7:41.0,,,61-64,,Shooting foul by R. Westbrook (drawn by L. Aldridge)
7:41.0,,,61-65,1,L. Aldridge makes free throw 1 of 2
7:41.0,,,61-66,1,L. Aldridge makes free throw 2 of 2
7:30.0,Turnover by R. Westbrook (bad pass; steal by D. Murray),,61-66,,
7:24.0,,,61-66,,P. Mills misses 3-pt shot from 25 ft
7:22.0,Defensive rebound by R. Westbrook,,61-66,,
7:19.0,C. Brewer makes 2-pt shot from 1 ft (assist by C. Anthony),2,63-66,,
7:19.0,,,63-66,,Violation by D. Green (def goaltending)
6:59.0,,,63-66,,D. Green misses 3-pt shot from 25 ft
6:55.0,Defensive rebound by S. Adams,,63-66,,
6:51.0,P. George misses 3-pt shot from 25 ft,,63-66,,
6:49.0,,,63-66,,Defensive rebound by P. Gasol
6:31.0,,,63-66,,P. Mills misses 3-pt shot from 24 ft
6:26.0,Defensive rebound by C. Brewer,,63-66,,
6:11.0,C. Anthony misses 2-pt shot from 21 ft,,63-66,,
6:05.0,,,63-66,,Defensive rebound by D. Murray
5:53.0,,,63-66,,L. Aldridge misses 2-pt shot from 15 ft
5:50.0,,,63-66,,Offensive rebound by D. Murray
5:49.0,,,63-66,,Turnover by L. Aldridge (bad pass)
5:49.0,,,63-66,,M. Ginobili enters the game for P. Mills
5:35.0,Shooting foul by D. Green (drawn by C. Brewer),,63-66,,
5:35.0,C. Brewer makes free throw 1 of 2,1,64-66,,
5:35.0,,,64-66,,T. Parker enters the game for D. Murray
5:35.0,,,64-66,,R. Gay enters the game for P. Gasol
5:35.0,C. Brewer makes free throw 2 of 2,1,65-66,,
5:12.0,,,65-66,,L. Aldridge misses 2-pt shot from 13 ft
5:08.0,Defensive rebound by R. Westbrook,,65-66,,
5:05.0,R. Westbrook misses 2-pt shot from 1 ft,,65-66,,
5:04.0,Offensive rebound by S. Adams,,65-66,,
5:04.0,S. Adams makes 2-pt shot at rim,2,67-66,,
5:04.0,,,67-66,,San Antonio full timeout
4:47.0,,,67-66,,R. Gay misses 2-pt shot from 23 ft
4:44.0,Defensive rebound by R. Westbrook,,67-66,,
4:32.0,R. Westbrook makes 2-pt shot from 1 ft,2,69-66,,
4:08.0,,,69-66,,T. Parker misses 3-pt shot from 23 ft
4:05.0,Defensive rebound by P. George,,69-66,,
4:02.0,C. Brewer makes 2-pt shot from 1 ft,2,71-66,,
3:49.0,Violation by P. George (kicked ball),,71-66,,
3:42.0,,,71-68,2,T. Parker makes 2-pt shot from 16 ft
3:20.0,P. George makes 2-pt shot from 2 ft (assist by C. Anthony),2,73-68,,
3:20.0,Shooting foul by L. Aldridge (drawn by P. George),,73-68,,
3:20.0,,,73-68,,P. Gasol enters the game for L. Aldridge
3:20.0,P. George makes free throw 1 of 1,1,74-68,,
3:00.0,,,74-71,3,M. Ginobili makes 3-pt shot from 24 ft (assist by T. Parker)
2:45.0,Shooting foul by D. Green (drawn by R. Westbrook),,74-71,,
2:45.0,R. Westbrook makes free throw 1 of 2,1,75-71,,
2:45.0,J. Grant enters the game for C. Brewer,,75-71,,
2:45.0,T. Ferguson enters the game for C. Anthony,,75-71,,
2:45.0,R. Westbrook makes free throw 2 of 2,1,76-71,,
2:37.0,Personal foul by P. George (drawn by M. Ginobili),,76-71,,
2:37.0,R. Felton enters the game for R. Westbrook,,76-71,,
2:20.0,,,76-74,3,M. Ginobili makes 3-pt shot from 23 ft (assist by P. Gasol)
1:58.0,R. Felton makes 2-pt shot from 10 ft,2,78-74,,
1:40.0,,,78-74,,D. Green misses 3-pt shot from 22 ft
1:37.0,Defensive rebound by S. Adams,,78-74,,
1:31.0,P. George misses 2-pt shot from 16 ft,,78-74,,
1:25.0,,,78-74,,Defensive rebound by M. Ginobili
1:23.0,,,78-74,,M. Ginobili misses 3-pt shot from 26 ft
1:23.0,Defensive rebound by S. Adams,,78-74,,
1:09.0,R. Felton makes 3-pt shot from 25 ft,3,81-74,,
0:58.0,Personal foul by J. Grant (drawn by R. Gay),,81-74,,
0:58.0,P. Patterson enters the game for S. Adams,,81-74,,
0:51.0,,,81-74,,P. Gasol misses 2-pt shot from 2 ft
0:47.0,Defensive rebound by P. George,,81-74,,
0:35.0,R. Felton misses 3-pt shot from 25 ft,,81-74,,
0:31.0,,,81-74,,Defensive rebound by P. Gasol
0:13.0,,,81-77,3,R. Gay makes 3-pt shot from 24 ft (assist by T. Parker)
0:02.0,T. Ferguson misses 3-pt shot from 24 ft,,81-77,,
0:02.0,,,81-77,,Defensive rebound by R. Gay
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,P. George misses 2-pt shot from 2 ft,,81-77,,
11:41.0,,,81-77,,Defensive rebound by D. Green
11:31.0,,,81-80,3,D. Green makes 3-pt shot from 26 ft (assist by P. Gasol)
11:08.0,R. Felton misses 2-pt shot from 17 ft,,81-80,,
11:05.0,,,81-80,,Defensive rebound by M. Ginobili
10:54.0,,,81-80,,Shooting foul by P. George (drawn by M. Ginobili)
10:54.0,,,81-80,,M. Ginobili misses free throw 1 of 3
10:54.0,,,81-80,,Offensive rebound by Team
10:54.0,,,81-81,1,M. Ginobili makes free throw 2 of 3
10:54.0,,,81-82,1,M. Ginobili makes free throw 3 of 3
10:42.0,,,81-82,,Personal foul by M. Ginobili (drawn by P. Patterson)
10:42.0,,,81-82,,P. Mills enters the game for M. Ginobili
10:34.0,P. Patterson makes 3-pt shot from 24 ft (assist by R. Felton),3,84-82,,
10:15.0,,,84-82,,Turnover by R. Gay (traveling)
10:15.0,A. Abrines enters the game for P. George,,84-82,,
9:55.0,T. Ferguson misses 3-pt shot from 24 ft,,84-82,,
9:51.0,,,84-82,,Defensive rebound by P. Gasol
9:46.0,Personal foul by R. Felton (drawn by R. Gay),,84-82,,
9:32.0,,,84-82,,R. Gay misses 2-pt shot from 12 ft
9:29.0,,,84-82,,Offensive rebound by P. Gasol
9:22.0,Personal foul by T. Ferguson (drawn by P. Gasol),,84-82,,
9:22.0,,,84-82,,D. Murray enters the game for T. Parker
9:22.0,R. Westbrook enters the game for T. Ferguson,,84-82,,
9:17.0,Personal foul by R. Felton (drawn by P. Mills),,84-82,,
9:03.0,,,84-82,,D. Murray misses 2-pt shot from 19 ft
9:03.0,,,84-82,,Offensive rebound by Team
9:03.0,,,84-82,,Turnover by Team (shot clock)
8:45.0,R. Felton misses 2-pt shot from 19 ft,,84-82,,
8:41.0,,,84-82,,Defensive rebound by D. Green
8:27.0,,,84-82,,P. Gasol misses 2-pt shot from 6 ft
8:25.0,Defensive rebound by R. Westbrook,,84-82,,
8:22.0,R. Felton misses 3-pt shot from 24 ft,,84-82,,
8:18.0,,,84-82,,Defensive rebound by D. Murray
8:05.0,,,84-85,3,D. Green makes 3-pt shot from 25 ft (assist by D. Murray)
7:44.0,Shooting foul by D. Murray (drawn by A. Abrines),,84-85,,
7:44.0,A. Abrines misses free throw 1 of 2,,84-85,,
7:44.0,Offensive rebound by Team,,84-85,,
7:44.0,,,84-85,,L. Aldridge enters the game for D. Green
7:44.0,,,84-85,,D. Bertans enters the game for P. Gasol
7:44.0,,,84-85,,K. Anderson enters the game for R. Gay
7:44.0,S. Adams enters the game for P. Patterson,,84-85,,
7:44.0,A. Abrines makes free throw 2 of 2,1,85-85,,
7:20.0,,,85-85,,L. Aldridge misses 2-pt shot from 6 ft
7:17.0,Defensive rebound by R. Felton,,85-85,,
7:13.0,S. Adams misses 2-pt shot from 3 ft (block by D. Bertans),,85-85,,
7:10.0,,,85-85,,Defensive rebound by D. Murray
7:08.0,,,85-85,,P. Mills misses 3-pt shot from 25 ft
7:03.0,Defensive rebound by R. Felton,,85-85,,
6:52.0,,,85-85,,Personal foul by P. Mills (drawn by R. Westbrook)
6:52.0,C. Brewer enters the game for R. Felton,,85-85,,
6:52.0,,,85-85,,San Antonio full timeout
6:44.0,R. Westbrook misses 2-pt shot from 1 ft,,85-85,,
6:44.0,,,85-85,,Defensive rebound by Team
6:33.0,C. Anthony enters the game for J. Grant,,85-85,,
6:33.0,,,85-85,,Turnover by Team (turnover)
6:14.0,R. Westbrook misses 2-pt shot from 1 ft,,85-85,,
6:12.0,Offensive rebound by S. Adams,,85-85,,
6:11.0,A. Abrines misses 3-pt shot from 25 ft,,85-85,,
6:08.0,,,85-85,,Defensive rebound by D. Murray
6:01.0,Personal foul by C. Brewer (drawn by D. Murray),,85-85,,
6:01.0,,,85-85,,D. Murray misses free throw 1 of 2
6:01.0,,,85-85,,Offensive rebound by Team
6:01.0,Oklahoma City full timeout,,85-85,,
6:01.0,P. George enters the game for A. Abrines,,85-85,,
6:01.0,,,85-86,1,D. Murray makes free throw 2 of 2
5:49.0,R. Westbrook makes 2-pt shot from 18 ft,2,87-86,,
5:27.0,,,87-88,2,K. Anderson makes 2-pt shot from 1 ft (assist by D. Bertans)
5:05.0,P. George misses 2-pt shot from 19 ft,,87-88,,
5:02.0,,,87-88,,Defensive rebound by L. Aldridge
4:48.0,Violation by C. Brewer (kicked ball),,87-88,,
4:37.0,,,87-91,3,P. Mills makes 3-pt shot from 24 ft (assist by D. Bertans)
4:19.0,R. Westbrook misses 2-pt shot from 2 ft (block by L. Aldridge),,87-91,,
4:17.0,Offensive rebound by S. Adams,,87-91,,
4:16.0,Turnover by S. Adams (bad pass; steal by P. Mills),,87-91,,
4:13.0,,,87-94,3,D. Bertans makes 3-pt shot from 25 ft (assist by P. Mills)
3:43.0,C. Brewer misses 3-pt shot from 22 ft,,87-94,,
3:41.0,,,87-94,,Defensive rebound by D. Bertans
