time,Toronto,pts.away,score,pts.home,New Orleans
2:10.0,K. Lowry makes free throw 2 of 2,1,121-105,,
1:56.0,,,121-108,3,J. Nelson makes 3-pt shot from 25 ft (assist by D. Miller)
1:38.0,S. Ibaka makes 2-pt shot from 2 ft (assist by K. Lowry),2,123-108,,
1:25.0,,,123-111,3,D. Miller makes 3-pt shot from 24 ft (assist by C. Cooke)
1:08.0,Turnover by S. Ibaka (step out of bounds),,123-111,,
1:08.0,P. Siakam enters the game for K. Lowry,,123-111,,
1:08.0,,,123-112,1,D. Miller makes free throw 1 of 1
0:46.0,,,123-114,2,D. Miller makes 2-pt shot from 21 ft (assist by J. Nelson)
0:28.0,,,123-114,,Personal foul by D. Miller (drawn by S. Ibaka)
0:28.0,S. Ibaka makes free throw 1 of 2,1,124-114,,
0:28.0,J. Poeltl enters the game for J. Valanciunas,,124-114,,
0:28.0,S. Ibaka makes free throw 2 of 2,1,125-114,,
0:19.0,,,125-114,,Shooting foul by S. Ibaka (drawn by J. Jones)
0:19.0,,,125-115,1,J. Jones makes free throw 1 of 2
0:19.0,,,125-116,1,J. Jones makes free throw 2 of 2
