time,Utah,pts.away,score,pts.home,New York
0:27.0,Turnover by D. Mitchell (bad pass),,98-102,,
0:27.0,,,98-102,,New York full timeout
0:27.0,,,98-102,,D. McDermott enters the game for L. Thomas
0:19.0,Personal take foul by D. Mitchell (drawn by T. Hardaway),,98-102,,
0:19.0,,,98-102,,L. Thomas enters the game for D. McDermott
0:19.0,A. Burks enters the game for R. Rubio,,98-102,,
0:19.0,,,98-103,1,T. Hardaway makes free throw 1 of 2
0:19.0,,,98-104,1,T. Hardaway makes free throw 2 of 2
0:12.0,R. Hood misses 3-pt shot from 25 ft,,98-104,,
0:09.0,,,98-104,,Defensive rebound by F. Ntilikina
0:07.0,,,98-104,,F. Ntilikina misses 2-pt shot from 1 ft
0:06.0,Defensive rebound by R. Hood,,98-104,,
0:01.0,R. Hood makes 3-pt shot from 26 ft,3,101-104,,
0:00.0,Personal take foul by D. Mitchell (drawn by T. Hardaway),,101-104,,
0:00.0,E. Udoh enters the game for J. Ingles,,101-104,,
0:00.0,,,101-105,1,T. Hardaway makes free throw 1 of 2
0:00.0,,,101-106,1,T. Hardaway makes free throw 2 of 2
