time,Oklahoma City,pts.away,score,pts.home,Washington
7:31.0,,,82-83,,M. Morris enters the game for T. Frazier
7:31.0,C. Anthony enters the game for P. Patterson,,82-83,,
7:31.0,A. Abrines makes free throw 2 of 2,1,83-83,,
7:14.0,,,83-83,,B. Beal misses 2-pt shot from 16 ft
7:11.0,Defensive rebound by R. Westbrook,,83-83,,
7:08.0,R. Westbrook misses 3-pt shot from 25 ft,,83-83,,
7:04.0,,,83-83,,Defensive rebound by M. Scott
6:55.0,,,83-86,3,M. Scott makes 3-pt shot from 26 ft (assist by B. Beal)
6:43.0,A. Abrines makes 3-pt shot from 26 ft (assist by R. Westbrook),3,86-86,,
6:29.0,,,86-86,,Turnover by B. Beal (bad pass; steal by R. Westbrook)
6:27.0,R. Westbrook misses 2-pt shot from 3 ft (block by B. Beal),,86-86,,
6:27.0,Offensive rebound by Team,,86-86,,
6:27.0,,,86-86,,Washington full timeout
6:24.0,Turnover by C. Anthony (bad pass; steal by O. Porter),,86-86,,
6:04.0,,,86-86,,M. Scott misses 3-pt shot from 26 ft
6:01.0,Defensive rebound by C. Anthony,,86-86,,
5:45.0,A. Abrines misses 3-pt shot from 27 ft,,86-86,,
5:41.0,Offensive rebound by S. Adams,,86-86,,
5:38.0,S. Adams makes 2-pt shot from 1 ft,2,88-86,,
5:16.0,,,88-86,,K. Oubre misses 2-pt shot from 3 ft (block by J. Huestis)
5:13.0,Defensive rebound by A. Abrines,,88-86,,
5:09.0,C. Anthony misses 2-pt shot from 17 ft,,88-86,,
5:04.0,,,88-86,,Defensive rebound by M. Morris
4:58.0,,,88-86,,K. Oubre misses 3-pt shot from 25 ft
4:55.0,Defensive rebound by C. Anthony,,88-86,,
4:46.0,C. Anthony makes 2-pt shot from 1 ft,2,90-86,,
4:45.0,,,90-86,,Washington full timeout
4:45.0,,,90-86,,M. Gortat enters the game for K. Oubre
4:45.0,,,90-86,,T. Satoransky enters the game for M. Scott
4:45.0,P. George enters the game for A. Abrines,,90-86,,
4:20.0,,,90-88,2,O. Porter makes 2-pt shot at rim (assist by B. Beal)
4:00.0,R. Westbrook misses 2-pt shot from 3 ft,,90-88,,
4:00.0,,,90-88,,Defensive rebound by Team
3:41.0,,,90-90,2,M. Morris makes 2-pt shot from 13 ft (assist by B. Beal)
3:20.0,R. Westbrook misses 3-pt shot from 27 ft,,90-90,,
3:15.0,,,90-90,,Defensive rebound by M. Gortat
2:55.0,,,90-90,,T. Satoransky misses 3-pt shot from 26 ft
2:51.0,Defensive rebound by S. Adams,,90-90,,
2:35.0,C. Anthony makes 2-pt shot from 3 ft,2,92-90,,
2:20.0,,,92-92,2,M. Morris makes 2-pt shot from 2 ft (assist by T. Satoransky)
1:59.0,S. Adams makes 2-pt shot from 6 ft (assist by R. Westbrook),2,94-92,,
1:39.0,,,94-92,,M. Gortat misses 2-pt shot from 2 ft
1:38.0,Defensive rebound by R. Westbrook,,94-92,,
1:34.0,C. Anthony misses 3-pt shot from 25 ft,,94-92,,
1:30.0,,,94-92,,Defensive rebound by T. Satoransky
1:29.0,Personal foul by S. Adams (drawn by B. Beal),,94-92,,
1:22.0,,,94-94,2,O. Porter makes 2-pt shot from 17 ft
1:05.0,R. Westbrook makes 2-pt shot from 2 ft,2,96-94,,
0:56.0,,,96-96,2,B. Beal makes 2-pt shot from 2 ft
0:39.0,Turnover by J. Huestis (bad pass; steal by T. Satoransky),,96-96,,
0:39.0,Personal foul by J. Huestis (drawn by T. Satoransky),,96-96,,
0:39.0,,,96-97,1,T. Satoransky makes free throw 1 of 2
0:39.0,,,96-98,1,T. Satoransky makes free throw 2 of 2
0:39.0,Oklahoma City full timeout,,96-98,,
0:31.0,C. Anthony misses 2-pt shot from 14 ft,,96-98,,
0:28.0,,,96-98,,Defensive rebound by O. Porter
0:28.0,Personal take foul by S. Adams (drawn by O. Porter),,96-98,,
0:28.0,,,96-99,1,O. Porter makes free throw 1 of 2
0:28.0,,,96-100,1,O. Porter makes free throw 2 of 2
0:28.0,Oklahoma City full timeout,,96-100,,
0:27.0,,,96-100,,Personal foul by T. Satoransky (drawn by R. Westbrook)
0:24.0,C. Anthony misses 3-pt shot from 23 ft,,96-100,,
0:22.0,Offensive rebound by J. Huestis,,96-100,,
0:17.0,J. Huestis misses 2-pt shot from 3 ft,,96-100,,
0:17.0,,,96-100,,Defensive rebound by M. Gortat
0:17.0,Personal foul by J. Huestis (drawn by M. Morris),,96-100,,
0:17.0,,,96-101,1,M. Morris makes free throw 1 of 2
0:17.0,,,96-102,1,M. Morris makes free throw 2 of 2
0:11.0,C. Anthony misses 3-pt shot from 25 ft,,96-102,,
0:05.0,,,96-102,,Defensive rebound by O. Porter
