time,Philadelphia,pts.away,score,pts.home,Dallas
11:30.0,J. Embiid misses 3-pt shot from 25 ft,,57-56,,
11:30.0,,,57-56,,Defensive rebound by D. Smith
11:22.0,,,57-59,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by W. Matthews)
11:05.0,Turnover by B. Simmons (bad pass; steal by D. Smith),,57-59,,
10:58.0,,,57-59,,Turnover by D. Smith (lost ball; steal by D. Saric)
10:54.0,B. Simmons makes 2-pt shot from 1 ft,2,59-59,,
10:41.0,Personal foul by J. Bayless (drawn by D. Smith),,59-59,,
10:41.0,,,59-59,,Y. Ferrell enters the game for N. Noel
10:29.0,,,59-62,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Smith)
10:12.0,D. Saric makes 3-pt shot from 25 ft (assist by B. Simmons),3,62-62,,
10:00.0,,,62-62,,D. Nowitzki misses 3-pt shot from 24 ft
9:57.0,Defensive rebound by B. Simmons,,62-62,,
9:50.0,R. Covington makes 3-pt shot from 22 ft (assist by J. Embiid),3,65-62,,
9:22.0,,,65-65,3,Y. Ferrell makes 3-pt shot from 22 ft
9:05.0,J. Embiid makes 2-pt shot at rim (assist by B. Simmons),2,67-65,,
8:40.0,,,67-68,3,H. Barnes makes 3-pt shot from 24 ft
8:28.0,J. Embiid makes 3-pt shot from 25 ft (assist by B. Simmons),3,70-68,,
8:09.0,,,70-68,,Turnover by Y. Ferrell (bad pass)
8:09.0,,,70-68,,N. Noel enters the game for Y. Ferrell
8:09.0,T. McConnell enters the game for D. Saric,,70-68,,
8:01.0,Turnover by J. Embiid (step out of bounds),,70-68,,
7:51.0,,,70-68,,D. Smith misses 3-pt shot from 24 ft
7:48.0,Defensive rebound by R. Covington,,70-68,,
7:41.0,J. Embiid misses 3-pt shot from 25 ft,,70-68,,
7:38.0,,,70-68,,Defensive rebound by H. Barnes
7:29.0,,,70-68,,Shooting foul by J. Embiid (drawn by N. Noel)
7:29.0,,,70-69,1,N. Noel makes free throw 1 of 2
7:29.0,A. Johnson enters the game for J. Embiid,,70-69,,
7:29.0,,,70-70,1,N. Noel makes free throw 2 of 2
7:19.0,B. Simmons misses 2-pt shot from 16 ft,,70-70,,
7:16.0,,,70-70,,Defensive rebound by W. Matthews
7:02.0,,,70-72,2,D. Smith makes 2-pt shot from 1 ft (assist by D. Nowitzki)
7:02.0,,,70-72,,Shooting foul by A. Johnson (drawn by D. Smith)
7:02.0,,,70-72,,Y. Ferrell enters the game for D. Nowitzki
7:02.0,T. Luwawu-Cabarrot enters the game for J. Bayless,,70-72,,
7:02.0,,,70-73,1,D. Smith makes free throw 1 of 1
6:54.0,T. McConnell makes 2-pt shot from 14 ft,2,72-73,,
6:35.0,Shooting block foul by R. Covington (drawn by W. Matthews),,72-73,,
6:35.0,,,72-73,,Dallas full timeout
6:35.0,,,72-74,1,W. Matthews makes free throw 1 of 2
6:35.0,,,72-74,,W. Matthews misses free throw 2 of 2
6:32.0,Defensive rebound by B. Simmons,,72-74,,
6:13.0,T. McConnell makes 2-pt shot from 17 ft,2,74-74,,
5:52.0,,,74-74,,H. Barnes misses 2-pt shot from 14 ft
5:52.0,Defensive rebound by A. Johnson,,74-74,,
5:43.0,R. Covington misses 3-pt shot from 28 ft,,74-74,,
5:43.0,,,74-74,,Defensive rebound by W. Matthews
5:29.0,,,74-74,,H. Barnes misses 2-pt shot from 18 ft
5:26.0,Defensive rebound by R. Covington,,74-74,,
5:17.0,R. Covington misses 2-pt shot from 10 ft,,74-74,,
5:15.0,,,74-74,,Defensive rebound by N. Noel
5:06.0,,,74-76,2,Y. Ferrell makes 2-pt shot from 2 ft
4:47.0,B. Simmons makes 2-pt shot from 3 ft,2,76-76,,
4:33.0,,,76-76,,H. Barnes misses 3-pt shot from 22 ft
4:33.0,Defensive rebound by T. Luwawu-Cabarrot,,76-76,,
4:12.0,A. Johnson misses 3-pt shot from 25 ft,,76-76,,
4:10.0,,,76-76,,Turnover by W. Matthews (bad pass; steal by T. McConnell)
4:09.0,,,76-76,,Offensive rebound by W. Matthews
4:07.0,T. McConnell makes 2-pt shot from 3 ft,2,78-76,,
3:38.0,,,78-76,,H. Barnes misses 3-pt shot from 25 ft
3:38.0,Defensive rebound by T. McConnell,,78-76,,
3:28.0,R. Covington makes 2-pt shot from 1 ft (assist by T. McConnell),2,80-76,,
3:10.0,,,80-76,,Offensive charge foul by D. Smith (drawn by T. McConnell)
3:10.0,,,80-76,,Turnover by D. Smith (offensive foul)
3:10.0,,,80-76,,J. Barea enters the game for D. Smith
3:10.0,,,80-76,,D. Harris enters the game for N. Noel
3:10.0,,,80-76,,D. Powell enters the game for Y. Ferrell
3:00.0,Turnover by T. McConnell (bad pass; steal by W. Matthews),,80-76,,
2:48.0,,,80-76,,D. Powell misses 2-pt shot from 18 ft
2:44.0,Defensive rebound by Team,,80-76,,
2:44.0,Philadelphia full timeout,,80-76,,
2:44.0,J. Bayless enters the game for A. Johnson,,80-76,,
2:44.0,J. Anderson enters the game for B. Simmons,,80-76,,
2:44.0,J. Embiid enters the game for R. Covington,,80-76,,
2:44.0,D. Saric enters the game for T. Luwawu-Cabarrot,,80-76,,
2:36.0,,,80-76,,Personal foul by D. Powell (drawn by J. Embiid)
2:29.0,D. Saric makes 3-pt shot from 25 ft (assist by T. McConnell),3,83-76,,
2:10.0,,,83-76,,J. Barea misses 3-pt shot from 24 ft
2:07.0,Defensive rebound by J. Embiid,,83-76,,
2:03.0,J. Anderson makes 3-pt shot from 25 ft (assist by T. McConnell),3,86-76,,
1:50.0,Personal foul by J. Anderson (drawn by W. Matthews),,86-76,,
1:50.0,,,86-77,1,W. Matthews makes free throw 1 of 2
1:50.0,,,86-78,1,W. Matthews makes free throw 2 of 2
1:33.0,J. Bayless makes 3-pt shot from 24 ft (assist by J. Embiid),3,89-78,,
1:14.0,,,89-78,,Turnover by D. Powell (step out of bounds)
1:14.0,,,89-78,,D. Nowitzki enters the game for W. Matthews
1:14.0,,,89-78,,Y. Ferrell enters the game for H. Barnes
1:00.0,D. Saric misses 2-pt shot from 17 ft,,89-78,,
0:57.0,,,89-78,,Defensive rebound by D. Powell
0:36.0,,,89-78,,J. Barea misses 2-pt shot from 12 ft
0:33.0,Defensive rebound by J. Anderson,,89-78,,
0:26.0,J. Embiid misses 2-pt shot from 14 ft,,89-78,,
0:23.0,,,89-78,,Defensive rebound by D. Harris
0:11.0,,,89-78,,D. Powell misses 2-pt shot from 2 ft
0:10.0,,,89-78,,Offensive rebound by D. Powell
0:08.0,,,89-78,,Y. Ferrell misses 3-pt shot from 24 ft
0:08.0,Defensive rebound by J. Embiid,,89-78,,
0:01.0,D. Saric misses 3-pt shot from 25 ft,,89-78,,
0:01.0,Offensive rebound by J. Bayless,,89-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Turnover by J. Embiid (lost ball; steal by Y. Ferrell),,89-78,,
11:39.0,,,89-81,3,J. Barea makes 3-pt shot from 24 ft (assist by D. Nowitzki)
11:16.0,D. Saric misses 2-pt shot from 11 ft,,89-81,,
11:13.0,,,89-81,,Defensive rebound by D. Harris
11:06.0,,,89-84,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by D. Harris)
11:06.0,Philadelphia full timeout,,89-84,,
10:55.0,,,89-84,,Personal foul by D. Nowitzki (drawn by B. Simmons)
10:46.0,J. Anderson misses 3-pt shot from 25 ft,,89-84,,
10:46.0,Offensive rebound by Team,,89-84,,
10:46.0,,,89-84,,Loose ball foul by Y. Ferrell (drawn by D. Saric)
10:36.0,D. Saric misses 2-pt shot from 7 ft,,89-84,,
10:31.0,Offensive rebound by J. Embiid,,89-84,,
10:31.0,J. Embiid misses 2-pt shot at rim,,89-84,,
10:30.0,,,89-84,,Defensive rebound by D. Powell
10:28.0,,,89-84,,D. Nowitzki misses 3-pt shot from 25 ft
10:28.0,,,89-84,,Offensive rebound by D. Harris
10:12.0,,,89-84,,Shooting foul by D. Saric (drawn by D. Powell)
10:12.0,,,89-85,1,D. Powell makes free throw 1 of 2
10:12.0,,,89-85,,D. Powell misses free throw 2 of 2
10:10.0,Defensive rebound by J. Embiid,,89-85,,
9:55.0,J. Anderson misses 2-pt shot from 4 ft,,89-85,,
9:52.0,Offensive rebound by J. Anderson,,89-85,,
9:50.0,Turnover by J. Embiid (bad pass; steal by Y. Ferrell),,89-85,,
9:39.0,,,89-87,2,J. Barea makes 2-pt shot from 12 ft
9:28.0,,,89-87,,Personal foul by D. Harris (drawn by B. Simmons)
9:28.0,A. Johnson enters the game for J. Anderson,,89-87,,
9:28.0,R. Covington enters the game for J. Embiid,,89-87,,
9:21.0,B. Simmons makes 2-pt shot at rim (assist by D. Saric),2,91-87,,
8:54.0,,,91-89,2,Y. Ferrell makes 2-pt shot at rim (assist by D. Powell)
8:38.0,R. Covington misses 3-pt shot from 25 ft,,91-89,,
8:35.0,,,91-89,,Defensive rebound by J. Barea
8:15.0,,,91-89,,J. Barea misses 3-pt shot from 23 ft
8:12.0,Defensive rebound by A. Johnson,,91-89,,
8:07.0,J. Bayless misses 3-pt shot from 24 ft,,91-89,,
8:05.0,Offensive rebound by Team,,91-89,,
8:05.0,T. McConnell enters the game for D. Saric,,91-89,,
8:03.0,J. Bayless makes 2-pt shot from 1 ft (assist by B. Simmons),2,93-89,,
7:59.0,,,93-89,,Dallas full timeout
7:59.0,,,93-89,,D. Smith enters the game for D. Powell
7:59.0,,,93-89,,W. Matthews enters the game for Y. Ferrell
7:59.0,,,93-89,,N. Noel enters the game for D. Harris
7:59.0,,,93-89,,H. Barnes enters the game for D. Nowitzki
7:43.0,,,93-92,3,J. Barea makes 3-pt shot from 24 ft (assist by D. Smith)
7:13.0,B. Simmons makes 2-pt shot from 11 ft,2,95-92,,
6:46.0,,,95-92,,D. Smith misses 3-pt shot from 25 ft
6:45.0,Defensive rebound by T. McConnell,,95-92,,
6:39.0,A. Johnson makes 2-pt shot from 1 ft (assist by T. McConnell),2,97-92,,
6:22.0,,,97-94,2,D. Smith makes 2-pt shot from 2 ft
5:59.0,B. Simmons misses 2-pt shot from 18 ft,,97-94,,
5:58.0,,,97-94,,Defensive rebound by Team
5:58.0,D. Saric enters the game for J. Bayless,,97-94,,
5:58.0,T. Luwawu-Cabarrot enters the game for B. Simmons,,97-94,,
5:38.0,,,97-96,2,D. Smith makes 2-pt shot from 2 ft
5:28.0,,,97-96,,Personal foul by W. Matthews (drawn by R. Covington)
5:28.0,J. Embiid enters the game for A. Johnson,,97-96,,
5:15.0,R. Covington misses 2-pt shot from 2 ft,,97-96,,
5:14.0,Offensive rebound by R. Covington,,97-96,,
5:12.0,T. Luwawu-Cabarrot makes 3-pt shot from 25 ft (assist by T. McConnell),3,100-96,,
4:53.0,,,100-96,,Turnover by J. Barea (bad pass; steal by R. Covington)
4:49.0,Shooting foul by N. Noel (drawn by J. Embiid),,100-96,,
4:49.0,J. Embiid makes free throw 1 of 2,1,101-96,,
4:49.0,,,101-96,,D. Nowitzki enters the game for N. Noel
4:49.0,B. Simmons enters the game for T. Luwawu-Cabarrot,,101-96,,
4:49.0,J. Embiid makes free throw 2 of 2,1,102-96,,
4:31.0,,,102-96,,D. Smith misses 2-pt shot from 1 ft
4:28.0,Defensive rebound by R. Covington,,102-96,,
4:21.0,J. Embiid makes 3-pt shot from 25 ft (assist by B. Simmons),3,105-96,,
4:19.0,,,105-96,,Dallas full timeout
