time,Detroit,pts.away,score,pts.home,Portland
2:40.0,,,84-96,2,D. Lillard makes 2-pt shot from 1 ft
2:40.0,Detroit full timeout,,84-96,,
2:40.0,,,84-97,1,D. Lillard makes technical free throw
2:32.0,R. Bullock misses 2-pt shot from 18 ft,,84-97,,
2:31.0,,,84-97,,Defensive rebound by J. Nurkic
2:13.0,,,84-100,3,D. Lillard makes 3-pt shot from 26 ft (assist by J. Nurkic)
1:58.0,Turnover by L. Kennard (traveling),,84-100,,
1:36.0,,,84-100,,C. McCollum misses 3-pt shot from 29 ft
1:34.0,,,84-100,,Offensive rebound by C. McCollum
1:13.0,,,84-100,,A. Aminu misses 3-pt shot from 23 ft
1:09.0,Defensive rebound by A. Drummond,,84-100,,
0:58.0,L. Kennard misses 3-pt shot from 24 ft,,84-100,,
0:56.0,,,84-100,,Defensive rebound by C. McCollum
0:37.0,,,84-100,,D. Lillard misses 3-pt shot from 27 ft (block by A. Drummond)
0:35.0,Defensive rebound by B. Griffin,,84-100,,
0:32.0,R. Bullock makes 3-pt shot from 24 ft (assist by B. Griffin),2,87-100,,
0:25.0,,,87-100,,Turnover by D. Lillard (bad pass; steal by R. Bullock)
0:19.0,R. Bullock misses 3-pt shot from 24 ft,,87-100,,
0:17.0,,,87-100,,Defensive rebound by C. McCollum
