time,Dallas,pts.away,score,pts.home,Utah
3:52.0,H. Barnes misses 3-pt shot from 23 ft,,87-89,,
3:48.0,,,87-89,,Defensive rebound by J. Ingles
3:43.0,,,87-91,2,J. Crowder makes 2-pt shot from 2 ft (assist by J. Ingles)
3:43.0,Dallas full timeout,,87-91,,
3:22.0,H. Barnes misses 2-pt shot from 3 ft,,87-91,,
3:20.0,,,87-91,,Defensive rebound by J. Ingles
3:04.0,,,87-91,,Offensive charge foul by J. Crowder (drawn by D. Powell)
3:04.0,,,87-91,,Turnover by J. Crowder (offensive foul)
3:04.0,D. Smith enters the game for J. Barea,,87-91,,
2:45.0,Y. Ferrell misses 2-pt shot from 3 ft,,87-91,,
2:42.0,,,87-91,,Defensive rebound by R. Gobert
2:32.0,,,87-93,2,R. Gobert makes 2-pt shot from 3 ft (assist by J. Ingles)
2:32.0,,,87-93,,Shooting foul by D. Powell (drawn by R. Gobert)
2:32.0,,,87-93,,R. Gobert misses free throw 1 of 1
2:29.0,Defensive rebound by D. Powell,,87-93,,
2:07.0,Y. Ferrell makes 3-pt shot from 26 ft,3,90-93,,
1:41.0,,,90-93,,J. Ingles misses 3-pt shot from 24 ft
1:38.0,Defensive rebound by D. Smith,,90-93,,
1:31.0,Turnover by D. Smith (bad pass; steal by J. Ingles),,90-93,,
1:09.0,,,90-93,,Turnover by J. Ingles (lost ball; steal by D. Powell)
1:04.0,Turnover by D. Smith (out of bounds lost ball),,90-93,,
0:49.0,,,90-93,,D. Mitchell misses 2-pt shot from 9 ft (block by D. Powell)
0:49.0,Defensive rebound by D. Powell,,90-93,,
0:49.0,Dallas full timeout,,90-93,,
0:49.0,J. Barea enters the game for D. Powell,,90-93,,
0:49.0,D. Nowitzki enters the game for D. Smith,,90-93,,
0:39.0,Turnover by H. Barnes (bad pass),,90-93,,
0:39.0,D. Powell enters the game for J. Barea,,90-93,,
0:39.0,D. Smith enters the game for D. Nowitzki,,90-93,,
0:24.0,,,90-93,,D. Mitchell misses 2-pt shot from 16 ft
0:21.0,Defensive rebound by D. Powell,,90-93,,
0:12.0,Y. Ferrell misses 2-pt shot from 4 ft,,90-93,,
0:09.0,,,90-93,,Defensive rebound by R. Gobert
0:07.0,Personal foul by D. Smith (drawn by J. Crowder),,90-93,,
0:07.0,,,90-94,1,J. Crowder makes free throw 1 of 2
0:07.0,,,90-95,1,J. Crowder makes free throw 2 of 2
0:07.0,Dallas full timeout,,90-95,,
0:07.0,D. McDermott enters the game for Y. Ferrell,,90-95,,
0:07.0,D. Nowitzki enters the game for D. Smith,,90-95,,
0:03.0,D. Nowitzki misses 3-pt shot from 26 ft,,90-95,,
0:00.0,,,90-95,,Defensive rebound by D. Mitchell
0:00.0,Personal foul by D. Powell (drawn by D. Mitchell),,90-95,,
0:00.0,,,90-96,1,D. Mitchell makes free throw 1 of 2
0:00.0,,,90-97,1,D. Mitchell makes free throw 2 of 2
