time,Charlotte,pts.away,score,pts.home,Phoenix
4:27.0,Personal foul by K. Walker (drawn by J. Jackson),,110-101,,
4:21.0,Personal foul by N. Batum (drawn by T. Warren),,110-101,,
4:14.0,,,110-101,,J. Jackson misses 3-pt shot from 25 ft
4:12.0,Defensive rebound by N. Batum,,110-101,,
3:59.0,J. Lamb misses 2-pt shot from 6 ft,,110-101,,
3:57.0,,,110-101,,Defensive rebound by J. Jackson
3:53.0,,,110-101,,J. Jackson misses 2-pt shot from 1 ft
3:51.0,Defensive rebound by N. Batum,,110-101,,
3:41.0,K. Walker misses 3-pt shot from 25 ft,,110-101,,
3:38.0,,,110-101,,Defensive rebound by D. Bender
3:28.0,,,110-101,,Turnover by J. Jackson (bad pass; steal by N. Batum)
3:23.0,J. Lamb makes 2-pt shot at rim (assist by N. Batum),2,112-101,,
3:03.0,,,112-101,,T. Warren misses 2-pt shot from 11 ft
3:03.0,,,112-101,,Offensive rebound by Team
3:03.0,Loose ball foul by C. Zeller (drawn by T. Chandler),,112-101,,
3:03.0,,,112-101,,T. Daniels enters the game for T. Chandler
3:03.0,T. Graham enters the game for J. Lamb,,112-101,,
3:03.0,M. Kidd-Gilchrist enters the game for C. Zeller,,112-101,,
2:55.0,,,112-103,2,J. Jackson makes 2-pt shot at rim
2:30.0,D. Howard misses 2-pt shot from 23 ft,,112-103,,
2:26.0,Offensive rebound by T. Graham,,112-103,,
2:22.0,Jump ball: T. Ulis vs. T. Graham (T. Warren gains possession),,,,Jump ball: T. Ulis vs. T. Graham (T. Warren gains possession)
2:22.0,Turnover by T. Graham (turnover; steal by T. Ulis),,112-103,,
2:20.0,,,112-105,2,J. Jackson makes 2-pt shot from 1 ft (assist by T. Warren)
2:06.0,N. Batum misses 2-pt shot from 18 ft,,112-105,,
2:02.0,,,112-105,,Defensive rebound by T. Daniels
1:56.0,,,112-105,,D. Bender misses 3-pt shot from 25 ft
1:52.0,Defensive rebound by D. Howard,,112-105,,
1:40.0,K. Walker misses 3-pt shot from 25 ft,,112-105,,
1:37.0,,,112-105,,Defensive rebound by D. Bender
1:31.0,,,112-107,2,D. Bender makes 2-pt shot at rim (assist by T. Warren)
1:20.0,Charlotte full timeout,,112-107,,
1:14.0,N. Batum misses 3-pt shot from 26 ft,,112-107,,
1:11.0,,,112-107,,Defensive rebound by D. Bender
0:57.0,,,112-107,,J. Jackson misses 2-pt shot from 17 ft
0:54.0,Defensive rebound by D. Howard,,112-107,,
0:35.0,T. Graham makes 3-pt shot from 25 ft (assist by K. Walker),3,115-107,,
0:34.0,,,115-107,,Phoenix full timeout
0:30.0,,,115-107,,T. Daniels misses 3-pt shot from 25 ft
0:27.0,Defensive rebound by K. Walker,,115-107,,
0:20.0,,,115-107,,Personal take foul by T. Ulis (drawn by D. Howard)
0:08.0,D. Howard misses 3-pt shot from 26 ft,,115-107,,
0:05.0,,,115-107,,Defensive rebound by J. Jackson
0:01.0,,,115-110,3,J. Jackson makes 3-pt shot from 26 ft
