time,Chicago,pts.away,score,pts.home,Washington
2:58.0,,,104-101,,J. Wall misses 3-pt shot from 25 ft
2:54.0,,,104-101,,Offensive rebound by M. Gortat
2:53.0,,,104-104,3,B. Beal makes 3-pt shot from 26 ft (assist by M. Gortat)
2:38.0,Turnover by K. Dunn (bad pass; steal by B. Beal),,104-104,,
2:37.0,Personal foul by J. Holiday (drawn by B. Beal),,104-104,,
2:25.0,,,104-104,,M. Scott misses 3-pt shot from 26 ft
2:21.0,Defensive rebound by J. Holiday,,104-104,,
2:13.0,K. Dunn misses 2-pt shot from 1 ft,,104-104,,
2:12.0,Offensive rebound by Team,,104-104,,
2:02.0,K. Dunn misses 3-pt shot from 27 ft,,104-104,,
2:01.0,Offensive rebound by Team,,104-104,,
2:01.0,,,104-104,,Loose ball foul by O. Porter (drawn by N. Mirotic)
2:01.0,N. Mirotic makes free throw 1 of 2,1,105-104,,
2:01.0,N. Mirotic makes free throw 2 of 2,1,106-104,,
1:51.0,,,106-107,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
1:26.0,Shooting foul by J. Wall (drawn by D. Nwaba),,106-107,,
1:26.0,D. Nwaba makes free throw 1 of 2,1,107-107,,
1:26.0,D. Nwaba makes free throw 2 of 2,1,108-107,,
1:16.0,,,108-107,,B. Beal misses 3-pt shot from 26 ft
1:12.0,Defensive rebound by K. Dunn,,108-107,,
0:54.0,K. Dunn makes 2-pt shot from 17 ft,2,110-107,,
0:54.0,,,110-107,,Washington full timeout
0:50.0,,,110-109,2,B. Beal makes 2-pt shot from 1 ft
0:36.0,J. Holiday misses 3-pt shot from 23 ft,,110-109,,
0:31.0,,,110-109,,Defensive rebound by J. Wall
0:29.0,,,110-111,2,J. Wall makes 2-pt shot from 1 ft
0:29.0,,,110-111,,Shooting foul by J. Holiday (drawn by J. Wall)
0:29.0,R. Lopez enters the game for J. Holiday,,110-111,,
0:29.0,,,110-112,1,J. Wall makes free throw 1 of 1
0:29.0,Chicago full timeout,,110-112,,
0:29.0,,,110-112,,K. Oubre enters the game for M. Gortat
0:29.0,D. Valentine enters the game for D. Nwaba,,110-112,,
0:29.0,J. Holiday enters the game for R. Lopez,,110-112,,
0:25.0,K. Dunn misses 2-pt shot from 10 ft,,110-112,,
0:21.0,,,110-112,,Defensive rebound by B. Beal
0:19.0,Personal take foul by L. Markkanen (drawn by B. Beal),,110-112,,
0:19.0,,,110-112,,B. Beal misses free throw 1 of 2
0:19.0,,,110-112,,Offensive rebound by Team
0:19.0,,,110-112,,B. Beal misses free throw 2 of 2
0:15.0,,,110-112,,Offensive rebound by J. Wall
0:09.0,Personal foul by J. Holiday (drawn by J. Wall),,110-112,,
0:09.0,,,110-113,1,J. Wall makes free throw 1 of 2
0:09.0,R. Lopez enters the game for D. Valentine,,110-113,,
0:09.0,,,110-114,1,J. Wall makes free throw 2 of 2
0:09.0,Chicago full timeout,,110-114,,
0:09.0,D. Valentine enters the game for R. Lopez,,110-114,,
0:06.0,N. Mirotic misses 3-pt shot from 26 ft,,110-114,,
0:02.0,,,110-114,,Defensive rebound by B. Beal
