time,New Orleans,pts.away,score,pts.home,Charlotte
5:15.0,Defensive rebound by D. Cousins,,87-85,,
4:59.0,A. Davis makes 2-pt shot from 1 ft (assist by D. Miller),2,89-85,,
4:34.0,,,89-87,2,D. Howard makes 2-pt shot at rim
4:27.0,Shooting foul by M. Carter-Williams (drawn by J. Holiday),,89-87,,
4:27.0,,,89-87,,Charlotte full timeout
4:27.0,,,89-87,,K. Walker enters the game for M. Carter-Williams
4:27.0,,,89-87,,M. Williams enters the game for T. Graham
4:27.0,,,89-87,,N. Batum enters the game for F. Kaminsky
4:27.0,E. Moore enters the game for J. Nelson,,89-87,,
4:27.0,J. Holiday misses free throw 1 of 2,,89-87,,
4:27.0,Offensive rebound by Team,,89-87,,
4:27.0,J. Holiday makes free throw 2 of 2,1,90-87,,
4:13.0,,,90-87,,J. Lamb misses 2-pt shot from 4 ft
4:13.0,Defensive rebound by Team,,90-87,,
4:13.0,,,90-87,,M. Kidd-Gilchrist enters the game for J. Lamb
4:00.0,J. Holiday misses 2-pt shot from 17 ft,,90-87,,
3:57.0,,,90-87,,Defensive rebound by M. Williams
3:39.0,,,90-89,2,M. Williams makes 2-pt shot from 10 ft
3:31.0,New Orleans full timeout,,90-89,,
3:21.0,E. Moore makes 2-pt shot from 1 ft (assist by D. Cousins),2,92-89,,
3:07.0,,,92-92,3,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum)
2:51.0,A. Davis misses 2-pt shot from 19 ft,,92-92,,
2:46.0,,,92-92,,Defensive rebound by M. Williams
2:38.0,,,92-92,,Personal foul by D. Howard (drawn by A. Davis)
2:38.0,,,92-92,,Turnover by D. Howard (turnover)
2:16.0,J. Holiday makes 2-pt shot from 1 ft,2,94-92,,
1:59.0,,,94-92,,Turnover by K. Walker (bad pass)
1:48.0,J. Holiday makes 2-pt shot from 1 ft,2,96-92,,
1:31.0,,,96-92,,D. Howard misses 2-pt shot from 2 ft (block by D. Cousins)
1:31.0,,,96-92,,Offensive rebound by Team
1:26.0,,,96-92,,M. Williams misses 2-pt shot from 21 ft
1:23.0,Defensive rebound by A. Davis,,96-92,,
1:10.0,Turnover by D. Cousins (traveling),,96-92,,
1:02.0,,,96-95,3,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker)
0:49.0,,,96-95,,Personal foul by K. Walker (drawn by A. Davis)
0:40.0,A. Davis misses 2-pt shot from 2 ft,,96-95,,
0:37.0,,,96-95,,Defensive rebound by D. Howard
0:30.0,,,96-95,,K. Walker misses 2-pt shot from 1 ft (block by D. Cousins)
0:30.0,Defensive rebound by D. Cousins,,96-95,,
0:30.0,,,96-95,,Personal foul by M. Williams (drawn by J. Holiday)
0:30.0,J. Holiday makes free throw 1 of 2,1,97-95,,
0:30.0,J. Holiday makes free throw 2 of 2,1,98-95,,
0:30.0,,,98-95,,Charlotte full timeout
0:30.0,,,98-95,,J. Lamb enters the game for M. Kidd-Gilchrist
0:23.0,Personal foul by J. Holiday (drawn by K. Walker),,98-95,,
0:23.0,,,98-96,1,K. Walker makes free throw 1 of 2
0:23.0,,,98-96,,M. Kidd-Gilchrist enters the game for J. Lamb
0:23.0,,,98-96,,K. Walker misses free throw 2 of 2
0:23.0,Defensive rebound by A. Davis,,98-96,,
0:23.0,New Orleans full timeout,,98-96,,
0:20.0,,,98-96,,Personal take foul by M. Williams (drawn by A. Davis)
0:20.0,A. Davis makes free throw 1 of 2,1,99-96,,
0:20.0,,,99-96,,J. Lamb enters the game for M. Kidd-Gilchrist
0:20.0,A. Davis makes free throw 2 of 2,1,100-96,,
0:10.0,,,100-96,,Turnover by K. Walker (bad pass; steal by A. Davis)
0:08.0,,,100-96,,Personal take foul by M. Williams (drawn by D. Cousins)
0:08.0,,,100-96,,F. Kaminsky enters the game for M. Williams
0:08.0,D. Cousins makes free throw 1 of 2,1,101-96,,
0:08.0,D. Cousins misses free throw 2 of 2,,101-96,,
0:08.0,,,101-96,,Defensive rebound by D. Howard
0:08.0,,,101-96,,Charlotte full timeout
0:03.0,,,101-96,,N. Batum misses 3-pt shot from 24 ft
0:03.0,Defensive rebound by Team,,101-96,,
