time,Phoenix,pts.away,score,pts.home,Boston
1:23.0,,,103-108,,K. Irving misses 3-pt shot from 25 ft
1:19.0,Defensive rebound by T. Chandler,,103-108,,
1:13.0,D. Booker makes 2-pt shot from 14 ft,2,105-108,,
0:55.0,,,105-110,2,J. Tatum makes 2-pt shot at rim (assist by A. Horford)
0:45.0,Shooting foul by J. Brown (drawn by T. Warren),,105-110,,
0:45.0,T. Warren makes free throw 1 of 2,1,106-110,,
0:45.0,T. Warren misses free throw 2 of 2,,106-110,,
0:44.0,,,106-110,,Defensive rebound by J. Tatum
0:28.0,,,106-112,2,K. Irving makes 2-pt shot from 2 ft (assist by A. Horford)
0:28.0,Phoenix full timeout,,106-112,,
0:25.0,T. Ulis makes 2-pt shot from 1 ft (assist by T. Warren),2,108-112,,
0:23.0,Personal take foul by D. Booker (drawn by M. Smart),,108-112,,
0:23.0,,,108-113,1,M. Smart makes free throw 1 of 2
0:23.0,,,108-114,1,M. Smart makes free throw 2 of 2
0:18.0,D. Booker makes 3-pt shot from 25 ft,3,111-114,,
0:17.0,Personal take foul by D. Booker (drawn by M. Smart),,111-114,,
0:17.0,T. Daniels enters the game for D. Booker,,111-114,,
0:17.0,,,111-115,1,M. Smart makes free throw 1 of 2
0:17.0,,,111-116,1,M. Smart makes free throw 2 of 2
0:17.0,Phoenix full timeout,,111-116,,
0:08.0,Turnover by T. Daniels (bad pass; steal by J. Brown),,111-116,,
