time,Brooklyn,pts.away,score,pts.home,Milwaukee
4:22.0,,,84-98,1,G. Antetokounmpo makes free throw 2 of 2
4:05.0,J. Allen makes 2-pt shot from 1 ft (assist by C. LeVert),2,86-98,,
3:38.0,,,86-100,2,T. Snell makes 2-pt shot from 13 ft (assist by K. Middleton)
3:25.0,Q. Acy misses 2-pt shot from 13 ft,,86-100,,
3:22.0,,,86-100,,Defensive rebound by G. Antetokounmpo
3:05.0,,,86-100,,G. Antetokounmpo misses 2-pt shot from 2 ft
3:05.0,,,86-100,,Offensive rebound by G. Antetokounmpo
3:05.0,,,86-100,,Shooting foul by Q. Acy (drawn by G. Antetokounmpo)
3:05.0,,,86-101,1,G. Antetokounmpo makes free throw 1 of 2
3:05.0,J. Okafor enters the game for J. Allen,,86-101,,
3:05.0,,,86-101,,G. Antetokounmpo misses free throw 2 of 2
3:02.0,Defensive rebound by C. LeVert,,86-101,,
2:53.0,D. Russell misses 2-pt shot from 17 ft,,86-101,,
2:49.0,,,86-101,,Defensive rebound by K. Middleton
2:35.0,,,86-103,2,G. Antetokounmpo makes 2-pt shot from 19 ft
2:35.0,,,86-103,,Shooting foul by Q. Acy (drawn by G. Antetokounmpo)
2:35.0,,,86-104,1,G. Antetokounmpo makes free throw 1 of 1
2:20.0,J. Okafor misses 2-pt shot from 4 ft,,86-104,,
2:18.0,,,86-104,,Defensive rebound by G. Antetokounmpo
2:08.0,,,86-107,3,G. Antetokounmpo makes 3-pt shot from 23 ft (assist by E. Bledsoe)
1:51.0,C. LeVert misses 3-pt shot from 26 ft,,86-107,,
1:47.0,Offensive rebound by C. LeVert,,86-107,,
1:33.0,Turnover by D. Russell (bad pass; steal by K. Middleton),,86-107,,
1:30.0,,,86-109,2,K. Middleton makes 2-pt shot from 1 ft (assist by E. Bledsoe)
1:30.0,,,86-109,,Shooting foul by Q. Acy (drawn by K. Middleton)
1:30.0,,,86-109,,S. Kilpatrick enters the game for G. Antetokounmpo
1:30.0,,,86-110,1,K. Middleton makes free throw 1 of 1
1:17.0,J. Okafor misses 2-pt shot from 4 ft,,86-110,,
1:15.0,,,86-110,,Defensive rebound by J. Henson
1:01.0,,,86-110,,S. Kilpatrick misses 2-pt shot from 14 ft
0:59.0,,,86-110,,Offensive rebound by J. Henson
0:58.0,,,86-113,3,E. Bledsoe makes 3-pt shot from 27 ft (assist by J. Henson)
0:49.0,,,86-113,,Personal foul by E. Bledsoe (drawn by C. LeVert)
0:49.0,,,86-113,,D. Wilson enters the game for E. Bledsoe
0:49.0,,,86-113,,R. Vaughn enters the game for K. Middleton
0:49.0,,,86-113,,J. Terry enters the game for J. Henson
0:44.0,C. LeVert makes 2-pt shot at rim,2,88-113,,
0:26.0,,,88-116,3,D. Wilson makes 3-pt shot from 26 ft (assist by S. Kilpatrick)
0:16.0,N. Stauskas makes 2-pt shot from 2 ft,2,90-116,,
0:16.0,Shooting foul by S. Kilpatrick (drawn by N. Stauskas),,90-116,,
0:16.0,N. Stauskas makes free throw 1 of 1,1,91-116,,
