time,Oklahoma City,pts.away,score,pts.home,Toronto
4:35.0,R. Westbrook makes 2-pt shot at rim,2,118-117,,
4:20.0,Personal foul by R. Westbrook (drawn by J. Valanciunas),,118-117,,
4:20.0,,,118-117,,S. Ibaka enters the game for J. Valanciunas
4:18.0,,,118-119,2,C. Miles makes 2-pt shot at rim (assist by K. Lowry)
3:55.0,C. Anthony misses 2-pt shot from 12 ft,,118-119,,
3:52.0,,,118-119,,Defensive rebound by D. DeRozan
3:47.0,,,118-119,,K. Lowry misses 3-pt shot from 26 ft
3:45.0,Defensive rebound by R. Westbrook,,118-119,,
3:36.0,Shooting foul by K. Lowry (drawn by R. Westbrook),,118-119,,
3:36.0,R. Westbrook misses free throw 1 of 2,,118-119,,
3:36.0,Offensive rebound by Team,,118-119,,
3:36.0,R. Westbrook makes free throw 2 of 2,1,119-119,,
3:18.0,,,119-119,,Offensive foul by K. Lowry (drawn by C. Brewer)
3:18.0,,,119-119,,Turnover by K. Lowry (offensive foul)
3:18.0,,,119-119,,D. Wright enters the game for K. Lowry
3:02.0,R. Westbrook makes 2-pt shot from 1 ft,2,121-119,,
2:40.0,,,121-119,,S. Ibaka misses 2-pt shot from 5 ft
2:37.0,,,121-119,,Offensive rebound by D. Wright
2:36.0,,,121-119,,D. Wright misses 2-pt shot from 2 ft
2:34.0,Defensive rebound by C. Anthony,,121-119,,
2:18.0,R. Westbrook makes 2-pt shot from 1 ft,2,123-119,,
2:18.0,,,123-119,,Toronto full timeout
2:08.0,,,123-119,,Shooting foul by C. Anthony (drawn by D. Wright)
2:08.0,Technical foul by C. Anthony,,123-119,,
2:08.0,,,123-119,,D. DeRozan misses technical free throw
2:08.0,,,123-119,,Offensive rebound by Team
2:08.0,,,123-120,1,D. Wright makes free throw 1 of 2
2:08.0,,,123-121,1,D. Wright makes free throw 2 of 2
1:52.0,R. Westbrook misses 2-pt shot from 14 ft,,123-121,,
1:50.0,,,123-121,,Defensive rebound by C. Miles
1:41.0,Shooting block foul by C. Brewer (drawn by D. DeRozan),,123-121,,
1:41.0,,,123-122,1,D. DeRozan makes free throw 1 of 2
1:41.0,,,123-123,1,D. DeRozan makes free throw 2 of 2
1:20.0,Turnover by P. George (lost ball; steal by S. Ibaka),,123-123,,
1:13.0,,,123-123,,Turnover by D. DeRozan (lost ball; steal by C. Brewer)
1:09.0,Shooting foul by P. Siakam (drawn by P. George),,123-123,,
1:09.0,P. George makes free throw 1 of 2,1,124-123,,
1:09.0,P. George makes free throw 2 of 2,1,125-123,,
1:09.0,,,125-123,,Loose ball foul by S. Ibaka (drawn by S. Adams)
1:09.0,S. Adams misses free throw 1 of 1,,125-123,,
1:09.0,,,125-123,,Defensive rebound by S. Ibaka
0:54.0,,,125-125,2,D. Wright makes 2-pt shot from 1 ft (assist by D. DeRozan)
0:39.0,R. Westbrook makes 2-pt shot from 1 ft,2,127-125,,
0:30.0,,,127-125,,D. DeRozan misses 2-pt shot from 1 ft
0:29.0,Defensive rebound by S. Adams,,127-125,,
0:12.0,R. Westbrook makes 2-pt shot from 16 ft,2,129-125,,
0:11.0,,,129-125,,Technical foul by D. DeRozan
0:11.0,,,129-125,,Toronto full timeout
0:11.0,P. George makes technical free throw,1,130-125,,
0:08.0,,,130-125,,Turnover by C. Miles (bad pass; steal by C. Anthony)
0:08.0,Oklahoma City full timeout,,130-125,,
0:08.0,,,130-125,,Technical foul by D. DeRozan
0:08.0,,,130-125,,N. Powell enters the game for D. DeRozan
0:08.0,,,130-125,,Technical foul by S. Ibaka
0:08.0,P. George makes technical free throw,1,131-125,,
0:08.0,P. George makes technical free throw,1,132-125,,
0:08.0,P. George misses technical free throw,,132-125,,
0:08.0,Offensive rebound by Team,,132-125,,
