time,San Antonio,pts.away,score,pts.home,Charlotte
4:30.0,,,92-79,2,C. Zeller makes 2-pt shot from 2 ft (assist by K. Walker)
4:29.0,San Antonio full timeout,,92-79,,
4:29.0,M. Ginobili enters the game for B. Forbes,,92-79,,
4:29.0,R. Gay enters the game for D. Green,,92-79,,
4:29.0,P. Mills enters the game for D. Murray,,92-79,,
4:14.0,R. Gay makes 2-pt shot from 13 ft,2,94-79,,
3:51.0,,,94-79,,J. Lamb misses 3-pt shot from 27 ft
3:50.0,Defensive rebound by K. Anderson,,94-79,,
3:28.0,R. Gay makes 2-pt shot from 1 ft (assist by K. Anderson),2,96-79,,
3:26.0,,,96-79,,Charlotte full timeout
3:26.0,,,96-79,,J. O'Bryant enters the game for J. Lamb
3:26.0,,,96-79,,M. Carter-Williams enters the game for K. Walker
3:26.0,,,96-79,,D. Bacon enters the game for C. Zeller
3:26.0,,,96-79,,T. Graham enters the game for F. Kaminsky
3:26.0,B. Forbes enters the game for L. Aldridge,,96-79,,
3:26.0,D. Bertans enters the game for M. Ginobili,,96-79,,
3:26.0,D. Murray enters the game for P. Mills,,96-79,,
3:10.0,,,96-79,,D. Bacon misses 2-pt shot from 5 ft
3:08.0,Defensive rebound by D. Murray,,96-79,,
3:05.0,San Antonio full timeout,,96-79,,
3:05.0,J. Lauvergne enters the game for K. Anderson,,96-79,,
3:05.0,B. Paul enters the game for R. Gay,,96-79,,
2:59.0,B. Forbes makes 2-pt shot from 2 ft (assist by J. Lauvergne),2,98-79,,
2:42.0,,,98-81,2,J. O'Bryant makes 2-pt shot from 15 ft (assist by M. Carter-Williams)
2:25.0,Shooting foul by M. Carter-Williams (drawn by D. Murray),,98-81,,
2:25.0,D. Murray makes free throw 1 of 2,1,99-81,,
2:25.0,D. Murray makes free throw 2 of 2,1,100-81,,
2:10.0,,,100-81,,T. Graham misses 3-pt shot from 27 ft
2:07.0,,,100-81,,Offensive rebound by J. O'Bryant
2:03.0,,,100-83,2,T. Graham makes 2-pt shot from 2 ft (assist by D. Bacon)
1:46.0,D. Bertans makes 2-pt shot at rim (assist by B. Paul),2,102-83,,
1:33.0,,,102-85,2,J. O'Bryant makes 2-pt shot from 13 ft (assist by M. Monk)
1:23.0,D. Murray makes 2-pt shot from 11 ft,2,104-85,,
1:10.0,,,104-85,,M. Monk misses 3-pt shot from 26 ft
1:08.0,Defensive rebound by J. Lauvergne,,104-85,,
1:03.0,Offensive foul by J. Lauvergne (drawn by M. Carter-Williams),,104-85,,
1:03.0,Turnover by J. Lauvergne (offensive foul),,104-85,,
0:54.0,,,104-85,,Turnover by M. Carter-Williams (bad pass; steal by D. Murray)
0:51.0,D. Murray misses 2-pt shot from 1 ft,,104-85,,
0:48.0,,,104-85,,Defensive rebound by Team
0:34.0,,,104-85,,T. Graham misses 2-pt shot from 7 ft
0:31.0,,,104-85,,Offensive rebound by T. Graham
0:31.0,Personal foul by J. Lauvergne (drawn by T. Graham),,104-85,,
0:31.0,,,104-85,,T. Graham misses free throw 1 of 2
0:31.0,,,104-85,,Offensive rebound by Team
0:31.0,,,104-86,1,T. Graham makes free throw 2 of 2
0:08.0,B. Paul makes 2-pt shot from 18 ft (assist by J. Lauvergne),2,106-86,,
