time,Indiana,pts.away,score,pts.home,Portland
2:36.0,V. Oladipo makes 2-pt shot from 17 ft,2,84-92,,
2:10.0,,,84-92,,Turnover by D. Lillard (out of bounds lost ball)
2:03.0,V. Oladipo misses 2-pt shot from 2 ft (block by J. Nurkic),,84-92,,
2:02.0,,,84-92,,Defensive rebound by A. Aminu
1:42.0,,,84-94,2,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard)
1:42.0,,,84-94,,Shooting foul by D. Collison (drawn by J. Nurkic)
1:42.0,,,84-95,1,J. Nurkic makes free throw 1 of 1
1:32.0,V. Oladipo misses 3-pt shot from 25 ft,,84-95,,
1:29.0,,,84-95,,Defensive rebound by J. Nurkic
1:10.0,,,84-95,,C. McCollum misses 2-pt shot from 18 ft
1:07.0,Defensive rebound by D. Sabonis,,84-95,,
1:04.0,Shooting foul by C. McCollum (drawn by V. Oladipo),,84-95,,
1:04.0,V. Oladipo makes free throw 1 of 2,1,85-95,,
1:04.0,V. Oladipo makes free throw 2 of 2,1,86-95,,
0:45.0,,,86-95,,Shooting foul by C. Joseph (drawn by D. Lillard)
0:45.0,,,86-96,1,D. Lillard makes free throw 1 of 2
0:45.0,,,86-96,,Z. Collins enters the game for J. Nurkic
0:45.0,,,86-97,1,D. Lillard makes free throw 2 of 2
0:45.0,Indiana full timeout,,86-97,,
0:45.0,,,86-97,,P. Connaughton enters the game for D. Lillard
0:45.0,I. Anigbogu enters the game for D. Collison,,86-97,,
0:45.0,T. Leaf enters the game for V. Oladipo,,86-97,,
0:45.0,A. Poythress enters the game for D. Sabonis,,86-97,,
0:45.0,J. Young enters the game for T. Young,,86-97,,
0:38.0,,,86-97,,Personal foul by C. McCollum (drawn by C. Joseph)
0:38.0,C. Joseph misses free throw 1 of 2,,86-97,,
0:38.0,Offensive rebound by Team,,86-97,,
0:38.0,C. Joseph misses free throw 2 of 2,,86-97,,
0:35.0,,,86-97,,Defensive rebound by Z. Collins
0:19.0,,,86-100,3,C. McCollum makes 3-pt shot from 25 ft
0:08.0,Turnover by J. Young (lost ball; steal by S. Napier),,86-100,,
