time,Detroit,pts.away,score,pts.home,Houston
4:12.0,R. Bullock makes 3-pt shot from 28 ft (assist by B. Griffin),3,82-86,,
4:12.0,,,82-86,,Houston full timeout
3:56.0,,,82-86,,Turnover by P. Tucker (bad pass)
3:49.0,,,82-86,,Personal foul by T. Ariza (drawn by B. Griffin)
3:40.0,A. Drummond misses 2-pt shot from 1 ft,,82-86,,
3:37.0,,,82-86,,Defensive rebound by C. Capela
3:18.0,,,82-86,,J. Harden misses 2-pt shot from 18 ft
3:13.0,,,82-86,,Offensive rebound by C. Capela
3:13.0,,,82-86,,C. Capela misses 2-pt shot at rim
3:12.0,Defensive rebound by R. Bullock,,82-86,,
2:51.0,L. Kennard makes 2-pt shot from 3 ft,2,84-86,,
2:31.0,,,84-86,,P. Tucker misses 3-pt shot from 22 ft
2:27.0,Defensive rebound by R. Bullock,,84-86,,
2:15.0,B. Griffin misses 2-pt shot from 3 ft,,84-86,,
2:13.0,Offensive rebound by A. Drummond,,84-86,,
2:13.0,A. Drummond makes 2-pt shot at rim,2,86-86,,
1:51.0,,,86-86,,J. Harden misses 3-pt shot from 27 ft
1:48.0,Defensive rebound by A. Drummond,,86-86,,
1:33.0,Shooting foul by J. Harden (drawn by L. Kennard),,86-86,,
1:33.0,L. Kennard makes free throw 1 of 2,1,87-86,,
1:33.0,,,87-86,,J. Johnson enters the game for C. Capela
1:33.0,L. Kennard makes free throw 2 of 2,1,88-86,,
1:18.0,,,88-86,,J. Harden misses 2-pt shot from 1 ft
1:16.0,Defensive rebound by B. Griffin,,88-86,,
1:10.0,R. Bullock misses 3-pt shot from 24 ft,,88-86,,
1:08.0,Offensive rebound by I. Smith,,88-86,,
0:50.0,B. Griffin misses 3-pt shot from 25 ft,,88-86,,
0:48.0,,,88-86,,Defensive rebound by J. Harden
0:32.0,,,88-86,,J. Harden misses 2-pt shot from 1 ft
0:30.0,,,88-86,,Offensive rebound by P. Tucker
0:30.0,,,88-88,2,P. Tucker makes 2-pt shot from 1 ft
0:30.0,Violation by A. Drummond (def goaltending),,88-88,,
0:09.0,B. Griffin misses 2-pt shot from 9 ft,,88-88,,
0:07.0,,,88-88,,Defensive rebound by J. Harden
0:00.0,,,88-88,,J. Harden misses 2-pt shot from 11 ft
0:00.0,,,88-88,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: J. Harden vs. A. Drummond (I. Smith gains possession),,,,Jump ball: J. Harden vs. A. Drummond (I. Smith gains possession)
4:48.0,Turnover by B. Griffin (bad pass),,88-88,,
4:32.0,,,88-90,2,J. Harden makes 2-pt shot from 15 ft
4:12.0,I. Smith misses 3-pt shot from 23 ft,,88-90,,
4:07.0,Offensive rebound by I. Smith,,88-90,,
3:57.0,I. Smith misses 2-pt shot from 18 ft,,88-90,,
3:55.0,,,88-90,,Defensive rebound by J. Harden
3:40.0,,,88-90,,J. Johnson misses 3-pt shot from 25 ft
3:37.0,Defensive rebound by B. Griffin,,88-90,,
3:24.0,L. Kennard misses 3-pt shot from 26 ft,,88-90,,
3:22.0,,,88-90,,Defensive rebound by J. Harden
3:14.0,,,88-90,,J. Harden misses 2-pt shot from 1 ft
3:12.0,Defensive rebound by R. Bullock,,88-90,,
3:07.0,R. Bullock misses 3-pt shot from 25 ft,,88-90,,
3:04.0,,,88-90,,Defensive rebound by T. Ariza
2:47.0,,,88-90,,P. Tucker misses 3-pt shot from 23 ft
2:45.0,Defensive rebound by I. Smith,,88-90,,
2:36.0,A. Drummond misses 2-pt shot from 7 ft,,88-90,,
2:32.0,Offensive rebound by A. Drummond,,88-90,,
2:31.0,A. Drummond makes 2-pt shot from 4 ft,2,90-90,,
2:20.0,,,90-92,2,J. Harden makes 2-pt shot from 10 ft
2:20.0,,,90-92,,Shooting foul by L. Kennard (drawn by J. Harden)
2:20.0,,,90-93,1,J. Harden makes free throw 1 of 1
2:04.0,B. Griffin misses 2-pt shot from 5 ft (block by J. Harden),,90-93,,
2:04.0,,,90-93,,Defensive rebound by T. Ariza
1:55.0,,,90-93,,J. Johnson misses 3-pt shot from 22 ft
1:52.0,Defensive rebound by A. Drummond,,90-93,,
1:32.0,Turnover by B. Griffin (bad pass),,90-93,,
1:11.0,,,90-93,,Shooting foul by L. Kennard (drawn by J. Harden)
1:11.0,,,90-94,1,J. Harden makes free throw 1 of 3
1:11.0,,,90-95,1,J. Harden makes free throw 2 of 3
1:11.0,,,90-96,1,J. Harden makes free throw 3 of 3
0:52.0,,,90-96,,Personal foul by T. Ariza (drawn by B. Griffin)
0:47.0,I. Smith misses 3-pt shot from 24 ft,,90-96,,
0:44.0,,,90-96,,Defensive rebound by P. Tucker
0:30.0,,,90-96,,J. Harden misses 2-pt shot at rim (block by I. Smith)
0:27.0,,,90-96,,Offensive rebound by P. Tucker
0:21.0,,,90-96,,E. Gordon misses 2-pt shot from 1 ft
0:21.0,,,90-96,,Offensive rebound by P. Tucker
0:21.0,,,90-98,2,P. Tucker makes 2-pt shot at rim
0:21.0,Detroit full timeout,,90-98,,
0:21.0,J. Ennis enters the game for I. Smith,,90-98,,
0:19.0,B. Griffin makes 3-pt shot from 25 ft (assist by J. Ennis),3,93-98,,
0:15.0,Personal take foul by B. Griffin (drawn by J. Harden),,93-98,,
0:15.0,,,93-99,1,J. Harden makes free throw 1 of 2
0:15.0,I. Smith enters the game for J. Ennis,,93-99,,
0:15.0,,,93-100,1,J. Harden makes free throw 2 of 2
0:04.0,I. Smith makes 3-pt shot from 25 ft (assist by R. Bullock),3,96-100,,
0:02.0,Personal take foul by L. Kennard (drawn by J. Harden),,96-100,,
0:02.0,J. Ennis enters the game for L. Kennard,,96-100,,
0:02.0,,,96-100,,J. Harden misses free throw 1 of 2
0:02.0,,,96-100,,Offensive rebound by Team
0:02.0,,,96-100,,J. Harden misses free throw 2 of 2
0:02.0,Defensive rebound by B. Griffin,,96-100,,
