time,Chicago,pts.away,score,pts.home,Memphis
5:05.0,,,100-97,,Shooting foul by C. Felicio (drawn by M. Gasol)
5:05.0,,,100-98,1,M. Gasol makes free throw 1 of 1
4:52.0,Shooting foul by J. Green (drawn by C. Felicio),,100-98,,
4:52.0,C. Felicio misses free throw 1 of 2,,100-98,,
4:52.0,Offensive rebound by Team,,100-98,,
4:52.0,C. Felicio makes free throw 2 of 2,1,101-98,,
4:27.0,,,101-98,,T. Evans misses 2-pt shot from 3 ft
4:25.0,Defensive rebound by N. Vonleh,,101-98,,
4:22.0,A. Blakeney misses 3-pt shot from 24 ft,,101-98,,
4:17.0,,,101-98,,Defensive rebound by T. Evans
4:05.0,,,101-98,,T. Evans misses 3-pt shot from 25 ft
4:00.0,Defensive rebound by C. Felicio,,101-98,,
3:43.0,C. Payne misses 3-pt shot from 22 ft,,101-98,,
3:40.0,,,101-98,,Defensive rebound by M. Gasol
3:27.0,,,101-98,,M. Gasol misses 3-pt shot from 24 ft
3:22.0,,,101-98,,Offensive rebound by J. Green
3:22.0,,,101-98,,Shooting foul by C. Felicio (drawn by W. Selden)
3:22.0,,,101-99,1,W. Selden makes free throw 1 of 2
3:22.0,,,101-100,1,W. Selden makes free throw 2 of 2
3:04.0,C. Payne misses 3-pt shot from 25 ft,,101-100,,
3:01.0,,,101-100,,Defensive rebound by J. Green
2:46.0,,,101-100,,Shooting foul by N. Vonleh (drawn by J. Martin)
2:46.0,,,101-101,1,J. Martin makes free throw 1 of 2
2:46.0,,,101-101,,J. Martin misses free throw 2 of 2
2:44.0,Defensive rebound by C. Felicio,,101-101,,
2:32.0,C. Felicio makes 2-pt shot from 2 ft (assist by A. Blakeney),2,103-101,,
2:18.0,Personal foul by A. Blakeney (drawn by M. Gasol),,103-101,,
2:18.0,,,103-102,1,M. Gasol makes free throw 1 of 2
2:18.0,,,103-103,1,M. Gasol makes free throw 2 of 2
2:07.0,A. Blakeney misses 2-pt shot from 20 ft,,103-103,,
2:04.0,,,103-103,,Defensive rebound by J. Green
1:52.0,,,103-106,3,W. Selden makes 3-pt shot from 25 ft (assist by J. Martin)
1:41.0,P. Zipser makes 2-pt shot from 2 ft (assist by C. Payne),2,105-106,,
1:16.0,,,105-106,,Turnover by M. Gasol (bad pass; steal by A. Blakeney)
1:13.0,C. Payne makes 2-pt shot from 1 ft,2,107-106,,
0:51.0,,,107-106,,T. Evans misses 3-pt shot from 27 ft
0:48.0,,,107-106,,Offensive rebound by M. Gasol
0:46.0,,,107-108,2,J. Green makes 2-pt shot at rim (assist by M. Gasol)
0:46.0,Chicago full timeout,,107-108,,
0:46.0,,,107-108,,B. Weber enters the game for J. Martin
0:41.0,C. Felicio misses 2-pt shot from 2 ft,,107-108,,
0:40.0,Offensive rebound by C. Felicio,,107-108,,
0:40.0,Shooting foul by M. Gasol (drawn by C. Felicio),,107-108,,
0:40.0,C. Felicio makes free throw 1 of 2,1,108-108,,
0:40.0,,,108-108,,J. Martin enters the game for B. Weber
0:40.0,C. Felicio makes free throw 2 of 2,1,109-108,,
0:40.0,,,109-108,,Memphis full timeout
0:24.0,,,109-110,2,J. Martin makes 2-pt shot from 2 ft (assist by M. Gasol)
0:01.0,Shooting foul by T. Evans (drawn by A. Blakeney),,109-110,,
0:01.0,A. Blakeney makes free throw 1 of 3,1,110-110,,
0:01.0,A. Blakeney misses free throw 2 of 3,,110-110,,
0:01.0,Offensive rebound by Team,,110-110,,
0:01.0,A. Blakeney makes free throw 3 of 3,1,111-110,,
0:01.0,,,111-110,,Memphis full timeout
0:00.0,,,111-110,,M. Gasol misses 2-pt shot from 11 ft
0:00.0,,,111-110,,Offensive rebound by Team
