time,Brooklyn,pts.away,score,pts.home,Portland
4:33.0,,,89-89,,Turnover by C. McCollum (lost ball; steal by D. Carroll)
4:33.0,,,89-89,,Personal foul by C. McCollum (drawn by D. Carroll)
4:23.0,,,89-89,,Personal foul by E. Davis (drawn by D. Russell)
4:23.0,D. Russell makes free throw 1 of 2,1,90-89,,
4:23.0,D. Russell misses free throw 2 of 2,,90-89,,
4:19.0,,,90-89,,Defensive rebound by M. Harkless
4:01.0,,,90-89,,D. Lillard misses 3-pt shot from 24 ft
3:56.0,Defensive rebound by D. Russell,,90-89,,
3:53.0,D. Russell makes 2-pt shot from 1 ft,2,92-89,,
3:38.0,,,92-91,2,D. Lillard makes 2-pt shot from 1 ft
3:23.0,D. Russell misses 3-pt shot from 25 ft,,92-91,,
3:18.0,,,92-91,,Defensive rebound by E. Davis
3:15.0,,,92-91,,Portland full timeout
3:06.0,,,92-93,2,D. Lillard makes 2-pt shot at rim
2:51.0,R. Hollis-Jefferson makes 2-pt shot from 8 ft,2,94-93,,
2:36.0,,,94-95,2,D. Lillard makes 2-pt shot from 22 ft
2:23.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by D. Russell),2,96-95,,
1:57.0,,,96-95,,E. Turner misses 3-pt shot from 24 ft
1:55.0,Defensive rebound by D. Carroll,,96-95,,
1:36.0,Offensive charge foul by A. Crabbe (drawn by C. McCollum),,96-95,,
1:36.0,Turnover by A. Crabbe (offensive foul),,96-95,,
1:15.0,,,96-95,,Turnover by E. Turner (lost ball; steal by R. Hollis-Jefferson)
0:54.0,R. Hollis-Jefferson misses 2-pt shot from 17 ft,,96-95,,
0:51.0,,,96-95,,Defensive rebound by M. Harkless
0:41.0,,,96-95,,Turnover by D. Lillard (lost ball; steal by R. Hollis-Jefferson)
0:41.0,Brooklyn full timeout,,96-95,,
0:36.0,D. Russell makes 2-pt shot from 20 ft,2,98-95,,
0:36.0,,,98-95,,Portland full timeout
0:36.0,,,98-95,,P. Connaughton enters the game for M. Harkless
0:33.0,,,98-97,2,C. McCollum makes 2-pt shot from 1 ft
0:11.0,D. Russell makes 2-pt shot from 1 ft,2,100-97,,
0:11.0,Shooting foul by E. Davis (drawn by D. Russell),,100-97,,
0:11.0,D. Russell misses free throw 1 of 1,,100-97,,
0:08.0,Offensive rebound by R. Hollis-Jefferson,,100-97,,
0:08.0,,,100-97,,Personal take foul by P. Connaughton (drawn by D. Russell)
0:08.0,D. Russell misses free throw 1 of 2,,100-97,,
0:08.0,Offensive rebound by Team,,100-97,,
0:08.0,D. Russell makes free throw 2 of 2,1,101-97,,
0:08.0,,,101-97,,Portland full timeout
0:08.0,,,101-97,,M. Harkless enters the game for E. Davis
0:02.0,,,101-97,,C. McCollum misses 3-pt shot from 22 ft
0:01.0,Brooklyn full timeout,,101-97,,
0:01.0,,,101-97,,E. Davis enters the game for P. Connaughton
0:01.0,,,101-97,,S. Napier enters the game for M. Harkless
0:01.0,Defensive rebound by Team,,101-97,,
0:00.0,Turnover by S. Dinwiddie (bad pass; steal by C. McCollum),,101-97,,
