time,Philadelphia,pts.away,score,pts.home,Indiana
5:00.0,R. Covington enters the game for A. Johnson,,81-89,,
4:59.0,Turnover by D. Saric (bad pass; steal by L. Stephenson),,81-89,,
4:58.0,,,81-89,,Shooting foul by B. Simmons (drawn by L. Stephenson)
4:58.0,,,81-90,1,L. Stephenson makes free throw 1 of 2
4:58.0,,,81-91,1,L. Stephenson makes free throw 2 of 2
4:51.0,Turnover by J. Embiid (bad pass; steal by V. Oladipo),,81-91,,
4:49.0,,,81-91,,Shooting foul by R. Covington (drawn by V. Oladipo)
4:49.0,,,81-92,1,V. Oladipo makes free throw 1 of 2
4:49.0,,,81-93,1,V. Oladipo makes free throw 2 of 2
4:38.0,,,81-93,,Personal foul by V. Oladipo (drawn by D. Saric)
4:30.0,,,81-93,,Personal foul by D. Sabonis (drawn by J. Embiid)
4:23.0,J. Embiid misses 3-pt shot from 25 ft,,81-93,,
4:19.0,Offensive rebound by D. Saric,,81-93,,
4:07.0,J. Embiid makes 2-pt shot at rim (assist by D. Saric),2,83-93,,
4:07.0,,,83-93,,Indiana full timeout
3:46.0,,,83-93,,V. Oladipo misses 3-pt shot from 27 ft
3:44.0,Defensive rebound by B. Simmons,,83-93,,
3:35.0,B. Simmons misses 2-pt shot from 2 ft,,83-93,,
3:32.0,,,83-93,,Defensive rebound by L. Stephenson
3:19.0,,,83-96,3,L. Stephenson makes 3-pt shot from 26 ft (assist by V. Oladipo)
3:07.0,Shooting foul by L. Stephenson (drawn by B. Simmons),,83-96,,
3:07.0,B. Simmons makes free throw 1 of 2,1,84-96,,
3:07.0,B. Simmons misses free throw 2 of 2,,84-96,,
3:05.0,,,84-96,,Defensive rebound by L. Stephenson
2:51.0,,,84-98,2,V. Oladipo makes 2-pt shot from 18 ft (assist by D. Sabonis)
2:48.0,Philadelphia full timeout,,84-98,,
2:48.0,J. Bayless enters the game for D. Saric,,84-98,,
2:37.0,B. Simmons makes 2-pt shot at rim (assist by J. Embiid),2,86-98,,
2:23.0,Violation by B. Simmons (kicked ball),,86-98,,
2:12.0,,,86-98,,C. Joseph misses 2-pt shot from 19 ft
2:09.0,,,86-98,,Offensive rebound by D. Sabonis
2:08.0,,,86-98,,D. Sabonis misses 2-pt shot from 1 ft
2:08.0,Defensive rebound by B. Simmons,,86-98,,
2:04.0,J. Redick misses 3-pt shot from 29 ft,,86-98,,
2:04.0,Offensive rebound by B. Simmons,,86-98,,
1:56.0,R. Covington misses 3-pt shot from 26 ft,,86-98,,
1:53.0,,,86-98,,Defensive rebound by L. Stephenson
1:32.0,,,86-98,,C. Joseph misses 3-pt shot from 28 ft
1:31.0,,,86-98,,Offensive rebound by Team
1:31.0,,,86-98,,Turnover by Team (shot clock)
1:22.0,J. Redick makes 3-pt shot from 27 ft (assist by R. Covington),3,89-98,,
1:00.0,,,89-98,,C. Joseph misses 3-pt shot from 27 ft
0:57.0,Defensive rebound by J. Embiid,,89-98,,
0:54.0,Shooting foul by L. Stephenson (drawn by J. Redick),,89-98,,
0:54.0,J. Redick makes free throw 1 of 3,1,90-98,,
0:54.0,J. Redick makes free throw 2 of 3,1,91-98,,
0:54.0,T. McConnell enters the game for J. Embiid,,91-98,,
0:54.0,J. Redick makes free throw 3 of 3,1,92-98,,
0:54.0,,,92-98,,Indiana full timeout
0:54.0,,,92-98,,D. Collison enters the game for L. Stephenson
0:54.0,,,92-98,,B. Bogdanovic enters the game for T. Young
0:42.0,Personal foul by J. Redick (drawn by B. Bogdanovic),,92-98,,
0:32.0,,,92-98,,Turnover by D. Collison (lost ball; steal by R. Covington)
0:27.0,Turnover by R. Covington (lost ball; steal by D. Sabonis),,92-98,,
0:27.0,,,92-100,2,D. Collison makes 2-pt shot from 2 ft (assist by D. Sabonis)
0:27.0,Philadelphia full timeout,,92-100,,
0:27.0,J. Embiid enters the game for T. McConnell,,92-100,,
0:23.0,R. Covington misses 3-pt shot from 27 ft,,92-100,,
0:16.0,Offensive rebound by Team,,92-100,,
0:16.0,,,92-100,,Violation by C. Joseph (kicked ball)
0:15.0,J. Embiid misses 3-pt shot from 27 ft,,92-100,,
0:12.0,,,92-100,,Defensive rebound by V. Oladipo
