time,Houston,pts.away,score,pts.home,Boston
9:20.0,,,83-74,,M. Morris misses free throw 1 of 2
9:20.0,,,83-74,,Offensive rebound by Team
9:20.0,,,83-74,,M. Morris misses free throw 2 of 2
9:18.0,Defensive rebound by T. Ariza,,83-74,,
9:00.0,E. Gordon misses 3-pt shot from 24 ft,,83-74,,
8:59.0,,,83-74,,Defensive rebound by M. Morris
8:52.0,,,83-77,3,M. Morris makes 3-pt shot from 26 ft (assist by J. Tatum)
8:28.0,E. Gordon misses 3-pt shot from 30 ft,,83-77,,
8:27.0,,,83-77,,Defensive rebound by Team
8:17.0,Personal foul by R. Anderson (drawn by S. Larkin),,83-77,,
8:06.0,,,83-77,,M. Morris misses 2-pt shot from 20 ft
8:02.0,Defensive rebound by N. Hilario,,83-77,,
7:58.0,,,83-77,,Personal foul by S. Larkin (drawn by E. Gordon)
7:51.0,,,83-77,,Personal foul by A. Baynes (drawn by N. Hilario)
7:43.0,Shooting foul by S. Larkin (drawn by E. Gordon),,83-77,,
7:43.0,E. Gordon misses free throw 1 of 3,,83-77,,
7:43.0,Offensive rebound by Team,,83-77,,
7:43.0,E. Gordon makes free throw 2 of 3,1,84-77,,
7:43.0,,,84-77,,A. Horford enters the game for S. Larkin
7:43.0,,,84-77,,K. Irving enters the game for A. Baynes
7:43.0,E. Gordon makes free throw 3 of 3,1,85-77,,
7:23.0,,,85-79,2,M. Morris makes 2-pt shot at rim
7:09.0,Turnover by B. Weber (bad pass; steal by T. Rozier),,85-79,,
7:05.0,,,85-81,2,T. Rozier makes 2-pt shot from 2 ft
7:05.0,Houston full timeout,,85-81,,
7:05.0,J. Harden enters the game for B. Weber,,85-81,,
7:05.0,G. Green enters the game for E. Gordon,,85-81,,
6:52.0,N. Hilario makes 2-pt shot from 1 ft (assist by J. Harden),2,87-81,,
6:31.0,,,87-81,,Turnover by K. Irving (bad pass; steal by R. Anderson)
6:19.0,N. Hilario misses 2-pt shot from 2 ft,,87-81,,
6:16.0,,,87-81,,Defensive rebound by Team
6:16.0,,,87-81,,M. Smart enters the game for M. Morris
5:51.0,,,87-83,2,A. Horford makes 2-pt shot from 12 ft
5:31.0,N. Hilario misses 2-pt shot from 2 ft,,87-83,,
5:29.0,,,87-83,,Defensive rebound by T. Rozier
5:16.0,,,87-85,2,T. Rozier makes 2-pt shot from 1 ft
5:16.0,,,87-85,,Shooting foul by G. Green (drawn by T. Rozier)
5:16.0,P. Tucker enters the game for G. Green,,87-85,,
5:16.0,E. Gordon enters the game for N. Hilario,,87-85,,
5:16.0,,,87-86,1,T. Rozier makes free throw 1 of 1
4:57.0,J. Harden makes 3-pt shot from 25 ft,3,90-86,,
4:36.0,,,90-88,2,J. Tatum makes 2-pt shot from 2 ft (assist by M. Smart)
4:21.0,J. Harden misses 3-pt shot from 26 ft,,90-88,,
4:17.0,Offensive rebound by P. Tucker,,90-88,,
4:07.0,E. Gordon misses 2-pt shot from 2 ft,,90-88,,
4:06.0,Offensive rebound by P. Tucker,,90-88,,
4:06.0,P. Tucker makes 2-pt shot at rim,2,92-88,,
3:52.0,,,92-90,2,M. Smart makes 2-pt shot from 1 ft
3:36.0,J. Harden misses 2-pt shot from 2 ft,,92-90,,
3:34.0,,,92-90,,Defensive rebound by T. Rozier
3:29.0,,,92-90,,K. Irving misses 3-pt shot from 27 ft
3:26.0,Defensive rebound by J. Harden,,92-90,,
3:19.0,E. Gordon misses 2-pt shot from 3 ft,,92-90,,
3:19.0,,,92-90,,Defensive rebound by Team
3:08.0,Personal foul by T. Ariza (drawn by K. Irving),,92-90,,
3:08.0,,,92-91,1,K. Irving makes free throw 1 of 2
3:08.0,,,92-91,,K. Irving misses free throw 2 of 2
