time,New York,pts.away,score,pts.home,Phoenix
4:24.0,Defensive rebound by D. McDermott,,103-78,,
4:18.0,T. Hardaway misses 2-pt shot from 21 ft,,103-78,,
4:15.0,,,103-78,,Defensive rebound by J. Jackson
4:08.0,,,103-78,,M. Chriss misses 3-pt shot from 22 ft
4:05.0,Defensive rebound by M. Beasley,,103-78,,
4:01.0,New York full timeout,,103-78,,
4:01.0,,,103-78,,T. Ulis enters the game for I. Canaan
4:01.0,R. Baker enters the game for T. Hardaway,,103-78,,
4:01.0,W. Hernangomez enters the game for M. Beasley,,103-78,,
3:49.0,T. Burke misses 2-pt shot from 21 ft,,103-78,,
3:46.0,Offensive rebound by K. O'Quinn,,103-78,,
3:46.0,Shooting foul by A. Peters (drawn by K. O'Quinn),,103-78,,
3:46.0,K. O'Quinn makes free throw 1 of 2,1,104-78,,
3:46.0,F. Ntilikina enters the game for T. Burke,,104-78,,
3:46.0,K. O'Quinn makes free throw 2 of 2,1,105-78,,
3:27.0,,,105-78,,M. Chriss misses 2-pt shot at rim (block by K. O'Quinn)
3:24.0,Defensive rebound by D. McDermott,,105-78,,
3:15.0,Turnover by K. O'Quinn (traveling),,105-78,,
2:51.0,,,105-80,2,J. Jackson makes 2-pt shot from 20 ft (assist by M. Chriss)
2:27.0,K. O'Quinn misses 2-pt shot from 1 ft,,105-80,,
2:25.0,,,105-80,,Defensive rebound by M. Chriss
2:21.0,,,105-80,,A. Peters misses 3-pt shot from 24 ft
2:18.0,Defensive rebound by R. Baker,,105-80,,
2:09.0,F. Ntilikina misses 3-pt shot from 25 ft,,105-80,,
2:08.0,,,105-80,,Defensive rebound by Team
2:08.0,Loose ball foul by K. O'Quinn (drawn by J. Jackson),,105-80,,
1:55.0,Personal foul by R. Baker (drawn by J. Jackson),,105-80,,
1:55.0,,,105-81,1,J. Jackson makes free throw 1 of 2
1:55.0,,,105-82,1,J. Jackson makes free throw 2 of 2
1:41.0,W. Hernangomez misses 2-pt shot from 2 ft,,105-82,,
1:39.0,,,105-82,,Defensive rebound by J. Jackson
1:35.0,,,105-82,,J. Jackson misses 2-pt shot at rim
1:32.0,,,105-82,,Offensive rebound by A. Peters
1:29.0,,,105-85,3,D. House makes 3-pt shot from 22 ft (assist by A. Peters)
1:09.0,D. McDermott misses 2-pt shot from 1 ft (block by M. Chriss),,105-85,,
1:06.0,,,105-85,,Defensive rebound by J. Jackson
1:03.0,,,105-85,,A. Peters misses 3-pt shot from 22 ft
0:59.0,,,105-85,,Offensive rebound by D. House
0:58.0,,,105-85,,D. House misses 2-pt shot from 1 ft (block by K. O'Quinn)
0:58.0,Defensive rebound by R. Baker,,105-85,,
0:53.0,,,105-85,,Personal foul by D. House (drawn by W. Hernangomez)
0:45.0,K. O'Quinn misses 2-pt shot from 20 ft,,105-85,,
0:41.0,,,105-85,,Defensive rebound by D. House
0:34.0,,,105-85,,A. Peters misses 3-pt shot from 23 ft
0:30.0,Defensive rebound by R. Baker,,105-85,,
0:24.0,F. Ntilikina makes 2-pt shot at rim (assist by R. Baker),2,107-85,,
0:07.0,,,107-85,,Turnover by T. Ulis (bad pass; steal by K. O'Quinn)
