time,Utah,pts.away,score,pts.home,Miami
0:59.0,Shooting block foul by D. Mitchell (drawn by G. Dragic),,100-97,,
0:59.0,,,100-98,1,G. Dragic makes free throw 1 of 2
0:59.0,,,100-99,1,G. Dragic makes free throw 2 of 2
0:47.0,D. Mitchell makes 2-pt shot from 1 ft,2,102-99,,
0:37.0,,,102-99,,Shooting foul by D. Mitchell (drawn by K. Olynyk)
0:37.0,,,102-100,1,K. Olynyk makes free throw 1 of 2
0:37.0,,,102-101,1,K. Olynyk makes free throw 2 of 2
0:14.0,R. Hood misses 3-pt shot from 25 ft,,102-101,,
0:10.0,,,102-101,,Defensive rebound by G. Dragic
0:07.0,,,102-101,,Miami full timeout
0:05.0,,,102-103,2,J. Richardson makes 2-pt shot from 1 ft (assist by G. Dragic)
0:05.0,Utah full timeout,,102-103,,
0:05.0,,,102-103,,J. Johnson enters the game for W. Ellington
0:01.0,D. Mitchell misses 2-pt shot from 19 ft,,102-103,,
0:00.0,Offensive rebound by Team,,102-103,,
