time,New Orleans,pts.away,score,pts.home,Washington
3:14.0,D. Cousins misses 3-pt shot from 25 ft,,42-60,,
3:12.0,,,42-60,,Defensive rebound by M. Gortat
3:04.0,,,42-60,,Offensive foul by M. Gortat (drawn by J. Holiday)
3:04.0,,,42-60,,Turnover by M. Gortat (offensive foul)
2:43.0,I. Clark misses 2-pt shot from 2 ft,,42-60,,
2:42.0,Offensive rebound by A. Davis,,42-60,,
2:42.0,A. Davis makes 2-pt shot at rim,2,44-60,,
2:42.0,,,44-60,,Washington full timeout
2:37.0,,,44-60,,Offensive foul by M. Morris (drawn by I. Clark)
2:37.0,,,44-60,,Turnover by M. Morris (offensive foul)
2:37.0,,,44-60,,M. Scott enters the game for M. Morris
2:27.0,Shooting foul by M. Scott (drawn by A. Davis),,44-60,,
2:27.0,A. Davis makes free throw 1 of 2,1,45-60,,
2:27.0,A. Davis makes free throw 2 of 2,1,46-60,,
2:13.0,,,46-60,,M. Scott misses 3-pt shot from 23 ft
2:09.0,Defensive rebound by D. Cousins,,46-60,,
2:05.0,,,46-60,,Personal foul by M. Scott (drawn by A. Davis)
2:05.0,A. Davis makes free throw 1 of 2,1,47-60,,
2:05.0,,,47-60,,J. Smith enters the game for M. Scott
2:05.0,A. Davis makes free throw 2 of 2,1,48-60,,
1:48.0,,,48-60,,J. Wall misses 2-pt shot from 18 ft
1:45.0,Defensive rebound by J. Holiday,,48-60,,
1:40.0,,,48-60,,Personal foul by J. Smith (drawn by D. Cousins)
1:40.0,D. Cousins makes free throw 1 of 2,1,49-60,,
1:40.0,D. Cousins makes free throw 2 of 2,1,50-60,,
1:23.0,,,50-60,,J. Smith misses 3-pt shot from 23 ft
1:20.0,Defensive rebound by I. Clark,,50-60,,
1:09.0,,,50-60,,Personal foul by B. Beal (drawn by J. Holiday)
1:09.0,J. Holiday makes free throw 1 of 2,1,51-60,,
1:09.0,J. Holiday makes free throw 2 of 2,1,52-60,,
0:57.0,Personal foul by I. Clark (drawn by J. Wall),,52-60,,
0:48.0,,,52-60,,J. Wall misses 2-pt shot from 17 ft
0:46.0,Defensive rebound by Team,,52-60,,
0:46.0,,,52-60,,Loose ball foul by J. Smith (drawn by D. Cousins)
0:46.0,D. Cousins makes free throw 1 of 2,1,53-60,,
0:46.0,D. Cousins makes free throw 2 of 2,1,54-60,,
0:32.0,,,54-60,,B. Beal misses 2-pt shot from 11 ft
0:30.0,Defensive rebound by D. Cousins,,54-60,,
0:27.0,Shooting foul by J. Wall (drawn by I. Clark),,54-60,,
0:27.0,I. Clark misses free throw 1 of 2,,54-60,,
0:27.0,Offensive rebound by Team,,54-60,,
0:27.0,I. Clark makes free throw 2 of 2,1,55-60,,
0:05.0,,,55-60,,Shooting foul by I. Clark (drawn by J. Wall)
0:05.0,,,55-60,,J. Wall misses free throw 1 of 2
0:05.0,,,55-60,,Offensive rebound by Team
0:05.0,,,55-61,1,J. Wall makes free throw 2 of 2
0:00.0,I. Clark misses 3-pt shot from 23 ft,,55-61,,
0:00.0,Offensive rebound by Team,,55-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,55-61,,J. Wall misses 2-pt shot from 17 ft
11:34.0,Defensive rebound by D. Cousins,,55-61,,
11:20.0,D. Cunningham makes 2-pt shot from 3 ft (assist by R. Rondo),2,57-61,,
11:04.0,,,57-61,,Turnover by M. Morris (bad pass; steal by J. Holiday)
10:59.0,J. Holiday makes 2-pt shot from 2 ft,2,59-61,,
10:43.0,,,59-61,,B. Beal misses 2-pt shot from 11 ft
10:41.0,Defensive rebound by D. Cousins,,59-61,,
10:21.0,E. Moore makes 2-pt shot from 18 ft (assist by J. Holiday),2,61-61,,
10:21.0,,,61-61,,Washington full timeout
10:05.0,,,61-61,,Shooting foul by D. Cunningham (drawn by M. Morris)
10:05.0,,,61-62,1,M. Morris makes free throw 1 of 2
10:05.0,,,61-63,1,M. Morris makes free throw 2 of 2
9:52.0,R. Rondo misses 2-pt shot from 18 ft,,61-63,,
9:48.0,,,61-63,,Defensive rebound by M. Gortat
9:34.0,,,61-66,3,K. Oubre makes 3-pt shot from 23 ft (assist by M. Gortat)
9:25.0,Turnover by J. Holiday (turnover),,61-66,,
9:11.0,,,61-66,,M. Gortat misses 2-pt shot from 4 ft
9:09.0,,,61-66,,Offensive rebound by B. Beal
9:09.0,,,61-68,2,B. Beal makes 2-pt shot at rim
9:09.0,New Orleans full timeout,,61-68,,
9:00.0,J. Holiday makes 3-pt shot from 24 ft,3,64-68,,
8:37.0,,,64-70,2,M. Morris makes 2-pt shot from 10 ft
8:20.0,D. Cousins misses 3-pt shot from 27 ft,,64-70,,
8:19.0,,,64-70,,Defensive rebound by K. Oubre
8:15.0,A. Davis enters the game for D. Cunningham,,64-70,,
8:10.0,,,64-72,2,B. Beal makes 2-pt shot from 2 ft
7:57.0,R. Rondo misses 2-pt shot from 3 ft (block by M. Gortat),,64-72,,
7:52.0,,,64-72,,Defensive rebound by M. Gortat
7:48.0,,,64-72,,K. Oubre misses 3-pt shot from 25 ft
7:44.0,Defensive rebound by R. Rondo,,64-72,,
7:42.0,Turnover by E. Moore (turnover),,64-72,,
7:32.0,Personal foul by R. Rondo (drawn by J. Wall),,64-72,,
7:26.0,,,64-72,,Shooting foul by A. Davis (drawn by K. Oubre)
7:26.0,,,64-72,,K. Oubre misses free throw 1 of 2
7:26.0,,,64-72,,Offensive rebound by Team
7:26.0,,,64-73,1,K. Oubre makes free throw 2 of 2
7:11.0,A. Davis makes 2-pt shot at rim (assist by D. Cousins),2,66-73,,
6:52.0,,,66-73,,M. Gortat misses 2-pt shot from 7 ft
6:50.0,Defensive rebound by D. Cousins,,66-73,,
6:28.0,E. Moore misses 2-pt shot from 22 ft,,66-73,,
6:26.0,,,66-73,,Defensive rebound by M. Morris
6:24.0,Personal foul by J. Holiday (drawn by J. Wall),,66-73,,
6:18.0,,,66-73,,Offensive foul by M. Morris (drawn by E. Moore)
6:18.0,,,66-73,,Turnover by M. Morris (offensive foul)
6:18.0,,,66-73,,M. Scott enters the game for M. Morris
6:08.0,E. Moore misses 3-pt shot from 23 ft,,66-73,,
6:06.0,,,66-73,,Defensive rebound by M. Gortat
5:59.0,,,66-73,,J. Wall misses 2-pt shot from 16 ft
5:55.0,,,66-73,,Offensive rebound by M. Gortat
5:47.0,,,66-73,,K. Oubre misses 2-pt shot from 19 ft
5:45.0,Defensive rebound by D. Cousins,,66-73,,
5:38.0,A. Davis misses 2-pt shot from 17 ft,,66-73,,
5:36.0,,,66-73,,Defensive rebound by M. Gortat
5:26.0,,,66-73,,B. Beal misses 2-pt shot from 18 ft
5:24.0,Defensive rebound by D. Cousins,,66-73,,
5:07.0,Offensive foul by D. Cousins (drawn by M. Gortat),,66-73,,
5:07.0,Turnover by D. Cousins (offensive foul),,66-73,,
5:07.0,J. Nelson enters the game for D. Cousins,,66-73,,
5:07.0,D. Miller enters the game for R. Rondo,,66-73,,
4:58.0,,,66-73,,B. Beal misses 3-pt shot from 25 ft
4:54.0,Defensive rebound by J. Holiday,,66-73,,
4:49.0,J. Holiday misses 2-pt shot from 22 ft,,66-73,,
4:47.0,,,66-73,,Defensive rebound by J. Wall
4:43.0,,,66-73,,J. Wall misses 2-pt shot from 17 ft
4:37.0,,,66-73,,Offensive rebound by M. Gortat
4:37.0,,,66-75,2,M. Gortat makes 2-pt shot at rim
4:17.0,A. Davis misses 2-pt shot from 11 ft,,66-75,,
4:15.0,,,66-75,,Defensive rebound by M. Scott
4:08.0,,,66-75,,Washington full timeout
4:08.0,I. Clark enters the game for E. Moore,,66-75,,
3:57.0,,,66-75,,J. Wall misses 2-pt shot from 17 ft
3:53.0,,,66-75,,Offensive rebound by M. Gortat
3:42.0,,,66-75,,Shooting foul by D. Miller (drawn by K. Oubre)
3:42.0,,,66-76,1,K. Oubre makes free throw 1 of 2
3:42.0,,,66-77,1,K. Oubre makes free throw 2 of 2
3:25.0,,,66-77,,Personal foul by M. Gortat (drawn by A. Davis)
3:25.0,,,66-77,,T. Satoransky enters the game for J. Wall
3:21.0,Turnover by J. Holiday (discontinued dribble),,66-77,,
3:21.0,D. Cunningham enters the game for J. Holiday,,66-77,,
3:00.0,,,66-79,2,M. Scott makes 2-pt shot from 18 ft
2:34.0,Turnover by I. Clark (lost ball; steal by B. Beal),,66-79,,
2:31.0,,,66-81,2,B. Beal makes 2-pt shot from 1 ft
2:18.0,D. Miller misses 3-pt shot from 24 ft,,66-81,,
2:15.0,,,66-81,,Defensive rebound by T. Satoransky
1:57.0,,,66-83,2,T. Satoransky makes 2-pt shot from 14 ft
1:45.0,Turnover by J. Nelson (bad pass),,66-83,,
1:45.0,D. Cousins enters the game for D. Cunningham,,66-83,,
1:23.0,,,66-85,2,K. Oubre makes 2-pt shot from 2 ft (assist by B. Beal)
1:08.0,Shooting foul by M. Scott (drawn by A. Davis),,66-85,,
1:08.0,A. Davis makes free throw 1 of 2,1,67-85,,
1:08.0,,,67-85,,I. Mahinmi enters the game for M. Gortat
1:08.0,A. Davis makes free throw 2 of 2,1,68-85,,
0:51.0,,,68-88,3,B. Beal makes 3-pt shot from 25 ft (assist by I. Mahinmi)
0:31.0,Turnover by J. Nelson (lost ball; steal by B. Beal),,68-88,,
0:19.0,,,68-91,3,B. Beal makes 3-pt shot from 26 ft (assist by M. Scott)
0:13.0,Shooting foul by I. Mahinmi (drawn by D. Cousins),,68-91,,
0:13.0,D. Cousins makes free throw 1 of 2,1,69-91,,
0:13.0,D. Cousins makes free throw 2 of 2,1,70-91,,
0:03.0,,,70-91,,Shooting foul by I. Clark (drawn by B. Beal)
0:03.0,,,70-92,1,B. Beal makes free throw 1 of 3
0:03.0,,,70-93,1,B. Beal makes free throw 2 of 3
0:03.0,,,70-93,,J. Smith enters the game for M. Scott
0:03.0,,,70-93,,B. Beal misses free throw 3 of 3
0:02.0,Defensive rebound by D. Cousins,,70-93,,
0:00.0,D. Cousins misses 3-pt shot from 47 ft,,70-93,,
0:00.0,Offensive rebound by Team,,70-93,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,E. Moore makes 2-pt shot from 12 ft (assist by I. Clark),2,72-93,,
11:25.0,,,72-93,,M. Scott misses 3-pt shot from 25 ft
11:22.0,Defensive rebound by D. Cousins,,72-93,,
11:15.0,D. Cousins makes 2-pt shot from 2 ft,2,74-93,,
11:02.0,,,74-93,,M. Scott misses 2-pt shot from 19 ft
11:00.0,Defensive rebound by Team,,74-93,,
10:46.0,Turnover by I. Clark (bad pass),,74-93,,
10:36.0,,,74-93,,M. Scott misses 3-pt shot from 26 ft
10:32.0,Defensive rebound by E. Moore,,74-93,,
