time,Dallas,pts.away,score,pts.home,LA Clippers
5:55.0,,,63-85,3,P. Beverley makes 3-pt shot from 26 ft (assist by B. Griffin)
5:35.0,,,63-85,,Personal foul by A. Rivers (drawn by W. Matthews)
5:33.0,D. Nowitzki misses 3-pt shot from 25 ft,,63-85,,
5:29.0,,,63-85,,Defensive rebound by B. Griffin
5:21.0,,,63-85,,P. Beverley misses 3-pt shot from 23 ft
5:16.0,Defensive rebound by D. Nowitzki,,63-85,,
5:10.0,D. Smith misses 2-pt shot from 20 ft,,63-85,,
5:05.0,,,63-85,,Defensive rebound by D. Jordan
5:00.0,,,63-85,,B. Griffin misses 3-pt shot from 26 ft
4:55.0,Defensive rebound by H. Barnes,,63-85,,
4:44.0,W. Matthews makes 3-pt shot from 22 ft (assist by D. Harris),3,66-85,,
4:29.0,Personal foul by H. Barnes (drawn by B. Griffin),,66-85,,
4:29.0,,,66-85,,W. Johnson enters the game for D. Gallinari
4:29.0,N. Noel enters the game for D. Harris,,66-85,,
4:29.0,J. Barea enters the game for D. Nowitzki,,66-85,,
4:29.0,Y. Ferrell enters the game for D. Smith,,66-85,,
4:20.0,,,66-88,3,A. Rivers makes 3-pt shot from 25 ft
4:02.0,W. Matthews makes 3-pt shot from 25 ft (assist by J. Barea),3,69-88,,
3:49.0,,,69-88,,D. Jordan misses 2-pt shot from 1 ft
3:47.0,Defensive rebound by Y. Ferrell,,69-88,,
3:44.0,J. Barea misses 3-pt shot from 25 ft,,69-88,,
3:39.0,,,69-88,,Defensive rebound by D. Jordan
3:30.0,,,69-88,,W. Johnson misses 2-pt shot from 20 ft
3:26.0,Defensive rebound by H. Barnes,,69-88,,
3:21.0,H. Barnes makes 2-pt shot from 21 ft,2,71-88,,
3:06.0,Personal take foul by J. Barea (drawn by P. Beverley),,71-88,,
3:06.0,,,71-88,,L. Williams enters the game for P. Beverley
3:06.0,,,71-88,,S. Thornwell enters the game for A. Rivers
3:02.0,Personal foul by N. Noel (drawn by D. Jordan),,71-88,,
3:02.0,,,71-89,1,D. Jordan makes free throw 1 of 2
3:02.0,,,71-90,1,D. Jordan makes free throw 2 of 2
2:46.0,H. Barnes misses 3-pt shot from 23 ft,,71-90,,
2:43.0,,,71-90,,Defensive rebound by D. Jordan
2:43.0,,,71-90,,Turnover by D. Jordan (traveling)
2:43.0,,,71-90,,LA Clippers full timeout
2:43.0,,,71-90,,W. Reed enters the game for D. Jordan
2:34.0,,,71-90,,Personal foul by W. Reed (drawn by N. Noel)
2:34.0,N. Noel makes free throw 1 of 2,1,72-90,,
2:34.0,N. Noel makes free throw 2 of 2,1,73-90,,
2:16.0,Personal foul by W. Matthews (drawn by B. Griffin),,73-90,,
2:16.0,,,73-91,1,B. Griffin makes free throw 1 of 2
2:16.0,,,73-92,1,B. Griffin makes free throw 2 of 2
2:04.0,,,73-92,,Personal foul by B. Griffin (drawn by J. Barea)
2:04.0,Technical foul by J. Barea,,73-92,,
2:04.0,,,73-93,1,L. Williams makes technical free throw
2:04.0,J. Barea makes free throw 1 of 2,1,74-93,,
2:04.0,J. Barea makes free throw 2 of 2,1,75-93,,
1:51.0,,,75-93,,L. Williams misses 2-pt shot from 15 ft
1:46.0,Defensive rebound by J. Barea,,75-93,,
1:43.0,J. Barea misses 3-pt shot from 25 ft,,75-93,,
1:43.0,Offensive rebound by N. Noel,,75-93,,
1:32.0,W. Matthews makes 2-pt shot from 4 ft (assist by H. Barnes),2,77-93,,
1:18.0,,,77-93,,B. Griffin misses 2-pt shot from 5 ft
1:18.0,Defensive rebound by J. Barea,,77-93,,
1:12.0,Offensive charge foul by Y. Ferrell (drawn by L. Williams),,77-93,,
1:12.0,Turnover by Y. Ferrell (offensive foul),,77-93,,
1:12.0,,,77-93,,D. Gallinari enters the game for B. Griffin
0:55.0,,,77-93,,Turnover by W. Reed (bad pass; steal by Y. Ferrell)
0:45.0,J. Barea misses 3-pt shot from 22 ft,,77-93,,
0:41.0,,,77-93,,Defensive rebound by W. Johnson
0:24.0,,,77-95,2,W. Reed makes 2-pt shot at rim (assist by L. Williams)
0:02.0,J. Barea misses 2-pt shot from 11 ft,,77-95,,
0:02.0,,,77-95,,Defensive rebound by L. Williams
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,77-98,3,L. Williams makes 3-pt shot from 25 ft (assist by S. Thornwell)
11:31.0,Y. Ferrell makes 2-pt shot from 1 ft,2,79-98,,
11:20.0,,,79-101,3,D. Gallinari makes 3-pt shot from 25 ft (assist by L. Williams)
11:06.0,N. Noel misses 2-pt shot from 15 ft,,79-101,,
11:01.0,,,79-101,,Defensive rebound by W. Reed
10:56.0,,,79-101,,Turnover by L. Williams (bad pass)
10:47.0,D. Powell misses 3-pt shot from 24 ft,,79-101,,
10:43.0,,,79-101,,Defensive rebound by L. Williams
10:32.0,,,79-103,2,L. Williams makes 2-pt shot from 3 ft
10:22.0,N. Noel misses 2-pt shot from 18 ft,,79-103,,
10:22.0,,,79-103,,Defensive rebound by W. Reed
10:06.0,,,79-103,,D. Gallinari misses 3-pt shot from 26 ft
