time,Dallas,pts.away,score,pts.home,Boston
10:16.0,,,30-24,,S. Larkin misses 3-pt shot from 25 ft
10:14.0,Defensive rebound by Y. Ferrell,,30-24,,
10:05.0,D. Nowitzki misses 2-pt shot from 9 ft,,30-24,,
10:03.0,,,30-24,,Defensive rebound by D. Theis
9:54.0,,,30-27,3,S. Larkin makes 3-pt shot from 24 ft (assist by G. Yabusele)
9:52.0,,,30-27,,Loose ball foul by M. Smart (drawn by Y. Ferrell)
9:52.0,,,30-27,,A. Nader enters the game for M. Smart
9:37.0,D. Nowitzki makes 3-pt shot from 22 ft (assist by J. Barea),3,33-27,,
9:26.0,,,33-30,3,S. Larkin makes 3-pt shot from 24 ft (assist by G. Yabusele)
9:08.0,Shooting foul by D. Theis (drawn by D. Harris),,33-30,,
9:08.0,D. Harris makes free throw 1 of 2,1,34-30,,
9:08.0,D. Harris makes free throw 2 of 2,1,35-30,,
8:45.0,,,35-33,3,G. Yabusele makes 3-pt shot from 25 ft (assist by D. Theis)
8:23.0,D. Nowitzki makes 2-pt shot from 21 ft (assist by D. Harris),2,37-33,,
7:56.0,,,37-33,,T. Rozier misses 3-pt shot from 24 ft
7:53.0,Defensive rebound by D. Powell,,37-33,,
7:40.0,D. Nowitzki misses 2-pt shot from 17 ft,,37-33,,
7:35.0,,,37-33,,Defensive rebound by D. Theis
7:28.0,,,37-36,3,A. Nader makes 3-pt shot from 23 ft (assist by G. Yabusele)
7:28.0,Dallas full timeout,,37-36,,
7:28.0,H. Barnes enters the game for D. Harris,,37-36,,
7:28.0,D. Smith enters the game for D. Nowitzki,,37-36,,
7:28.0,,,37-36,,K. Irving enters the game for D. Theis
7:28.0,,,37-36,,S. Ojeleye enters the game for S. Larkin
7:09.0,H. Barnes makes 2-pt shot from 12 ft,2,39-36,,
6:45.0,,,39-38,2,K. Irving makes 2-pt shot from 15 ft
6:28.0,J. Barea misses 3-pt shot from 26 ft,,39-38,,
6:25.0,,,39-38,,Defensive rebound by T. Rozier
6:17.0,,,39-38,,G. Yabusele misses 2-pt shot from 4 ft
6:17.0,,,39-38,,Offensive rebound by K. Irving
6:12.0,,,39-38,,K. Irving misses 3-pt shot from 23 ft
6:12.0,Defensive rebound by D. Powell,,39-38,,
5:58.0,D. Smith misses 2-pt shot from 18 ft,,39-38,,
5:58.0,Offensive rebound by D. Powell,,39-38,,
5:51.0,D. Smith misses 2-pt shot from 5 ft (block by A. Nader),,39-38,,
5:51.0,,,39-38,,Defensive rebound by G. Yabusele
5:43.0,,,39-38,,A. Nader misses 2-pt shot from 6 ft
5:43.0,Defensive rebound by D. Smith,,39-38,,
5:25.0,Shooting foul by K. Irving (drawn by H. Barnes),,39-38,,
5:25.0,H. Barnes makes free throw 1 of 2,1,40-38,,
5:25.0,,,40-38,,J. Tatum enters the game for T. Rozier
5:25.0,,,40-38,,A. Horford enters the game for G. Yabusele
5:25.0,W. Matthews enters the game for J. Barea,,40-38,,
5:25.0,M. Kleber enters the game for D. Powell,,40-38,,
5:25.0,H. Barnes makes free throw 2 of 2,1,41-38,,
5:11.0,,,41-40,2,K. Irving makes 2-pt shot from 2 ft (assist by A. Horford)
4:57.0,D. Smith makes 3-pt shot from 22 ft (assist by H. Barnes),3,44-40,,
4:36.0,,,44-40,,A. Horford misses 2-pt shot from 2 ft
4:36.0,Defensive rebound by Y. Ferrell,,44-40,,
4:27.0,Y. Ferrell makes 3-pt shot from 26 ft,3,47-40,,
4:14.0,,,47-40,,S. Ojeleye misses 3-pt shot from 24 ft
4:11.0,,,47-40,,Offensive rebound by A. Horford
4:08.0,,,47-40,,J. Tatum misses 2-pt shot from 4 ft (block by M. Kleber)
4:08.0,Defensive rebound by M. Kleber,,47-40,,
4:02.0,Turnover by M. Kleber (bad pass; steal by A. Nader),,47-40,,
3:57.0,,,47-40,,A. Nader misses 3-pt shot from 22 ft
3:54.0,,,47-40,,Offensive rebound by A. Horford
3:53.0,,,47-42,2,A. Horford makes 2-pt shot from 3 ft
3:40.0,Y. Ferrell makes 3-pt shot from 24 ft (assist by M. Kleber),3,50-42,,
3:16.0,,,50-44,2,J. Tatum makes 2-pt shot from 16 ft (assist by A. Horford)
3:02.0,M. Kleber makes 3-pt shot from 22 ft (assist by Y. Ferrell),3,53-44,,
2:51.0,,,53-44,,Boston full timeout
2:51.0,,,53-44,,M. Smart enters the game for A. Nader
2:51.0,,,53-44,,D. Theis enters the game for S. Ojeleye
2:42.0,,,53-44,,Turnover by D. Theis (bad pass; steal by D. Smith)
2:35.0,D. Smith misses 2-pt shot from 8 ft,,53-44,,
2:32.0,,,53-44,,Defensive rebound by J. Tatum
2:14.0,,,53-47,3,J. Tatum makes 3-pt shot from 26 ft (assist by A. Horford)
1:58.0,Y. Ferrell misses 3-pt shot from 25 ft,,53-47,,
1:54.0,,,53-47,,Defensive rebound by D. Theis
1:48.0,,,53-47,,K. Irving misses 2-pt shot from 5 ft
1:46.0,Defensive rebound by M. Kleber,,53-47,,
1:29.0,W. Matthews makes 2-pt shot from 13 ft (assist by Y. Ferrell),2,55-47,,
1:15.0,,,55-47,,K. Irving misses 3-pt shot from 24 ft
1:12.0,Defensive rebound by M. Kleber,,55-47,,
1:02.0,W. Matthews misses 3-pt shot from 26 ft,,55-47,,
0:59.0,,,55-47,,Defensive rebound by D. Theis
0:51.0,,,55-47,,A. Horford misses 2-pt shot at rim (block by M. Kleber)
0:51.0,,,55-47,,Offensive rebound by D. Theis
0:46.0,,,55-47,,D. Theis misses 2-pt shot from 3 ft (block by M. Kleber)
0:46.0,Defensive rebound by Y. Ferrell,,55-47,,
0:29.0,D. Smith makes 2-pt shot from 3 ft,2,57-47,,
0:11.0,,,57-47,,Turnover by K. Irving (lost ball; steal by Y. Ferrell)
0:01.0,D. Smith misses 2-pt shot from 15 ft,,57-47,,
0:01.0,,,57-47,,Defensive rebound by D. Theis
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,57-47,,A. Horford misses 2-pt shot from 9 ft
11:39.0,Defensive rebound by D. Nowitzki,,57-47,,
11:29.0,M. Kleber makes 2-pt shot from 2 ft (assist by D. Smith),2,59-47,,
11:11.0,,,59-47,,J. Tatum misses 2-pt shot from 7 ft
11:06.0,Defensive rebound by D. Nowitzki,,59-47,,
10:52.0,D. Smith misses 2-pt shot from 5 ft (block by A. Baynes),,59-47,,
10:48.0,,,59-47,,Defensive rebound by M. Smart
10:45.0,,,59-50,3,J. Tatum makes 3-pt shot from 26 ft (assist by M. Smart)
10:27.0,D. Smith misses 3-pt shot from 24 ft,,59-50,,
10:24.0,,,59-50,,Defensive rebound by A. Baynes
10:16.0,,,59-53,3,A. Horford makes 3-pt shot from 26 ft (assist by K. Irving)
9:53.0,H. Barnes misses 2-pt shot from 9 ft (block by K. Irving),,59-53,,
9:49.0,,,59-53,,Defensive rebound by A. Baynes
9:48.0,,,59-55,2,A. Horford makes 2-pt shot from 2 ft (assist by M. Smart)
9:48.0,Dallas full timeout,,59-55,,
9:32.0,Turnover by W. Matthews (lost ball; steal by J. Tatum),,59-55,,
9:29.0,,,59-57,2,J. Tatum makes 2-pt shot at rim
9:10.0,Turnover by W. Matthews (bad pass),,59-57,,
8:55.0,,,59-57,,Turnover by K. Irving (bad pass; steal by D. Nowitzki)
8:40.0,D. Smith misses 2-pt shot from 10 ft,,59-57,,
8:36.0,,,59-57,,Defensive rebound by A. Baynes
8:28.0,,,59-59,2,K. Irving makes 2-pt shot from 4 ft (assist by A. Horford)
8:03.0,H. Barnes makes 2-pt shot from 9 ft,2,61-59,,
7:54.0,,,61-59,,K. Irving misses 2-pt shot from 3 ft (block by M. Kleber)
7:51.0,Defensive rebound by D. Nowitzki,,61-59,,
7:40.0,M. Kleber misses 2-pt shot from 15 ft,,61-59,,
7:36.0,,,61-59,,Defensive rebound by J. Tatum
7:29.0,,,61-59,,A. Baynes misses 2-pt shot from 21 ft
7:26.0,Defensive rebound by D. Nowitzki,,61-59,,
7:18.0,D. Smith misses 3-pt shot from 24 ft,,61-59,,
7:14.0,Offensive rebound by D. Smith,,61-59,,
7:13.0,W. Matthews misses 3-pt shot from 23 ft,,61-59,,
7:13.0,,,61-59,,Defensive rebound by A. Baynes
7:00.0,,,61-59,,A. Horford misses 2-pt shot from 8 ft
6:56.0,Defensive rebound by D. Nowitzki,,61-59,,
6:35.0,W. Matthews misses 2-pt shot from 14 ft,,61-59,,
6:34.0,Offensive rebound by Team,,61-59,,
6:34.0,Turnover by Team (shot clock),,61-59,,
6:21.0,,,61-62,3,A. Horford makes 3-pt shot from 23 ft (assist by K. Irving)
6:19.0,Dallas full timeout,,61-62,,
6:19.0,,,61-62,,S. Ojeleye enters the game for A. Baynes
6:19.0,Y. Ferrell enters the game for D. Smith,,61-62,,
6:19.0,J. Barea enters the game for D. Nowitzki,,61-62,,
6:02.0,H. Barnes makes 2-pt shot from 16 ft (assist by J. Barea),2,63-62,,
5:44.0,,,63-64,2,A. Horford makes 2-pt shot from 1 ft (assist by M. Smart)
5:19.0,H. Barnes makes 2-pt shot from 9 ft,2,65-64,,
5:02.0,,,65-66,2,J. Tatum makes 2-pt shot from 15 ft (assist by M. Smart)
4:46.0,Y. Ferrell misses 2-pt shot from 2 ft,,65-66,,
4:46.0,,,65-66,,Defensive rebound by Team
4:46.0,,,65-66,,T. Rozier enters the game for J. Tatum
4:28.0,,,65-66,,Turnover by M. Smart (bad pass; steal by W. Matthews)
4:24.0,J. Barea makes 2-pt shot from 1 ft (assist by H. Barnes),2,67-66,,
4:07.0,,,67-66,,A. Horford misses 2-pt shot from 10 ft
4:04.0,Defensive rebound by W. Matthews,,67-66,,
3:41.0,Turnover by Team (shot clock),,67-66,,
3:23.0,,,67-66,,A. Horford misses 2-pt shot from 8 ft
3:20.0,Defensive rebound by H. Barnes,,67-66,,
3:09.0,H. Barnes misses 2-pt shot from 15 ft,,67-66,,
3:06.0,,,67-66,,Defensive rebound by T. Rozier
3:03.0,,,67-68,2,T. Rozier makes 2-pt shot from 4 ft
2:43.0,H. Barnes makes 2-pt shot from 17 ft,2,69-68,,
2:42.0,,,69-68,,Boston full timeout
2:42.0,,,69-68,,S. Larkin enters the game for K. Irving
2:42.0,D. Harris enters the game for W. Matthews,,69-68,,
2:28.0,,,69-68,,T. Rozier misses 3-pt shot from 26 ft
2:25.0,Defensive rebound by H. Barnes,,69-68,,
2:13.0,D. Harris misses 2-pt shot from 2 ft,,69-68,,
2:11.0,,,69-68,,Defensive rebound by A. Horford
2:04.0,,,69-68,,S. Ojeleye misses 3-pt shot from 22 ft
2:00.0,Defensive rebound by J. Barea,,69-68,,
1:51.0,M. Kleber makes 2-pt shot from 1 ft (assist by Y. Ferrell),2,71-68,,
1:39.0,,,71-68,,T. Rozier misses 3-pt shot from 27 ft
1:35.0,Defensive rebound by H. Barnes,,71-68,,
1:20.0,Turnover by J. Barea (bad pass; steal by A. Horford),,71-68,,
1:06.0,,,71-68,,S. Ojeleye misses 3-pt shot from 25 ft
1:02.0,Defensive rebound by J. Barea,,71-68,,
0:50.0,H. Barnes makes 2-pt shot from 1 ft,2,73-68,,
0:36.0,,,73-68,,M. Smart misses 2-pt shot from 7 ft
0:33.0,Defensive rebound by J. Barea,,73-68,,
0:30.0,J. Barea misses 3-pt shot from 26 ft,,73-68,,
0:27.0,,,73-68,,Defensive rebound by S. Ojeleye
0:18.0,,,73-68,,Shooting foul by D. Harris (drawn by T. Rozier)
0:18.0,,,73-69,1,T. Rozier makes free throw 1 of 2
0:18.0,,,73-69,,J. Tatum enters the game for S. Larkin
0:18.0,D. Nowitzki enters the game for H. Barnes,,73-69,,
0:18.0,D. Powell enters the game for M. Kleber,,73-69,,
0:18.0,,,73-70,1,T. Rozier makes free throw 2 of 2
0:12.0,,,73-70,,Personal foul by T. Rozier (drawn by J. Barea)
0:04.0,D. Powell misses 2-pt shot from 2 ft (block by A. Horford),,73-70,,
0:00.0,,,73-70,,Defensive rebound by J. Tatum
0:00.0,,,73-70,,J. Tatum misses 3-pt shot from 33 ft
0:00.0,,,73-70,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,D. Harris misses 3-pt shot from 24 ft,,73-70,,
11:40.0,,,73-70,,Defensive rebound by S. Larkin
11:27.0,,,73-72,2,D. Theis makes 2-pt shot from 1 ft (assist by S. Larkin)
11:12.0,Y. Ferrell misses 2-pt shot from 1 ft,,73-72,,
11:12.0,Offensive rebound by Team,,73-72,,
11:12.0,W. Matthews enters the game for D. Harris,,73-72,,
11:04.0,J. Barea misses 2-pt shot from 16 ft,,73-72,,
10:54.0,Offensive rebound by D. Powell,,73-72,,
10:54.0,D. Powell misses 2-pt shot at rim (block by D. Theis),,73-72,,
10:53.0,,,73-72,,Defensive rebound by T. Rozier
10:51.0,,,73-72,,J. Tatum misses 2-pt shot from 16 ft
10:51.0,Defensive rebound by D. Powell,,73-72,,
10:39.0,J. Barea misses 2-pt shot from 10 ft,,73-72,,
10:39.0,,,73-72,,Defensive rebound by T. Rozier
10:32.0,,,73-72,,Shooting foul by D. Powell (drawn by T. Rozier)
10:32.0,,,73-73,1,T. Rozier makes free throw 1 of 2
10:32.0,,,73-74,1,T. Rozier makes free throw 2 of 2
10:15.0,,,73-74,,Personal foul by J. Tatum (drawn by W. Matthews)
