time,Detroit,pts.away,score,pts.home,Toronto
5:40.0,R. Bullock misses 2-pt shot from 15 ft,,83-109,,
5:37.0,,,83-109,,Defensive rebound by M. Miller
5:23.0,,,83-109,,M. Miller misses 3-pt shot from 22 ft
5:23.0,,,83-109,,Offensive rebound by Team
5:22.0,Loose ball foul by H. Ellenson (drawn by P. Siakam),,83-109,,
5:22.0,,,83-109,,N. Powell enters the game for F. VanVleet
5:17.0,,,83-112,3,N. Powell makes 3-pt shot from 25 ft (assist by P. Siakam)
4:57.0,A. Drummond makes 2-pt shot from 2 ft (assist by H. Ellenson),2,85-112,,
4:44.0,,,85-112,,Turnover by J. Poeltl (lost ball; steal by A. Drummond)
4:41.0,A. Drummond makes 2-pt shot from 2 ft,2,87-112,,
4:24.0,,,87-114,2,P. Siakam makes 2-pt shot from 4 ft
4:11.0,I. Smith makes 2-pt shot from 1 ft,2,89-114,,
4:00.0,,,89-114,,J. Poeltl misses 2-pt shot from 6 ft
3:57.0,Defensive rebound by H. Ellenson,,89-114,,
3:54.0,Shooting foul by J. Poeltl (drawn by H. Ellenson),,89-114,,
3:54.0,H. Ellenson misses free throw 1 of 2,,89-114,,
3:54.0,Offensive rebound by Team,,89-114,,
3:54.0,E. Moreland enters the game for A. Drummond,,89-114,,
3:54.0,L. Galloway enters the game for I. Smith,,89-114,,
3:54.0,L. Kennard enters the game for R. Bullock,,89-114,,
3:54.0,H. Ellenson makes free throw 2 of 2,1,90-114,,
3:54.0,,,90-114,,Toronto full timeout
3:54.0,,,90-114,,L. Nogueira enters the game for J. Poeltl
3:36.0,,,90-114,,Turnover by P. Siakam (bad pass)
3:20.0,J. Ennis misses 3-pt shot from 28 ft,,90-114,,
3:15.0,,,90-114,,Defensive rebound by N. Powell
2:57.0,,,90-116,2,P. Siakam makes 2-pt shot from 2 ft (assist by L. Nogueira)
2:40.0,L. Kennard misses 2-pt shot from 17 ft,,90-116,,
2:36.0,,,90-116,,Defensive rebound by L. Nogueira
2:20.0,,,90-118,2,N. Powell makes 2-pt shot from 7 ft (assist by P. Siakam)
2:09.0,H. Ellenson makes 2-pt shot from 2 ft,2,92-118,,
1:52.0,,,92-121,3,L. Nogueira makes 3-pt shot from 24 ft (assist by M. Miller)
1:46.0,,,92-121,,Violation by P. Siakam (kicked ball)
1:41.0,H. Ellenson misses 3-pt shot from 25 ft,,92-121,,
1:37.0,,,92-121,,Defensive rebound by D. Wright
1:33.0,,,92-121,,Turnover by L. Nogueira (bad pass; steal by J. Ennis)
1:27.0,J. Ennis misses 2-pt shot from 4 ft,,92-121,,
1:23.0,,,92-121,,Defensive rebound by P. Siakam
1:23.0,,,92-123,2,N. Powell makes 2-pt shot from 2 ft (assist by P. Siakam)
1:13.0,L. Kennard misses 2-pt shot from 15 ft,,92-123,,
1:10.0,,,92-123,,Defensive rebound by L. Nogueira
1:01.0,,,92-123,,M. Miller misses 3-pt shot from 24 ft
0:58.0,Defensive rebound by L. Galloway,,92-123,,
0:45.0,H. Ellenson misses 2-pt shot from 11 ft,,92-123,,
0:45.0,,,92-123,,Defensive rebound by M. Miller
0:23.0,,,92-123,,D. Wright misses 3-pt shot from 24 ft
0:23.0,Defensive rebound by H. Ellenson,,92-123,,
0:09.0,E. Moreland makes 2-pt shot from 2 ft (assist by L. Kennard),2,94-123,,
