time,LA Lakers,pts.away,score,pts.home,Miami
3:41.0,LA Lakers full timeout,,126-111,,
3:41.0,I. Thomas enters the game for B. Ingram,,126-111,,
3:27.0,L. Ball makes 2-pt shot from 10 ft,2,128-111,,
3:27.0,Shooting foul by D. Wade (drawn by L. Ball),,128-111,,
3:27.0,L. Ball misses free throw 1 of 1,,128-111,,
3:23.0,,,128-111,,Defensive rebound by J. Winslow
3:05.0,,,128-111,,J. Richardson misses 3-pt shot from 25 ft
3:03.0,Defensive rebound by K. Kuzma,,128-111,,
2:48.0,LA Lakers full timeout,,128-111,,
2:48.0,,,128-111,,R. McGruder enters the game for D. Wade
2:42.0,Turnover by I. Thomas (traveling),,128-111,,
2:24.0,,,128-111,,G. Dragic misses 3-pt shot from 23 ft
2:19.0,,,128-111,,Offensive rebound by G. Dragic
2:17.0,,,128-111,,G. Dragic misses 2-pt shot from 3 ft (block by K. Kuzma)
2:15.0,Defensive rebound by J. Randle,,128-111,,
1:57.0,Turnover by I. Thomas (bad pass; steal by J. Winslow),,128-111,,
1:41.0,,,128-111,,J. Richardson misses 3-pt shot from 26 ft
1:40.0,Defensive rebound by I. Thomas,,128-111,,
1:16.0,Turnover by Team (shot clock),,128-111,,
1:16.0,,,128-111,,J. Mickey enters the game for J. Richardson
1:16.0,,,128-111,,L. Babbitt enters the game for G. Dragic
1:16.0,G. Payton enters the game for L. Ball,,128-111,,
1:16.0,T. Bryant enters the game for I. Thomas,,128-111,,
1:16.0,T. Ennis enters the game for J. Randle,,128-111,,
1:06.0,,,128-111,,Shooting foul by T. Bryant (drawn by J. Winslow)
1:06.0,,,128-111,,J. Winslow misses free throw 1 of 2
1:06.0,,,128-111,,Offensive rebound by Team
1:06.0,,,128-111,,J. Winslow misses free throw 2 of 2
1:03.0,,,128-111,,Offensive rebound by J. Mickey
0:51.0,,,128-111,,L. Babbitt misses 3-pt shot from 24 ft
0:51.0,,,128-111,,Offensive rebound by Team
0:42.0,,,128-111,,R. McGruder misses 2-pt shot from 7 ft
0:41.0,Defensive rebound by Team,,128-111,,
0:35.0,Offensive foul by T. Bryant (drawn by B. Adebayo),,128-111,,
0:35.0,Turnover by T. Bryant (offensive foul),,128-111,,
0:25.0,,,128-113,2,J. Winslow makes 2-pt shot from 1 ft
0:04.0,K. Kuzma makes 3-pt shot from 25 ft,3,131-113,,
