time,Phoenix,pts.away,score,pts.home,Philadelphia
6:45.0,Defensive rebound by M. Chriss,,97-91,,
6:32.0,Turnover by D. Booker (bad pass; steal by B. Simmons),,97-91,,
6:15.0,,,97-91,,J. Embiid misses 2-pt shot from 12 ft
6:13.0,Defensive rebound by M. Chriss,,97-91,,
6:00.0,Turnover by T. Ulis (bad pass),,97-91,,
5:38.0,,,97-91,,T. Luwawu-Cabarrot misses 2-pt shot from 3 ft (block by T. Chandler)
5:38.0,Defensive rebound by Team,,97-91,,
5:21.0,J. Jackson misses 2-pt shot from 5 ft,,97-91,,
5:18.0,Offensive rebound by T. Chandler,,97-91,,
5:06.0,D. Booker makes 2-pt shot at rim,2,99-91,,
5:04.0,,,99-91,,Philadelphia full timeout
5:04.0,,,99-91,,R. Covington enters the game for T. Luwawu-Cabarrot
5:04.0,T. Warren enters the game for J. Jackson,,99-91,,
4:49.0,,,99-94,3,J. Redick makes 3-pt shot from 25 ft (assist by B. Simmons)
4:28.0,D. Booker misses 2-pt shot from 6 ft,,99-94,,
4:25.0,Offensive rebound by T. Chandler,,99-94,,
4:23.0,T. Ulis makes 3-pt shot from 24 ft,3,102-94,,
4:03.0,,,102-94,,R. Covington misses 3-pt shot from 27 ft
3:59.0,Defensive rebound by T. Chandler,,102-94,,
3:42.0,D. Booker makes 3-pt shot from 24 ft (assist by T. Ulis),3,105-94,,
3:41.0,,,105-94,,Philadelphia full timeout
3:33.0,Personal foul by T. Ulis (drawn by J. Redick),,105-94,,
3:28.0,,,105-94,,J. Redick misses 3-pt shot from 25 ft
3:26.0,,,105-94,,Offensive rebound by D. Saric
3:22.0,,,105-94,,Turnover by R. Covington (bad pass; steal by T. Warren)
2:59.0,D. Booker makes 3-pt shot from 26 ft,3,108-94,,
2:46.0,Personal foul by T. Ulis (drawn by J. Redick),,108-94,,
2:39.0,,,108-94,,D. Saric misses 3-pt shot from 25 ft
2:35.0,Defensive rebound by D. Booker,,108-94,,
2:13.0,D. Booker misses 2-pt shot from 21 ft,,108-94,,
2:10.0,,,108-94,,Defensive rebound by D. Saric
2:04.0,,,108-94,,Turnover by B. Simmons (bad pass; steal by D. Booker)
2:01.0,D. Booker makes 2-pt shot at rim,2,110-94,,
2:01.0,,,110-94,,Philadelphia full timeout
2:01.0,,,110-94,,A. Johnson enters the game for J. Redick
2:01.0,,,110-94,,T. Luwawu-Cabarrot enters the game for J. Embiid
1:48.0,,,110-97,3,R. Covington makes 3-pt shot from 24 ft (assist by D. Saric)
1:27.0,D. Booker makes 3-pt shot from 25 ft,3,113-97,,
1:17.0,,,113-97,,B. Simmons misses 2-pt shot from 9 ft
1:17.0,,,113-97,,Offensive rebound by A. Johnson
1:17.0,,,113-99,2,D. Saric makes 2-pt shot from 2 ft (assist by A. Johnson)
1:16.0,,,113-99,,Personal take foul by D. Saric (drawn by D. Booker)
1:16.0,,,113-99,,N. Stauskas enters the game for B. Simmons
1:16.0,,,113-99,,J. Bayless enters the game for R. Covington
0:53.0,D. Booker makes 2-pt shot from 20 ft,2,115-99,,
0:41.0,,,115-99,,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft
0:39.0,Defensive rebound by T. Chandler,,115-99,,
0:23.0,T. Chandler misses 2-pt shot at rim,,115-99,,
0:21.0,,,115-99,,Defensive rebound by J. Bayless
0:17.0,,,115-101,2,D. Saric makes 2-pt shot from 3 ft (assist by T. Luwawu-Cabarrot)
