time,Denver,pts.away,score,pts.home,Charlotte
4:48.0,Personal foul by P. Millsap (drawn by K. Walker),,83-102,,
4:48.0,,,83-103,1,K. Walker makes free throw 1 of 2
4:48.0,,,83-104,1,K. Walker makes free throw 2 of 2
4:38.0,W. Barton misses 3-pt shot from 26 ft,,83-104,,
4:34.0,,,83-104,,Defensive rebound by D. Howard
4:19.0,,,83-106,2,F. Kaminsky makes 2-pt shot from 5 ft (assist by M. Monk)
4:19.0,Denver full timeout,,83-106,,
4:19.0,M. Beasley enters the game for P. Millsap,,83-106,,
4:19.0,M. Plumlee enters the game for G. Harris,,83-106,,
4:19.0,T. Lyles enters the game for N. Jokic,,83-106,,
4:02.0,M. Plumlee misses 2-pt shot from 2 ft (block by F. Kaminsky),,83-106,,
4:02.0,Offensive rebound by M. Plumlee,,83-106,,
4:02.0,Shooting foul by F. Kaminsky (drawn by M. Plumlee),,83-106,,
4:02.0,M. Plumlee makes free throw 1 of 2,1,84-106,,
4:02.0,M. Plumlee misses free throw 2 of 2,,84-106,,
3:59.0,,,84-106,,Defensive rebound by D. Howard
3:46.0,,,84-106,,Turnover by D. Howard (step out of bounds)
3:38.0,J. Murray makes 2-pt shot from 6 ft,2,86-106,,
3:38.0,,,86-106,,Violation by D. Howard (def goaltending)
3:28.0,,,86-106,,Shooting foul by M. Plumlee (drawn by K. Walker)
3:28.0,,,86-107,1,K. Walker makes free throw 1 of 2
3:28.0,,,86-107,,J. O'Bryant enters the game for M. Williams
3:28.0,,,86-107,,M. Mathiang enters the game for D. Howard
3:28.0,,,86-107,,T. Graham enters the game for F. Kaminsky
3:28.0,,,86-108,1,K. Walker makes free throw 2 of 2
3:10.0,T. Lyles misses 2-pt shot from 18 ft,,86-108,,
3:05.0,,,86-108,,Defensive rebound by M. Mathiang
2:55.0,,,86-110,2,J. O'Bryant makes 2-pt shot from 14 ft
2:55.0,Denver full timeout,,86-110,,
2:55.0,,,86-110,,D. Bacon enters the game for M. Monk
2:55.0,,,86-110,,M. Paige enters the game for K. Walker
2:45.0,J. Murray misses 3-pt shot from 23 ft,,86-110,,
2:34.0,,,86-110,,Defensive rebound by M. Paige
2:30.0,,,86-110,,Turnover by J. O'Bryant (traveling)
2:14.0,J. Murray misses 2-pt shot from 16 ft,,86-110,,
2:10.0,,,86-110,,Defensive rebound by J. O'Bryant
2:02.0,,,86-110,,M. Paige misses 2-pt shot from 15 ft
2:00.0,Defensive rebound by M. Plumlee,,86-110,,
1:51.0,M. Beasley makes 2-pt shot from 1 ft (assist by W. Barton),2,88-110,,
1:42.0,,,88-110,,M. Paige misses 2-pt shot from 3 ft
1:38.0,Defensive rebound by T. Lyles,,88-110,,
1:35.0,J. Murray makes 2-pt shot from 1 ft,2,90-110,,
1:17.0,,,90-110,,D. Bacon misses 2-pt shot from 16 ft
1:17.0,Defensive rebound by M. Plumlee,,90-110,,
1:01.0,W. Barton misses 3-pt shot from 23 ft,,90-110,,
0:58.0,,,90-110,,Defensive rebound by M. Paige
0:43.0,,,90-110,,J. O'Bryant misses 2-pt shot from 10 ft
0:41.0,Defensive rebound by M. Plumlee,,90-110,,
0:36.0,M. Beasley makes 3-pt shot from 25 ft (assist by J. Murray),3,93-110,,
0:22.0,,,93-110,,M. Mathiang misses 2-pt shot from 2 ft
0:19.0,,,93-110,,Offensive rebound by M. Mathiang
0:17.0,,,93-110,,M. Mathiang misses 2-pt shot from 2 ft
0:17.0,,,93-110,,Offensive rebound by T. Graham
