time,Golden State,pts.away,score,pts.home,Atlanta
3:54.0,,,107-97,,D. Schroder misses 2-pt shot from 1 ft
3:51.0,Defensive rebound by D. Green,,107-97,,
3:49.0,K. Durant makes 2-pt shot from 6 ft,2,109-97,,
3:32.0,,,109-97,,T. Waller-Prince misses 3-pt shot from 23 ft
3:29.0,Defensive rebound by K. Thompson,,109-97,,
3:17.0,K. Durant misses 2-pt shot from 13 ft,,109-97,,
3:13.0,,,109-97,,Defensive rebound by J. Collins
3:06.0,,,109-97,,T. Waller-Prince misses 3-pt shot from 22 ft
3:05.0,,,109-97,,Offensive rebound by Team
3:05.0,Loose ball foul by N. Young (drawn by J. Collins),,109-97,,
3:05.0,,,109-97,,D. Dedmon enters the game for M. Delaney
2:48.0,,,109-97,,Turnover by K. Bazemore (bad pass; steal by K. Durant)
2:43.0,Turnover by K. Thompson (bad pass; steal by T. Waller-Prince),,109-97,,
2:38.0,,,109-100,3,T. Waller-Prince makes 3-pt shot from 25 ft (assist by D. Schroder)
2:18.0,Shooting foul by J. Collins (drawn by K. Durant),,109-100,,
2:18.0,K. Durant makes free throw 1 of 2,1,110-100,,
2:18.0,K. Durant makes free throw 2 of 2,1,111-100,,
2:06.0,,,111-102,2,K. Bazemore makes 2-pt shot at rim (assist by J. Collins)
1:53.0,Turnover by K. Durant (bad pass; steal by D. Schroder),,111-102,,
1:49.0,Personal foul by K. Thompson (drawn by D. Schroder),,111-102,,
1:35.0,,,111-102,,Turnover by T. Waller-Prince (out of bounds lost ball)
1:11.0,A. Iguodala misses 3-pt shot from 23 ft,,111-102,,
1:06.0,,,111-102,,Defensive rebound by K. Bazemore
1:04.0,,,111-102,,Shooting foul by K. Durant (drawn by J. Collins)
1:04.0,,,111-103,1,J. Collins makes free throw 1 of 2
1:04.0,,,111-104,1,J. Collins makes free throw 2 of 2
0:52.0,K. Durant misses 2-pt shot from 17 ft,,111-104,,
0:48.0,,,111-104,,Defensive rebound by D. Dedmon
0:38.0,,,111-106,2,D. Schroder makes 2-pt shot from 8 ft
0:28.0,N. Young misses 3-pt shot from 22 ft,,111-106,,
0:24.0,,,111-106,,Defensive rebound by D. Schroder
0:20.0,,,111-106,,Shooting foul by D. Green (drawn by D. Schroder)
0:20.0,,,111-107,1,D. Schroder makes free throw 1 of 3
0:20.0,,,111-108,1,D. Schroder makes free throw 2 of 3
0:20.0,,,111-109,1,D. Schroder makes free throw 3 of 3
0:19.0,Golden State full timeout,,111-109,,
0:19.0,,,111-109,,M. Delaney enters the game for J. Collins
0:18.0,,,111-109,,Personal take foul by T. Waller-Prince (drawn by K. Thompson)
0:18.0,,,111-109,,Personal foul by D. Schroder (drawn by K. Durant)
0:18.0,K. Durant misses free throw 1 of 2,,111-109,,
0:18.0,Offensive rebound by Team,,111-109,,
0:18.0,K. Durant makes free throw 2 of 2,1,112-109,,
0:18.0,,,112-109,,Atlanta full timeout
0:18.0,,,112-109,,M. Muscala enters the game for M. Delaney
0:07.0,,,112-109,,Turnover by K. Bazemore (lost ball; steal by A. Iguodala)
0:06.0,A. Iguodala makes 2-pt shot from 1 ft,2,114-109,,
0:01.0,,,114-109,,D. Schroder misses 3-pt shot from 26 ft
0:01.0,,,114-109,,Offensive rebound by Team
