time,New Orleans,pts.away,score,pts.home,Chicago
11:10.0,,,59-64,,L. Markkanen misses 3-pt shot from 25 ft
11:07.0,Defensive rebound by D. Cousins,,59-64,,
10:56.0,D. Miller makes 3-pt shot from 22 ft (assist by E. Moore),3,62-64,,
10:38.0,,,62-64,,Turnover by D. Valentine (lost ball; steal by J. Nelson)
10:34.0,I. Clark misses 3-pt shot from 25 ft,,62-64,,
10:30.0,,,62-64,,Defensive rebound by P. Zipser
10:12.0,,,62-64,,K. Dunn misses 3-pt shot from 26 ft
10:12.0,Defensive rebound by D. Cousins,,62-64,,
9:52.0,D. Cousins misses 2-pt shot from 3 ft,,62-64,,
9:52.0,,,62-64,,Defensive rebound by P. Zipser
9:44.0,,,62-64,,P. Zipser misses 3-pt shot from 25 ft
9:38.0,Defensive rebound by I. Clark,,62-64,,
9:31.0,,,62-64,,Personal foul by K. Dunn (drawn by D. Cousins)
9:25.0,D. Miller makes 3-pt shot from 24 ft (assist by J. Nelson),3,65-64,,
9:24.0,,,65-64,,Chicago full timeout
9:15.0,,,65-66,2,L. Markkanen makes 2-pt shot from 1 ft
9:00.0,D. Miller misses 3-pt shot from 24 ft,,65-66,,
8:57.0,,,65-66,,Defensive rebound by D. Valentine
8:46.0,,,65-66,,P. Zipser misses 2-pt shot from 21 ft
8:44.0,Defensive rebound by Team,,65-66,,
8:27.0,Shooting foul by C. Felicio (drawn by D. Cousins),,65-66,,
8:27.0,D. Cousins makes free throw 1 of 2,1,66-66,,
8:27.0,D. Cousins makes free throw 2 of 2,1,67-66,,
8:09.0,,,67-66,,Turnover by K. Dunn (bad pass; steal by E. Moore)
8:04.0,E. Moore makes 2-pt shot from 1 ft,2,69-66,,
7:40.0,,,69-66,,Turnover by P. Zipser (bad pass; steal by J. Nelson)
7:35.0,Shooting foul by K. Dunn (drawn by E. Moore),,69-66,,
7:35.0,E. Moore makes free throw 1 of 2,1,70-66,,
7:35.0,,,70-66,,J. Grant enters the game for P. Zipser
7:35.0,,,70-66,,J. Holiday enters the game for K. Dunn
7:35.0,,,70-66,,R. Lopez enters the game for C. Felicio
7:35.0,E. Moore makes free throw 2 of 2,1,71-66,,
7:26.0,,,71-69,3,J. Grant makes 3-pt shot from 26 ft
7:06.0,,,71-69,,Personal foul by D. Valentine (drawn by D. Cousins)
7:06.0,J. Holiday enters the game for I. Clark,,71-69,,
6:58.0,E. Moore misses 3-pt shot from 25 ft,,71-69,,
6:54.0,,,71-69,,Defensive rebound by L. Markkanen
6:35.0,,,71-71,2,R. Lopez makes 2-pt shot at rim (assist by D. Valentine)
6:22.0,J. Nelson makes 3-pt shot from 25 ft (assist by D. Cousins),3,74-71,,
5:58.0,,,74-71,,J. Grant misses 3-pt shot from 25 ft
5:53.0,Defensive rebound by E. Moore,,74-71,,
5:47.0,D. Cousins makes 3-pt shot from 26 ft (assist by J. Nelson),3,77-71,,
5:47.0,,,77-71,,Chicago full timeout
5:47.0,A. Davis enters the game for D. Miller,,77-71,,
5:32.0,,,77-74,3,D. Valentine makes 3-pt shot from 25 ft (assist by L. Markkanen)
5:11.0,Shooting foul by R. Lopez (drawn by D. Cousins),,77-74,,
5:11.0,D. Cousins makes free throw 1 of 2,1,78-74,,
5:11.0,D. Cousins makes free throw 2 of 2,1,79-74,,
4:56.0,,,79-77,3,L. Markkanen makes 3-pt shot from 25 ft (assist by J. Grant)
4:39.0,J. Nelson misses 2-pt shot from 21 ft,,79-77,,
4:38.0,,,79-77,,Defensive rebound by Team
4:14.0,,,79-77,,L. Markkanen misses 3-pt shot from 23 ft
4:11.0,Defensive rebound by A. Davis,,79-77,,
3:50.0,A. Davis misses 2-pt shot from 14 ft,,79-77,,
3:46.0,,,79-77,,Defensive rebound by D. Valentine
3:26.0,,,79-77,,R. Lopez misses 2-pt shot from 21 ft
3:24.0,Defensive rebound by D. Cousins,,79-77,,
3:24.0,,,79-77,,Personal foul by J. Grant (drawn by D. Cousins)
3:24.0,New Orleans full timeout,,79-77,,
3:24.0,D. Cousins makes free throw 1 of 2,1,80-77,,
3:24.0,D. Cousins makes free throw 2 of 2,1,81-77,,
3:12.0,,,81-80,3,L. Markkanen makes 3-pt shot from 26 ft (assist by J. Grant)
2:49.0,E. Moore misses 3-pt shot from 24 ft,,81-80,,
2:45.0,,,81-80,,Defensive rebound by J. Holiday
2:28.0,,,81-83,3,D. Valentine makes 3-pt shot from 25 ft
2:09.0,D. Cousins misses 3-pt shot from 24 ft,,81-83,,
2:06.0,,,81-83,,Defensive rebound by R. Lopez
2:03.0,Jump ball: R. Lopez vs. J. Holiday (D. Valentine gains possession),,,,Jump ball: R. Lopez vs. J. Holiday (D. Valentine gains possession)
1:45.0,,,81-83,,J. Grant misses 3-pt shot from 26 ft
1:40.0,Defensive rebound by D. Cousins,,81-83,,
1:37.0,New Orleans full timeout,,81-83,,
1:30.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,83-83,,
1:06.0,,,83-83,,Turnover by Team (shot clock)
0:49.0,E. Moore misses 3-pt shot from 25 ft,,83-83,,
0:46.0,Offensive rebound by A. Davis,,83-83,,
0:33.0,Turnover by D. Cousins (lost ball; steal by J. Grant),,83-83,,
0:09.0,,,83-83,,R. Lopez misses 2-pt shot from 2 ft
0:09.0,,,83-83,,Offensive rebound by R. Lopez
0:09.0,,,83-83,,R. Lopez misses 2-pt shot from 2 ft
0:09.0,Defensive rebound by A. Davis,,83-83,,
0:09.0,New Orleans full timeout,,83-83,,
0:09.0,,,83-83,,P. Zipser enters the game for D. Valentine
