time,New York,pts.away,score,pts.home,New Orleans
5:06.0,,,89-92,,Defensive rebound by D. Cousins
5:01.0,,,89-92,,Turnover by A. Davis (out of bounds lost ball)
4:48.0,J. Jack misses 2-pt shot from 16 ft,,89-92,,
4:45.0,,,89-92,,Defensive rebound by D. Miller
4:30.0,,,89-94,2,R. Rondo makes 2-pt shot from 18 ft
4:11.0,K. Porzingis misses 2-pt shot from 13 ft,,89-94,,
4:09.0,,,89-94,,Defensive rebound by D. Cousins
3:56.0,,,89-94,,J. Holiday misses 2-pt shot from 7 ft (block by K. Porzingis)
3:52.0,Defensive rebound by J. Jack,,89-94,,
3:48.0,C. Lee misses 3-pt shot from 26 ft,,89-94,,
3:48.0,Offensive rebound by Team,,89-94,,
3:47.0,,,89-94,,Personal foul by D. Miller (drawn by J. Noah)
3:38.0,K. Porzingis makes 2-pt shot from 5 ft,2,91-94,,
3:30.0,,,91-94,,New Orleans full timeout
3:21.0,,,91-97,3,D. Cousins makes 3-pt shot from 28 ft (assist by A. Davis)
3:07.0,Personal foul by J. Noah (drawn by A. Davis),,91-97,,
3:07.0,Turnover by J. Noah (turnover),,91-97,,
3:07.0,,,91-97,,E. Moore enters the game for D. Miller
3:07.0,M. Beasley enters the game for F. Ntilikina,,91-97,,
2:57.0,,,91-99,2,D. Cousins makes 2-pt shot from 5 ft (assist by R. Rondo)
2:45.0,J. Noah makes 2-pt shot from 3 ft (assist by J. Jack),2,93-99,,
2:26.0,,,93-99,,Turnover by R. Rondo (bad pass; steal by J. Jack)
2:18.0,J. Jack makes 3-pt shot from 27 ft (assist by C. Lee),3,96-99,,
2:03.0,,,96-99,,Shooting foul by J. Noah (drawn by A. Davis)
2:03.0,,,96-100,1,A. Davis makes free throw 1 of 2
2:03.0,,,96-100,,D. Miller enters the game for E. Moore
2:03.0,,,96-101,1,A. Davis makes free throw 2 of 2
1:44.0,M. Beasley misses 3-pt shot from 27 ft,,96-101,,
1:41.0,Offensive rebound by K. Porzingis,,96-101,,
1:30.0,K. Porzingis makes 3-pt shot from 23 ft (assist by J. Jack),3,99-101,,
1:10.0,,,99-101,,A. Davis misses 2-pt shot from 19 ft
1:06.0,Defensive rebound by J. Jack,,99-101,,
1:02.0,K. Porzingis makes 2-pt shot from 3 ft (assist by J. Jack),2,101-101,,
1:02.0,,,101-101,,New Orleans full timeout
0:56.0,,,101-101,,D. Cousins misses 2-pt shot from 17 ft
0:53.0,Defensive rebound by J. Jack,,101-101,,
0:38.0,K. Porzingis makes 2-pt shot from 17 ft (assist by J. Noah),2,103-101,,
0:27.0,,,103-101,,Shooting foul by K. Porzingis (drawn by D. Cousins)
0:27.0,,,103-102,1,D. Cousins makes free throw 1 of 2
0:27.0,,,103-102,,D. Cunningham enters the game for R. Rondo
0:27.0,,,103-103,1,D. Cousins makes free throw 2 of 2
0:27.0,New York full timeout,,103-103,,
0:27.0,,,103-103,,R. Rondo enters the game for D. Cunningham
0:09.0,Shooting foul by J. Holiday (drawn by J. Jack),,103-103,,
0:09.0,J. Jack makes free throw 1 of 2,1,104-103,,
0:09.0,L. Thomas enters the game for M. Beasley,,104-103,,
0:09.0,J. Jack makes free throw 2 of 2,1,105-103,,
0:09.0,,,105-103,,New Orleans full timeout
0:02.0,,,105-103,,A. Davis misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by C. Lee,,105-103,,
