time,Orlando,pts.away,score,pts.home,Chicago
4:08.0,,,81-105,3,P. Zipser makes 3-pt shot from 23 ft (assist by J. Grant)
3:56.0,W. Iwundu misses 2-pt shot from 3 ft (block by C. Felicio),,81-105,,
3:56.0,,,81-105,,Defensive rebound by Team
3:32.0,,,81-105,,P. Zipser misses 2-pt shot from 3 ft
3:32.0,,,81-105,,Offensive rebound by Team
3:32.0,,,81-105,,Turnover by Team (shot clock)
3:09.0,A. Payne makes 2-pt shot from 7 ft (assist by J. Artis),2,83-105,,
2:52.0,,,83-105,,J. Grant misses 3-pt shot from 25 ft
2:50.0,Defensive rebound by A. Payne,,83-105,,
2:40.0,A. Payne makes 3-pt shot from 24 ft (assist by S. Mack),3,86-105,,
2:24.0,,,86-108,3,P. Zipser makes 3-pt shot from 25 ft (assist by J. Grant)
2:07.0,Turnover by A. Payne (bad pass; steal by D. Valentine),,86-108,,
2:02.0,,,86-110,2,D. Valentine makes 2-pt shot from 1 ft
1:49.0,M. Hezonja makes 2-pt shot at rim,2,88-110,,
1:36.0,,,88-112,2,C. Felicio makes 2-pt shot from 1 ft (assist by J. Grant)
1:27.0,Shooting foul by P. Zipser (drawn by S. Mack),,88-112,,
1:27.0,Orlando full timeout,,88-112,,
1:27.0,S. Mack makes free throw 1 of 2,1,89-112,,
1:27.0,S. Mack misses free throw 2 of 2,,89-112,,
1:27.0,Offensive rebound by Team,,89-112,,
1:27.0,,,89-112,,Loose ball foul by C. Felicio (drawn by A. Payne)
1:27.0,A. Payne makes free throw 1 of 2,1,90-112,,
1:27.0,A. Payne makes free throw 2 of 2,1,91-112,,
1:05.0,,,91-112,,P. Zipser misses 3-pt shot from 27 ft
1:01.0,Defensive rebound by A. Payne,,91-112,,
0:48.0,J. Artis misses 2-pt shot from 3 ft,,91-112,,
0:46.0,,,91-112,,Defensive rebound by D. Valentine
0:44.0,,,91-112,,Q. Pondexter misses 3-pt shot from 23 ft
0:39.0,,,91-112,,Offensive rebound by D. Valentine
0:27.0,,,91-112,,Turnover by P. Zipser (bad pass; steal by A. Payne)
0:21.0,J. Artis misses 3-pt shot from 23 ft,,91-112,,
0:18.0,Offensive rebound by W. Iwundu,,91-112,,
0:15.0,M. Hezonja makes 3-pt shot from 25 ft (assist by W. Iwundu),3,94-112,,
