time,LA Lakers,pts.away,score,pts.home,Cleveland
3:15.0,,,108-113,,Defensive rebound by L. James
3:07.0,,,108-113,,K. Love misses 3-pt shot from 25 ft
3:07.0,Defensive rebound by J. Hart,,108-113,,
2:55.0,J. Hart misses 3-pt shot from 26 ft,,108-113,,
2:51.0,,,108-113,,Defensive rebound by K. Love
2:44.0,,,108-113,,L. James misses 2-pt shot from 1 ft
2:41.0,Defensive rebound by K. Kuzma,,108-113,,
2:36.0,B. Ingram misses 3-pt shot from 24 ft,,108-113,,
2:32.0,,,108-113,,Defensive rebound by D. Wade
2:20.0,,,108-115,2,L. James makes 2-pt shot at rim (assist by K. Love)
2:13.0,,,108-115,,Personal foul by K. Korver (drawn by B. Ingram)
2:04.0,L. Ball misses 3-pt shot from 31 ft,,108-115,,
2:04.0,,,108-115,,Defensive rebound by K. Love
1:38.0,,,108-117,2,L. James makes 2-pt shot from 5 ft
1:31.0,,,108-117,,Personal foul by D. Wade (drawn by B. Ingram)
1:31.0,LA Lakers full timeout,,108-117,,
1:31.0,,,108-117,,J. Green enters the game for K. Love
1:22.0,K. Kuzma makes 2-pt shot from 1 ft (assist by L. Ball),2,110-117,,
0:58.0,,,110-117,,Shooting foul by B. Ingram (drawn by J. Green)
0:58.0,,,110-118,1,J. Green makes free throw 1 of 2
0:58.0,J. Clarkson enters the game for J. Hart,,110-118,,
0:58.0,,,110-119,1,J. Green makes free throw 2 of 2
0:50.0,J. Clarkson misses 3-pt shot from 26 ft,,110-119,,
0:46.0,Offensive rebound by K. Kuzma,,110-119,,
0:42.0,K. Kuzma makes 2-pt shot from 1 ft,2,112-119,,
0:38.0,Personal foul by K. Kuzma (drawn by L. James),,112-119,,
0:38.0,,,112-120,1,L. James makes free throw 1 of 2
0:38.0,,,112-121,1,L. James makes free throw 2 of 2
0:29.0,K. Kuzma misses 3-pt shot from 26 ft,,112-121,,
0:26.0,,,112-121,,Defensive rebound by J. Green
0:03.0,,,112-121,,Turnover by Team (shot clock)
