time,Orlando,pts.away,score,pts.home,Denver
3:33.0,,,93-114,,J. Murray misses 2-pt shot from 21 ft
3:30.0,,,93-114,,Offensive rebound by P. Millsap
3:28.0,,,93-114,,P. Millsap misses 2-pt shot from 2 ft
3:24.0,Defensive rebound by M. Hezonja,,93-114,,
3:21.0,Shooting foul by P. Millsap (drawn by B. Biyombo),,93-114,,
3:21.0,B. Biyombo makes free throw 1 of 2,1,94-114,,
3:21.0,B. Biyombo makes free throw 2 of 2,1,95-114,,
2:57.0,,,95-116,2,J. Murray makes 2-pt shot from 11 ft (assist by N. Jokic)
2:35.0,M. Speights makes 2-pt shot from 6 ft (assist by S. Mack),2,97-116,,
2:12.0,,,97-119,3,W. Barton makes 3-pt shot from 25 ft (assist by N. Jokic)
1:57.0,S. Mack misses 2-pt shot from 13 ft,,97-119,,
1:53.0,Offensive rebound by B. Biyombo,,97-119,,
1:53.0,B. Biyombo misses 2-pt shot at rim,,97-119,,
1:52.0,,,97-119,,Defensive rebound by N. Jokic
1:52.0,,,97-121,2,P. Millsap makes 2-pt shot from 1 ft (assist by N. Jokic)
1:48.0,,,97-121,,Personal foul by J. Murray (drawn by M. Hezonja)
1:48.0,M. Hezonja misses free throw 1 of 2,,97-121,,
1:48.0,Offensive rebound by Team,,97-121,,
1:48.0,,,97-121,,E. Mudiay enters the game for P. Millsap
1:48.0,,,97-121,,T. Lyles enters the game for N. Jokic
1:48.0,,,97-121,,M. Beasley enters the game for W. Chandler
1:48.0,,,97-121,,J. Hernangomez enters the game for J. Murray
1:48.0,M. Hezonja makes free throw 2 of 2,1,98-121,,
1:30.0,,,98-123,2,T. Lyles makes 2-pt shot from 2 ft (assist by W. Barton)
1:20.0,M. Speights makes 2-pt shot from 9 ft,2,100-123,,
1:06.0,,,100-125,2,M. Beasley makes 2-pt shot from 6 ft (assist by W. Barton)
1:01.0,Shooting foul by W. Barton (drawn by S. Mack),,100-125,,
1:01.0,S. Mack makes free throw 1 of 2,1,101-125,,
1:01.0,S. Mack makes free throw 2 of 2,1,102-125,,
0:44.0,,,102-125,,J. Hernangomez misses 3-pt shot from 25 ft
0:41.0,Defensive rebound by A. Afflalo,,102-125,,
0:32.0,M. Speights makes 2-pt shot from 11 ft,2,104-125,,
0:07.0,,,104-125,,Turnover by Team (shot clock)
0:03.0,M. Speights makes 3-pt shot from 30 ft (assist by S. Mack),3,107-125,,
