time,Oklahoma City,pts.away,score,pts.home,Brooklyn
8:10.0,C. Anthony misses 2-pt shot from 17 ft,,84-84,,
8:08.0,,,84-84,,Defensive rebound by A. Crabbe
7:47.0,,,84-84,,Q. Acy misses 3-pt shot from 25 ft
7:45.0,Defensive rebound by A. Roberson,,84-84,,
7:38.0,Shooting foul by J. Harris (drawn by R. Westbrook),,84-84,,
7:38.0,R. Westbrook makes free throw 1 of 2,1,85-84,,
7:38.0,,,85-84,,R. Hollis-Jefferson enters the game for Q. Acy
7:38.0,S. Adams enters the game for P. Patterson,,85-84,,
7:38.0,R. Westbrook misses free throw 2 of 2,,85-84,,
7:35.0,,,85-84,,Defensive rebound by S. Dinwiddie
7:21.0,,,85-87,3,A. Crabbe makes 3-pt shot from 25 ft (assist by S. Dinwiddie)
7:06.0,R. Felton misses 2-pt shot from 10 ft,,85-87,,
7:03.0,,,85-87,,Defensive rebound by J. Harris
7:01.0,,,85-87,,R. Hollis-Jefferson misses 2-pt shot from 1 ft
7:00.0,,,85-87,,Offensive rebound by J. Harris
6:59.0,,,85-87,,J. Harris misses 2-pt shot from 1 ft
6:58.0,Defensive rebound by Team,,85-87,,
6:58.0,,,85-87,,Loose ball foul by A. Crabbe (drawn by R. Felton)
6:58.0,,,85-87,,Brooklyn full timeout
6:58.0,,,85-87,,D. Carroll enters the game for J. Harris
6:58.0,A. Abrines enters the game for R. Felton,,85-87,,
6:58.0,K. Singler enters the game for C. Anthony,,85-87,,
6:43.0,K. Singler misses 2-pt shot from 9 ft,,85-87,,
6:41.0,,,85-87,,Defensive rebound by D. Carroll
6:19.0,,,85-90,3,R. Hollis-Jefferson makes 3-pt shot from 22 ft (assist by S. Dinwiddie)
5:57.0,R. Westbrook misses 2-pt shot from 14 ft,,85-90,,
5:53.0,Offensive rebound by S. Adams,,85-90,,
5:53.0,S. Adams misses 2-pt shot at rim,,85-90,,
5:52.0,,,85-90,,Defensive rebound by S. Dinwiddie
5:38.0,,,85-93,3,S. Dinwiddie makes 3-pt shot from 22 ft (assist by R. Hollis-Jefferson)
5:38.0,,,85-93,,Shooting foul by A. Roberson (drawn by S. Dinwiddie)
5:38.0,,,85-93,,C. LeVert enters the game for A. Crabbe
5:38.0,C. Anthony enters the game for A. Abrines,,85-93,,
5:38.0,,,85-93,,S. Dinwiddie misses free throw 1 of 1
5:36.0,Defensive rebound by R. Westbrook,,85-93,,
5:30.0,C. Anthony misses 3-pt shot from 25 ft,,85-93,,
5:27.0,,,85-93,,Defensive rebound by T. Zeller
5:02.0,,,85-93,,D. Carroll misses 3-pt shot from 24 ft
5:00.0,Defensive rebound by C. Anthony,,85-93,,
4:54.0,R. Westbrook makes 2-pt shot from 15 ft,2,87-93,,
4:31.0,,,87-93,,R. Hollis-Jefferson misses 2-pt shot from 1 ft
4:29.0,Defensive rebound by C. Anthony,,87-93,,
4:21.0,S. Adams misses 2-pt shot from 4 ft,,87-93,,
4:18.0,,,87-93,,Defensive rebound by S. Dinwiddie
4:02.0,,,87-93,,Shooting foul by R. Westbrook (drawn by T. Zeller)
4:02.0,,,87-93,,T. Zeller misses free throw 1 of 2
4:02.0,,,87-93,,Offensive rebound by Team
4:02.0,,,87-93,,Q. Acy enters the game for R. Hollis-Jefferson
4:02.0,,,87-94,1,T. Zeller makes free throw 2 of 2
3:47.0,Shooting foul by T. Zeller (drawn by C. Anthony),,87-94,,
3:47.0,C. Anthony misses free throw 2 of 2,,87-94,,
3:47.0,Offensive rebound by S. Adams,,87-94,,
3:47.0,C. Anthony misses free throw 1 of 2,,87-94,,
3:47.0,Offensive rebound by Team,,87-94,,
3:44.0,K. Singler misses 3-pt shot from 25 ft,,87-94,,
3:40.0,Offensive rebound by A. Roberson,,87-94,,
3:38.0,A. Roberson makes 2-pt shot at rim,2,89-94,,
3:23.0,,,89-94,,S. Dinwiddie misses 3-pt shot from 25 ft
3:18.0,Defensive rebound by C. Anthony,,89-94,,
3:12.0,C. Anthony makes 2-pt shot from 18 ft,2,91-94,,
2:37.0,,,91-94,,D. Carroll misses 2-pt shot from 22 ft
2:35.0,,,91-94,,Offensive rebound by Q. Acy
2:35.0,Oklahoma City full timeout,,91-94,,
2:35.0,,,91-94,,R. Hollis-Jefferson enters the game for T. Zeller
2:35.0,A. Abrines enters the game for K. Singler,,91-94,,
2:33.0,Jump ball: Q. Acy vs. S. Adams (A. Abrines gains possession),,,,Jump ball: Q. Acy vs. S. Adams (A. Abrines gains possession)
2:33.0,,,91-94,,Turnover by Q. Acy (turnover; steal by S. Adams)
2:11.0,Turnover by R. Westbrook (out of bounds lost ball),,91-94,,
2:11.0,,,91-94,,A. Crabbe enters the game for Q. Acy
1:51.0,,,91-96,2,S. Dinwiddie makes 2-pt shot at rim
1:42.0,C. Anthony misses 2-pt shot from 13 ft,,91-96,,
1:40.0,Offensive rebound by S. Adams,,91-96,,
1:38.0,C. Anthony misses 3-pt shot from 24 ft,,91-96,,
1:35.0,Offensive rebound by S. Adams,,91-96,,
1:35.0,S. Adams misses 2-pt shot at rim,,91-96,,
1:35.0,Offensive rebound by S. Adams,,91-96,,
1:35.0,,,91-96,,Personal foul by C. LeVert (drawn by S. Adams)
1:35.0,S. Adams misses free throw 1 of 2,,91-96,,
1:35.0,Offensive rebound by Team,,91-96,,
1:35.0,S. Adams misses free throw 2 of 2,,91-96,,
1:33.0,,,91-96,,Defensive rebound by A. Crabbe
1:10.0,,,91-96,,D. Carroll misses 2-pt shot from 18 ft (block by A. Roberson)
1:10.0,,,91-96,,Offensive rebound by Team
1:10.0,,,91-96,,Turnover by Team (shot clock)
1:03.0,,,91-96,,Violation by C. LeVert (kicked ball)
0:54.0,R. Westbrook misses 3-pt shot from 24 ft,,91-96,,
0:52.0,,,91-96,,Defensive rebound by A. Crabbe
0:32.0,,,91-96,,Brooklyn full timeout
0:32.0,,,91-96,,C. LeVert misses 3-pt shot from 29 ft
0:30.0,,,91-96,,Offensive rebound by Team
0:30.0,,,91-96,,Turnover by Team (shot clock)
0:30.0,Oklahoma City full timeout,,91-96,,
0:21.0,A. Abrines misses 2-pt shot from 2 ft,,91-96,,
0:18.0,Offensive rebound by A. Roberson,,91-96,,
0:18.0,A. Roberson misses 2-pt shot from 2 ft (block by C. LeVert),,91-96,,
0:18.0,,,91-96,,Defensive rebound by C. LeVert
0:18.0,Personal foul by S. Adams (drawn by C. LeVert),,91-96,,
0:18.0,,,91-97,1,C. LeVert makes free throw 1 of 2
0:18.0,,,91-98,1,C. LeVert makes free throw 2 of 2
0:18.0,Oklahoma City full timeout,,91-98,,
0:18.0,R. Felton enters the game for A. Roberson,,91-98,,
0:13.0,R. Westbrook makes 2-pt shot from 1 ft,2,93-98,,
0:09.0,Personal take foul by A. Abrines (drawn by C. LeVert),,93-98,,
0:09.0,,,93-99,1,C. LeVert makes free throw 1 of 2
0:09.0,,,93-100,1,C. LeVert makes free throw 2 of 2
0:03.0,A. Abrines misses 2-pt shot from 17 ft,,93-100,,
0:02.0,Offensive rebound by S. Adams,,93-100,,
0:01.0,S. Adams misses 2-pt shot at rim,,93-100,,
0:01.0,Offensive rebound by S. Adams,,93-100,,
0:00.0,S. Adams makes 2-pt shot at rim,2,95-100,,
