time,Golden State,pts.away,score,pts.home,Orlando
3:29.0,,,128-108,,A. Afflalo enters the game for A. Gordon
3:29.0,,,128-108,,S. Mack enters the game for E. Payton
3:29.0,,,128-108,,K. Birch enters the game for N. Vucevic
3:29.0,,,128-108,,W. Iwundu enters the game for E. Fournier
3:29.0,,,128-108,,M. Hezonja enters the game for J. Simmons
3:29.0,O. Casspi enters the game for S. Curry,,128-108,,
3:14.0,,,128-108,,A. Afflalo misses 2-pt shot from 13 ft
3:11.0,Defensive rebound by K. Thompson,,128-108,,
2:58.0,Turnover by O. Casspi (bad pass; steal by M. Hezonja),,128-108,,
2:54.0,,,128-110,2,M. Hezonja makes 2-pt shot at rim (assist by S. Mack)
2:40.0,J. Bell makes 2-pt shot from 1 ft (assist by D. Green),2,130-110,,
2:32.0,,,130-110,,W. Iwundu misses 2-pt shot from 22 ft
2:28.0,Defensive rebound by D. Green,,130-110,,
2:26.0,Golden State full timeout,,130-110,,
2:26.0,N. Young enters the game for J. Bell,,130-110,,
2:26.0,J. McGee enters the game for K. Thompson,,130-110,,
2:26.0,K. Looney enters the game for D. Green,,130-110,,
2:21.0,N. Young makes 3-pt shot from 26 ft (assist by P. McCaw),3,133-110,,
2:00.0,,,133-112,2,K. Birch makes 2-pt shot from 1 ft (assist by S. Mack)
1:43.0,P. McCaw misses 2-pt shot from 22 ft,,133-112,,
1:39.0,Offensive rebound by K. Looney,,133-112,,
1:34.0,N. Young misses 3-pt shot from 26 ft,,133-112,,
1:34.0,Offensive rebound by Team,,133-112,,
1:24.0,K. Looney misses 2-pt shot from 7 ft,,133-112,,
1:16.0,Offensive rebound by O. Casspi,,133-112,,
1:16.0,O. Casspi misses 2-pt shot at rim,,133-112,,
1:15.0,,,133-112,,Defensive rebound by S. Mack
1:13.0,,,133-112,,M. Hezonja misses 3-pt shot from 28 ft
1:11.0,Defensive rebound by Team,,133-112,,
1:01.0,Turnover by K. Looney (lost ball; steal by M. Hezonja),,133-112,,
0:44.0,,,133-112,,M. Hezonja misses 3-pt shot from 25 ft
0:43.0,Defensive rebound by Team,,133-112,,
0:28.0,Turnover by J. McGee (out of bounds lost ball),,133-112,,
0:14.0,,,133-112,,K. Birch misses 2-pt shot from 12 ft
0:11.0,Defensive rebound by K. Looney,,133-112,,
