time,Sacramento,pts.away,score,pts.home,Indiana
4:00.0,S. Labissiere makes free throw 2 of 2,1,67-91,,
3:35.0,,,67-91,,I. Anigbogu misses 2-pt shot from 12 ft
3:31.0,Defensive rebound by D. Fox,,67-91,,
3:30.0,D. Fox makes 2-pt shot from 1 ft,2,69-91,,
3:30.0,Shooting foul by T. Leaf (drawn by D. Fox),,69-91,,
3:30.0,D. Fox misses free throw 1 of 1,,69-91,,
3:28.0,Offensive rebound by D. Fox,,69-91,,
3:27.0,D. Fox makes 2-pt shot from 7 ft,2,71-91,,
3:05.0,,,71-91,,J. Young misses 2-pt shot from 8 ft (block by G. Papagiannis)
3:05.0,,,71-91,,Offensive rebound by I. Anigbogu
3:05.0,,,71-91,,Shooting foul by M. Richardson (drawn by I. Anigbogu)
3:05.0,,,71-92,1,I. Anigbogu makes free throw 1 of 2
3:05.0,,,71-93,1,I. Anigbogu makes free throw 2 of 2
2:50.0,F. Mason makes 2-pt shot at rim (assist by G. Papagiannis),2,73-93,,
2:42.0,,,73-93,,Personal take foul by L. Stephenson (drawn by F. Mason)
2:42.0,F. Mason misses free throw 1 of 2,,73-93,,
2:42.0,Offensive rebound by Team,,73-93,,
2:42.0,F. Mason makes free throw 2 of 2,1,74-93,,
2:41.0,,,74-93,,Turnover by D. Wilkins (bad pass; steal by D. Fox)
2:22.0,,,74-93,,L. Stephenson misses 3-pt shot from 28 ft
2:18.0,Defensive rebound by F. Mason,,74-93,,
2:07.0,G. Papagiannis makes 2-pt shot from 1 ft (assist by D. Fox),2,76-93,,
2:06.0,,,76-93,,Indiana full timeout
2:06.0,,,76-93,,A. Poythress enters the game for L. Stephenson
1:56.0,,,76-93,,T. Leaf misses 3-pt shot from 26 ft
1:53.0,Defensive rebound by G. Papagiannis,,76-93,,
1:41.0,G. Papagiannis makes 2-pt shot at rim (assist by F. Mason),2,78-93,,
1:29.0,,,78-95,2,I. Anigbogu makes 2-pt shot from 17 ft (assist by D. Wilkins)
1:22.0,,,78-95,,Personal foul by I. Anigbogu (drawn by F. Mason)
1:22.0,F. Mason misses free throw 1 of 2,,78-95,,
1:22.0,Offensive rebound by Team,,78-95,,
1:22.0,F. Mason makes free throw 2 of 2,1,79-95,,
1:01.0,,,79-98,3,A. Poythress makes 3-pt shot from 26 ft (assist by D. Wilkins)
0:55.0,D. Fox makes 2-pt shot from 17 ft,2,81-98,,
0:48.0,,,81-98,,Turnover by A. Poythress (bad pass; steal by M. Richardson)
0:44.0,F. Mason makes 2-pt shot from 13 ft,2,83-98,,
0:23.0,,,83-101,3,A. Poythress makes 3-pt shot from 26 ft (assist by J. Young)
0:14.0,F. Mason misses 2-pt shot from 1 ft (block by I. Anigbogu),,83-101,,
0:13.0,Offensive rebound by Team,,83-101,,
0:06.0,F. Mason misses 2-pt shot from 19 ft,,83-101,,
0:01.0,,,83-101,,Defensive rebound by A. Poythress
