time,Brooklyn,pts.away,score,pts.home,Memphis
1:59.0,Defensive rebound by T. Booker,,95-85,,
1:35.0,D. Carroll misses 2-pt shot at rim,,95-85,,
1:32.0,,,95-85,,Defensive rebound by J. Green
1:30.0,,,95-85,,Shooting foul by T. Booker (drawn by T. Evans)
1:30.0,,,95-86,1,T. Evans makes free throw 1 of 2
1:30.0,,,95-86,,T. Evans misses free throw 2 of 2
1:24.0,,,95-86,,Offensive rebound by T. Evans
1:24.0,,,95-86,,T. Evans misses 2-pt shot from 2 ft
1:24.0,Defensive rebound by Team,,95-86,,
1:03.0,,,95-86,,Personal foul by B. McLemore (drawn by D. Carroll)
1:03.0,D. Carroll makes free throw 1 of 2,1,96-86,,
1:03.0,D. Carroll makes free throw 2 of 2,1,97-86,,
0:49.0,,,97-86,,J. Ennis misses 3-pt shot from 26 ft
0:47.0,Defensive rebound by T. Booker,,97-86,,
0:27.0,Shooting foul by J. Green (drawn by S. Dinwiddie),,97-86,,
0:27.0,S. Dinwiddie misses free throw 1 of 2,,97-86,,
0:27.0,Offensive rebound by Team,,97-86,,
0:27.0,,,97-86,,J. Martin enters the game for J. Green
0:27.0,,,97-86,,A. Harrison enters the game for T. Evans
0:27.0,S. Kilpatrick enters the game for D. Carroll,,97-86,,
0:27.0,S. Dinwiddie makes free throw 2 of 2,1,98-86,,
0:20.0,,,98-88,2,A. Harrison makes 2-pt shot at rim
