time,Miami,pts.away,score,pts.home,Oklahoma City
4:07.0,Miami full timeout,,84-91,,
3:57.0,W. Ellington misses 3-pt shot from 24 ft,,84-91,,
3:57.0,Offensive rebound by Team,,84-91,,
3:57.0,,,84-91,,Personal foul by C. Brewer (drawn by J. Johnson)
3:57.0,J. Johnson makes free throw 1 of 2,1,85-91,,
3:57.0,J. Johnson makes free throw 2 of 2,1,86-91,,
3:39.0,,,86-91,,P. George misses 2-pt shot from 13 ft
3:36.0,Defensive rebound by J. Winslow,,86-91,,
3:27.0,J. Johnson makes 2-pt shot at rim (assist by W. Ellington),2,88-91,,
3:27.0,,,88-91,,Oklahoma City full timeout
3:12.0,,,88-91,,C. Anthony misses 3-pt shot from 22 ft
3:07.0,,,88-91,,Offensive rebound by S. Adams
3:01.0,,,88-91,,R. Westbrook misses 2-pt shot from 20 ft
2:59.0,,,88-91,,Offensive rebound by Team
2:57.0,,,88-91,,Shooting foul by G. Dragic (drawn by R. Westbrook)
2:57.0,,,88-92,1,R. Westbrook makes free throw 1 of 2
2:57.0,,,88-92,,J. Grant enters the game for S. Adams
2:57.0,,,88-92,,R. Westbrook misses free throw 2 of 2
2:55.0,Defensive rebound by J. Winslow,,88-92,,
2:36.0,J. Johnson makes 3-pt shot from 24 ft (assist by J. Richardson),3,91-92,,
2:11.0,,,91-92,,S. Adams enters the game for J. Grant
2:08.0,,,91-95,3,R. Westbrook makes 3-pt shot from 25 ft (assist by P. George)
1:56.0,G. Dragic misses 2-pt shot from 1 ft,,91-95,,
1:55.0,,,91-95,,Defensive rebound by R. Westbrook
1:50.0,,,91-97,2,R. Westbrook makes 2-pt shot at rim
1:50.0,Violation by J. Richardson (def goaltending),,91-97,,
1:34.0,Shooting foul by C. Brewer (drawn by W. Ellington),,91-97,,
1:34.0,W. Ellington makes free throw 1 of 2,1,92-97,,
1:34.0,D. Wade enters the game for J. Winslow,,92-97,,
1:34.0,W. Ellington makes free throw 2 of 2,1,93-97,,
1:16.0,,,93-97,,Turnover by R. Westbrook (out of bounds lost ball)
1:04.0,,,93-97,,Personal take foul by S. Adams (drawn by J. Johnson)
1:04.0,J. Johnson makes free throw 1 of 2,1,94-97,,
1:04.0,J. Johnson makes free throw 2 of 2,1,95-97,,
0:43.0,,,95-99,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
0:42.0,Miami full timeout,,95-99,,
0:40.0,Turnover by D. Wade (lost ball; steal by P. George),,95-99,,
0:38.0,,,95-101,2,P. George makes 2-pt shot from 1 ft
0:38.0,,,95-101,,Shooting foul by W. Ellington (drawn by P. George)
0:38.0,B. Adebayo enters the game for W. Ellington,,95-101,,
0:38.0,,,95-102,1,P. George makes free throw 1 of 1
0:38.0,Miami full timeout,,95-102,,
0:38.0,W. Ellington enters the game for B. Adebayo,,95-102,,
0:36.0,J. Johnson makes 2-pt shot from 1 ft (assist by G. Dragic),2,97-102,,
0:32.0,Personal foul by G. Dragic (drawn by R. Westbrook),,97-102,,
0:32.0,,,97-103,1,R. Westbrook makes free throw 1 of 2
0:32.0,,,97-104,1,R. Westbrook makes free throw 2 of 2
0:26.0,D. Wade misses 3-pt shot from 24 ft,,97-104,,
0:23.0,,,97-104,,Defensive rebound by C. Brewer
0:22.0,Personal foul by G. Dragic (drawn by C. Brewer),,97-104,,
0:22.0,,,97-104,,C. Brewer misses free throw 1 of 2
0:22.0,,,97-104,,Offensive rebound by Team
0:22.0,,,97-105,1,C. Brewer makes free throw 2 of 2
0:18.0,G. Dragic makes 2-pt shot from 1 ft,2,99-105,,
