time,Detroit,pts.away,score,pts.home,LA Clippers
5:22.0,A. Tolliver makes 2-pt shot at rim,2,87-81,,
5:22.0,,,87-81,,LA Clippers full timeout
5:08.0,Personal foul by L. Galloway (drawn by B. Griffin),,87-81,,
4:57.0,,,87-84,3,P. Beverley makes 3-pt shot from 28 ft
4:33.0,Turnover by R. Jackson (lost ball; steal by P. Beverley),,87-84,,
4:16.0,,,87-84,,P. Beverley misses 2-pt shot from 1 ft
4:13.0,Defensive rebound by L. Galloway,,87-84,,
4:10.0,R. Jackson misses 2-pt shot from 1 ft (block by D. Jordan),,87-84,,
4:09.0,Offensive rebound by Team,,87-84,,
4:09.0,A. Bradley enters the game for L. Galloway,,87-84,,
3:58.0,A. Bradley misses 2-pt shot from 1 ft (block by D. Jordan),,87-84,,
3:58.0,Offensive rebound by Team,,87-84,,
3:52.0,Turnover by R. Jackson (bad pass; steal by A. Rivers),,87-84,,
3:34.0,,,87-84,,B. Griffin misses 2-pt shot from 3 ft (block by A. Tolliver)
3:30.0,,,87-84,,Offensive rebound by D. Jordan
3:27.0,,,87-84,,P. Beverley misses 2-pt shot from 20 ft
3:23.0,,,87-84,,Offensive rebound by D. Jordan
3:23.0,,,87-84,,D. Jordan misses 2-pt shot at rim
3:22.0,Defensive rebound by A. Drummond,,87-84,,
3:19.0,A. Tolliver makes 3-pt shot from 23 ft (assist by A. Bradley),3,90-84,,
2:53.0,,,90-84,,A. Rivers misses 2-pt shot from 2 ft (block by A. Drummond)
2:53.0,Defensive rebound by S. Johnson,,90-84,,
2:44.0,A. Bradley misses 3-pt shot from 24 ft,,90-84,,
2:44.0,,,90-84,,Defensive rebound by B. Griffin
2:37.0,Jump ball: B. Griffin vs. A. Tolliver (R. Jackson gains possession),,,,Jump ball: B. Griffin vs. A. Tolliver (R. Jackson gains possession)
2:37.0,,,90-84,,Turnover by B. Griffin (turnover; steal by A. Tolliver)
2:37.0,,,90-84,,Personal foul by B. Griffin (drawn by R. Jackson)
2:25.0,,,90-84,,Personal foul by D. Gallinari (drawn by S. Johnson)
2:25.0,,,90-84,,L. Williams enters the game for D. Gallinari
2:18.0,R. Jackson makes 2-pt shot from 13 ft,2,92-84,,
1:53.0,,,92-84,,P. Beverley misses 2-pt shot from 19 ft
1:47.0,Defensive rebound by A. Drummond,,92-84,,
1:37.0,R. Jackson misses 2-pt shot from 15 ft,,92-84,,
1:37.0,,,92-84,,Defensive rebound by D. Jordan
1:37.0,,,92-84,,LA Clippers full timeout
1:37.0,,,92-84,,D. Gallinari enters the game for D. Jordan
1:27.0,,,92-87,3,D. Gallinari makes 3-pt shot from 26 ft (assist by A. Rivers)
1:03.0,R. Jackson misses 2-pt shot from 19 ft,,92-87,,
1:03.0,Offensive rebound by Team,,92-87,,
1:03.0,Turnover by Team (shot clock),,92-87,,
0:54.0,,,92-87,,D. Gallinari misses 2-pt shot from 1 ft
0:50.0,Defensive rebound by A. Bradley,,92-87,,
0:32.0,,,92-87,,Personal foul by L. Williams (drawn by A. Drummond)
0:32.0,,,92-87,,S. Thornwell enters the game for L. Williams
0:32.0,,,92-87,,W. Johnson enters the game for D. Gallinari
0:32.0,T. Harris enters the game for A. Drummond,,92-87,,
0:32.0,Detroit full timeout,,92-87,,
0:32.0,A. Drummond enters the game for S. Johnson,,92-87,,
0:30.0,,,92-87,,Personal take foul by P. Beverley (drawn by R. Jackson)
0:30.0,S. Johnson enters the game for T. Harris,,92-87,,
0:30.0,R. Jackson makes free throw 2 of 2,1,93-87,,
0:30.0,R. Jackson makes free throw 1 of 2,1,94-87,,
0:30.0,,,94-87,,LA Clippers full timeout
0:30.0,,,94-87,,L. Williams enters the game for S. Thornwell
0:30.0,,,94-87,,D. Jordan enters the game for A. Rivers
0:30.0,,,94-87,,D. Gallinari enters the game for W. Johnson
0:29.0,,,94-87,,D. Gallinari misses 3-pt shot from 25 ft
0:27.0,Defensive rebound by A. Bradley,,94-87,,
0:27.0,,,94-87,,Personal take foul by P. Beverley (drawn by A. Bradley)
0:27.0,A. Bradley misses free throw 1 of 2,,94-87,,
0:27.0,Offensive rebound by Team,,94-87,,
0:27.0,A. Bradley makes free throw 2 of 2,1,95-87,,
0:18.0,,,95-87,,Turnover by P. Beverley (bad pass; steal by A. Drummond)
