time,Atlanta,pts.away,score,pts.home,Toronto
4:42.0,Defensive rebound by D. Dedmon,,44-38,,
4:40.0,Shooting foul by F. VanVleet (drawn by D. Dedmon),,44-38,,
4:40.0,D. Dedmon makes free throw 1 of 2,1,45-38,,
4:40.0,,,45-38,,N. Powell enters the game for F. VanVleet
4:40.0,,,45-38,,D. DeRozan enters the game for D. Wright
4:40.0,M. Plumlee enters the game for T. Waller-Prince,,45-38,,
4:40.0,T. Dorsey enters the game for J. Collins,,45-38,,
4:40.0,J. Morris enters the game for K. Bazemore,,45-38,,
4:40.0,D. Dedmon makes free throw 2 of 2,1,46-38,,
4:24.0,,,46-41,3,S. Ibaka makes 3-pt shot from 25 ft (assist by D. DeRozan)
3:54.0,Offensive foul by D. Dedmon (drawn by K. Lowry),,46-41,,
3:54.0,Turnover by D. Dedmon (offensive foul),,46-41,,
3:44.0,Personal foul by J. Morris (drawn by D. DeRozan),,46-41,,
3:44.0,M. Muscala enters the game for D. Dedmon,,46-41,,
3:44.0,I. Taylor enters the game for D. Schroder,,46-41,,
3:30.0,,,46-41,,J. Valanciunas misses 2-pt shot from 11 ft
3:28.0,Defensive rebound by M. Plumlee,,46-41,,
3:20.0,I. Taylor misses 2-pt shot from 7 ft,,46-41,,
3:18.0,,,46-41,,Defensive rebound by S. Ibaka
3:10.0,,,46-41,,J. Valanciunas misses 2-pt shot from 7 ft
3:08.0,Defensive rebound by M. Plumlee,,46-41,,
3:01.0,,,46-41,,Personal foul by D. DeRozan (drawn by M. Muscala)
3:01.0,M. Muscala misses free throw 1 of 2,,46-41,,
3:01.0,Offensive rebound by Team,,46-41,,
3:01.0,M. Muscala makes free throw 2 of 2,1,47-41,,
2:47.0,,,47-41,,K. Lowry misses 3-pt shot from 25 ft
2:44.0,Defensive rebound by J. Morris,,47-41,,
2:38.0,M. Muscala misses 3-pt shot from 25 ft,,47-41,,
2:36.0,,,47-41,,Defensive rebound by Team
2:36.0,Atlanta full timeout,,47-41,,
