time,Boston,pts.away,score,pts.home,Orlando
1:04.0,,,45-38,,Offensive rebound by A. Gordon
0:51.0,,,45-38,,Personal foul by A. Gordon (drawn by A. Horford)
0:51.0,,,45-38,,J. Isaac enters the game for A. Gordon
0:41.0,M. Smart misses 2-pt shot from 3 ft,,45-38,,
0:39.0,Offensive rebound by M. Smart,,45-38,,
0:39.0,M. Smart misses 2-pt shot from 3 ft (block by S. Mack),,45-38,,
0:39.0,Offensive rebound by Team,,45-38,,
0:38.0,J. Brown makes 2-pt shot from 1 ft (assist by M. Smart),2,47-38,,
0:28.0,,,47-38,,Turnover by J. Isaac (lost ball; steal by J. Brown)
0:25.0,Shooting foul by E. Fournier (drawn by J. Brown),,47-38,,
0:25.0,J. Brown misses free throw 1 of 2,,47-38,,
0:25.0,Offensive rebound by Team,,47-38,,
0:25.0,S. Ojeleye enters the game for A. Horford,,47-38,,
0:25.0,J. Brown misses free throw 2 of 2,,47-38,,
0:22.0,,,47-38,,Defensive rebound by J. Isaac
0:08.0,,,47-38,,Turnover by E. Fournier (lost ball; steal by M. Smart)
0:05.0,S. Ojeleye makes 2-pt shot from 1 ft (assist by M. Smart),2,49-38,,
0:00.0,,,49-38,,T. Ross misses 3-pt shot from 25 ft
0:00.0,,,49-38,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,49-41,3,E. Fournier makes 3-pt shot from 24 ft (assist by A. Gordon)
11:31.0,Turnover by A. Horford (traveling),,49-41,,
11:19.0,,,49-41,,Shooting foul by M. Morris (drawn by A. Gordon)
11:19.0,,,49-42,1,A. Gordon makes free throw 1 of 2
11:19.0,,,49-43,1,A. Gordon makes free throw 2 of 2
10:57.0,J. Brown makes 3-pt shot from 25 ft (assist by K. Irving),3,52-43,,
10:43.0,,,52-45,2,J. Simmons makes 2-pt shot from 2 ft (assist by N. Vucevic)
10:43.0,,,52-45,,Shooting foul by K. Irving (drawn by J. Simmons)
10:43.0,,,52-46,1,J. Simmons makes free throw 1 of 1
10:23.0,J. Tatum makes 2-pt shot from 2 ft (assist by J. Brown),2,54-46,,
10:11.0,,,54-46,,T. Ross misses 3-pt shot from 25 ft
10:08.0,Defensive rebound by J. Brown,,54-46,,
9:59.0,A. Horford makes 3-pt shot from 23 ft (assist by J. Tatum),3,57-46,,
9:35.0,,,57-48,2,N. Vucevic makes 2-pt shot from 10 ft
9:13.0,K. Irving misses 2-pt shot from 2 ft,,57-48,,
9:09.0,,,57-48,,Defensive rebound by A. Gordon
9:01.0,,,57-50,2,J. Simmons makes 2-pt shot from 4 ft
9:01.0,,,57-50,,Shooting foul by K. Irving (drawn by J. Simmons)
9:01.0,,,57-51,1,J. Simmons makes free throw 1 of 1
8:42.0,J. Brown makes 2-pt shot from 2 ft,2,59-51,,
8:42.0,Shooting foul by E. Fournier (drawn by J. Brown),,59-51,,
8:42.0,J. Brown makes free throw 1 of 1,1,60-51,,
8:26.0,,,60-53,2,T. Ross makes 2-pt shot from 15 ft (assist by N. Vucevic)
8:08.0,M. Morris makes 2-pt shot from 2 ft (assist by J. Tatum),2,62-53,,
7:59.0,,,62-53,,J. Simmons misses 2-pt shot from 17 ft
7:59.0,,,62-53,,Offensive rebound by N. Vucevic
7:55.0,,,62-53,,N. Vucevic misses 2-pt shot from 7 ft
7:55.0,,,62-53,,Offensive rebound by J. Simmons
7:47.0,Turnover by A. Horford (bad pass),,62-53,,
7:46.0,,,62-53,,J. Simmons misses 2-pt shot at rim
7:46.0,Defensive rebound by A. Horford,,62-53,,
7:37.0,,,62-53,,Shooting foul by J. Tatum (drawn by T. Ross)
7:37.0,,,62-54,1,T. Ross makes free throw 1 of 3
7:37.0,,,62-55,1,T. Ross makes free throw 2 of 3
7:37.0,,,62-56,1,T. Ross makes free throw 3 of 3
7:26.0,M. Morris misses 3-pt shot from 26 ft,,62-56,,
7:26.0,Offensive rebound by Team,,62-56,,
7:25.0,,,62-56,,Personal foul by J. Simmons (drawn by A. Horford)
7:13.0,A. Horford misses 2-pt shot from 2 ft,,62-56,,
7:10.0,,,62-56,,Defensive rebound by A. Gordon
7:04.0,,,62-56,,A. Gordon misses 2-pt shot from 4 ft
7:04.0,,,62-56,,Offensive rebound by A. Gordon
7:04.0,,,62-58,2,A. Gordon makes 2-pt shot from 4 ft
7:04.0,Boston full timeout,,62-58,,
7:04.0,M. Smart enters the game for J. Tatum,,62-58,,
7:04.0,S. Ojeleye enters the game for M. Morris,,62-58,,
6:51.0,J. Brown makes 2-pt shot from 1 ft (assist by A. Horford),2,64-58,,
6:39.0,Personal foul by M. Smart (drawn by T. Ross),,64-58,,
6:39.0,,,64-59,1,T. Ross makes free throw 1 of 2
6:39.0,,,64-60,1,T. Ross makes free throw 2 of 2
