time,Memphis,pts.away,score,pts.home,Indiana
0:02.0,W. Selden misses 2-pt shot from 3 ft (block by C. Joseph),,101-102,,
0:01.0,,,101-102,,Defensive rebound by B. Bogdanovic
0:00.0,Personal take foul by J. Martin (drawn by B. Bogdanovic),,101-102,,
0:00.0,,,101-103,1,B. Bogdanovic makes free throw 2 of 2
0:00.0,,,101-104,1,B. Bogdanovic makes free throw 1 of 2
0:00.0,Technical foul by W. Selden,,101-104,,
0:00.0,,,101-105,1,B. Bogdanovic makes technical free throw
0:00.0,B. Wright enters the game for W. Selden,,101-105,,
0:00.0,Memphis full timeout,,101-105,,
0:00.0,M. Gasol misses 3-pt shot from 27 ft,,101-105,,
0:00.0,Offensive rebound by Team,,101-105,,
