time,Utah,pts.away,score,pts.home,Detroit
3:23.0,R. Gobert misses 2-pt shot from 3 ft (block by A. Drummond),,79-85,,
3:23.0,,,79-85,,Defensive rebound by A. Drummond
3:17.0,,,79-88,3,T. Harris makes 3-pt shot from 25 ft (assist by I. Smith)
2:57.0,R. Gobert makes 2-pt shot from 3 ft (assist by J. Ingles),2,81-88,,
2:41.0,,,81-88,,A. Bradley misses 3-pt shot from 24 ft
2:35.0,Defensive rebound by R. Rubio,,81-88,,
2:24.0,J. Johnson makes 2-pt shot from 20 ft (assist by J. Ingles),2,83-88,,
2:05.0,,,83-88,,Turnover by T. Harris (turnover)
1:55.0,J. Johnson misses 3-pt shot from 26 ft,,83-88,,
1:53.0,,,83-88,,Defensive rebound by Team
1:31.0,,,83-88,,I. Smith misses 2-pt shot from 18 ft
1:28.0,Defensive rebound by R. Rubio,,83-88,,
1:23.0,R. Rubio makes 2-pt shot from 1 ft,2,85-88,,
1:02.0,,,85-88,,I. Smith misses 2-pt shot from 21 ft
0:59.0,Defensive rebound by R. Gobert,,85-88,,
0:49.0,J. Johnson makes 2-pt shot from 10 ft (assist by R. Rubio),2,87-88,,
0:28.0,,,87-88,,S. Johnson misses 3-pt shot from 26 ft
0:23.0,Defensive rebound by D. Mitchell,,87-88,,
0:13.0,Turnover by R. Rubio (bad pass; steal by I. Smith),,87-88,,
0:11.0,Personal foul by D. Mitchell (drawn by A. Drummond),,87-88,,
0:11.0,,,87-89,1,A. Drummond makes free throw 1 of 2
0:11.0,,,87-89,,A. Tolliver enters the game for T. Harris
0:11.0,D. Favors enters the game for J. Johnson,,87-89,,
0:11.0,,,87-89,,A. Drummond misses free throw 2 of 2
0:11.0,Defensive rebound by R. Gobert,,87-89,,
0:11.0,Utah full timeout,,87-89,,
0:11.0,J. Johnson enters the game for D. Favors,,87-89,,
0:05.0,D. Mitchell misses 2-pt shot from 4 ft (block by A. Drummond),,87-89,,
0:05.0,Offensive rebound by Team,,87-89,,
0:05.0,Utah full timeout,,87-89,,
0:04.0,J. Ingles makes 2-pt shot at rim (assist by R. Rubio),2,89-89,,
0:04.0,,,89-89,,Detroit full timeout
0:04.0,,,89-89,,L. Kennard enters the game for S. Johnson
0:04.0,,,89-89,,T. Harris enters the game for I. Smith
0:04.0,R. O'Neale enters the game for J. Johnson,,89-89,,
0:00.0,,,89-89,,L. Kennard misses 3-pt shot from 27 ft
0:00.0,,,89-89,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: A. Drummond vs. R. Gobert (I. Smith gains possession),,,,Jump ball: A. Drummond vs. R. Gobert (I. Smith gains possession)
4:45.0,,,89-89,,T. Harris misses 2-pt shot from 19 ft
4:45.0,Defensive rebound by Team,,89-89,,
4:45.0,,,89-89,,Loose ball foul by A. Drummond (drawn by R. Gobert)
4:32.0,D. Mitchell misses 3-pt shot from 26 ft,,89-89,,
4:28.0,,,89-89,,Defensive rebound by A. Drummond
4:15.0,,,89-91,2,A. Drummond makes 2-pt shot from 2 ft
3:57.0,J. Ingles makes 3-pt shot from 23 ft (assist by R. Gobert),3,92-91,,
3:40.0,,,92-91,,S. Johnson misses 3-pt shot from 25 ft
3:37.0,Defensive rebound by D. Mitchell,,92-91,,
3:33.0,J. Ingles makes 3-pt shot from 26 ft (assist by D. Mitchell),3,95-91,,
3:24.0,,,95-91,,Detroit full timeout
3:24.0,,,95-91,,L. Kennard enters the game for S. Johnson
3:10.0,,,95-91,,Turnover by L. Kennard (lost ball; steal by J. Ingles)
3:03.0,D. Mitchell makes 3-pt shot from 25 ft (assist by J. Johnson),3,98-91,,
2:39.0,,,98-91,,T. Harris misses 2-pt shot from 16 ft
2:33.0,,,98-91,,Offensive rebound by A. Drummond
2:33.0,,,98-93,2,A. Drummond makes 2-pt shot at rim
2:15.0,R. Gobert misses 2-pt shot from 1 ft,,98-93,,
2:13.0,,,98-93,,Defensive rebound by L. Kennard
2:10.0,,,98-93,,Turnover by T. Harris (turnover)
1:58.0,R. Gobert misses 2-pt shot from 1 ft (block by A. Drummond),,98-93,,
1:58.0,,,98-93,,Defensive rebound by Team
1:46.0,J. Ingles misses 3-pt shot from 26 ft,,98-93,,
1:42.0,Offensive rebound by R. Rubio,,98-93,,
1:33.0,D. Mitchell misses 2-pt shot from 3 ft (block by A. Drummond),,98-93,,
1:33.0,,,98-93,,Defensive rebound by Team
1:21.0,,,98-93,,I. Smith misses 3-pt shot from 26 ft
1:17.0,Defensive rebound by J. Johnson,,98-93,,
1:03.0,,,98-93,,Personal foul by A. Drummond (drawn by D. Mitchell)
0:53.0,J. Johnson misses 3-pt shot from 24 ft,,98-93,,
0:50.0,,,98-93,,Defensive rebound by A. Drummond
0:45.0,,,98-93,,Shooting foul by R. Rubio (drawn by A. Drummond)
0:45.0,,,98-93,,A. Drummond misses free throw 1 of 2
0:45.0,,,98-93,,Offensive rebound by Team
0:45.0,,,98-93,,A. Drummond misses free throw 2 of 2
0:42.0,,,98-93,,Offensive rebound by L. Kennard
0:36.0,,,98-93,,I. Smith misses 3-pt shot from 26 ft
0:33.0,,,98-93,,Offensive rebound by A. Drummond
0:33.0,,,98-95,2,A. Drummond makes 2-pt shot from 1 ft
0:17.0,D. Mitchell misses 3-pt shot from 27 ft,,98-95,,
0:13.0,,,98-95,,Defensive rebound by T. Harris
0:06.0,,,98-95,,Detroit full timeout
0:06.0,,,98-95,,A. Tolliver enters the game for I. Smith
0:06.0,,,98-95,,L. Galloway enters the game for A. Bradley
0:06.0,R. O'Neale enters the game for J. Johnson,,98-95,,
0:04.0,,,98-95,,T. Harris misses 3-pt shot from 23 ft
0:02.0,Defensive rebound by Team,,98-95,,
0:02.0,Utah full timeout,,98-95,,
0:02.0,,,98-95,,S. Johnson enters the game for L. Kennard
0:02.0,,,98-95,,A. Bradley enters the game for T. Harris
0:02.0,,,98-95,,I. Smith enters the game for L. Galloway
0:02.0,J. Johnson enters the game for R. O'Neale,,98-95,,
0:01.0,,,98-95,,Personal foul by A. Tolliver (drawn by R. Gobert)
0:01.0,R. Gobert misses free throw 1 of 2,,98-95,,
0:01.0,Offensive rebound by Team,,98-95,,
0:01.0,R. O'Neale enters the game for J. Johnson,,98-95,,
0:01.0,R. Gobert misses free throw 2 of 2,,98-95,,
0:00.0,,,98-95,,Defensive rebound by A. Drummond
0:00.0,,,98-95,,A. Drummond misses 3-pt shot from 65 ft
0:00.0,,,98-95,,Offensive rebound by Team
