time,LA Clippers,pts.away,score,pts.home,Milwaukee
5:22.0,T. Harris makes 3-pt shot from 24 ft (assist by A. Rivers),3,80-67,,
5:07.0,,,80-67,,Shooting foul by T. Harris (drawn by J. Parker)
5:07.0,,,80-68,1,J. Parker makes free throw 1 of 2
5:07.0,,,80-68,,T. Snell enters the game for J. Terry
5:07.0,,,80-69,1,J. Parker makes free throw 2 of 2
4:47.0,D. Jordan makes 2-pt shot from 1 ft (assist by L. Williams),2,82-69,,
4:31.0,,,82-71,2,J. Parker makes 2-pt shot from 20 ft
4:16.0,L. Williams makes 2-pt shot from 2 ft,2,84-71,,
3:48.0,,,84-71,,E. Bledsoe misses 2-pt shot from 16 ft
3:45.0,Defensive rebound by D. Jordan,,84-71,,
3:43.0,Turnover by L. Williams (bad pass; steal by K. Middleton),,84-71,,
3:38.0,,,84-73,2,E. Bledsoe makes 2-pt shot from 14 ft (assist by T. Snell)
3:16.0,Shooting foul by J. Parker (drawn by L. Williams),,84-73,,
3:16.0,L. Williams makes free throw 1 of 2,1,85-73,,
3:16.0,,,85-73,,S. Brown enters the game for T. Snell
3:16.0,L. Williams makes free throw 2 of 2,1,86-73,,
3:06.0,,,86-75,2,E. Bledsoe makes 2-pt shot from 1 ft
2:55.0,A. Rivers makes 3-pt shot from 27 ft (assist by L. Williams),3,89-75,,
2:55.0,,,89-75,,Milwaukee full timeout
2:55.0,,,89-75,,S. Muhammad enters the game for J. Parker
2:55.0,,,89-75,,T. Zeller enters the game for J. Henson
2:55.0,S. Dekker enters the game for T. Harris,,89-75,,
2:46.0,,,89-75,,Turnover by E. Bledsoe (bad pass; steal by L. Williams)
2:43.0,Shooting foul by K. Middleton (drawn by A. Rivers),,89-75,,
2:43.0,A. Rivers makes free throw 1 of 2,1,90-75,,
2:43.0,A. Rivers misses free throw 2 of 2,,90-75,,
2:38.0,,,90-75,,Defensive rebound by S. Muhammad
2:30.0,,,90-77,2,E. Bledsoe makes 2-pt shot from 16 ft
2:13.0,Turnover by L. Williams (bad pass),,90-77,,
2:00.0,,,90-79,2,K. Middleton makes 2-pt shot from 1 ft (assist by E. Bledsoe)
2:00.0,LA Clippers full timeout,,90-79,,
1:50.0,A. Rivers makes 3-pt shot from 25 ft,3,93-79,,
1:40.0,,,93-81,2,T. Zeller makes 2-pt shot at rim (assist by E. Bledsoe)
