time,Denver,pts.away,score,pts.home,LA Lakers
2:29.0,E. Mudiay makes 3-pt shot from 25 ft (assist by T. Lyles),3,77-94,,
2:18.0,,,77-94,,B. Ingram misses 2-pt shot from 16 ft
2:14.0,Defensive rebound by J. Hernangomez,,77-94,,
2:11.0,G. Harris misses 3-pt shot from 26 ft,,77-94,,
2:09.0,Offensive rebound by E. Mudiay,,77-94,,
2:09.0,Shooting foul by K. Caldwell-Pope (drawn by E. Mudiay),,77-94,,
2:09.0,E. Mudiay makes free throw 1 of 2,1,78-94,,
2:09.0,,,78-94,,J. Hart enters the game for B. Ingram
2:09.0,E. Mudiay makes free throw 2 of 2,1,79-94,,
1:57.0,,,79-94,,Turnover by J. Clarkson (bad pass)
1:48.0,E. Mudiay misses 2-pt shot from 18 ft,,79-94,,
1:46.0,,,79-94,,Defensive rebound by K. Caldwell-Pope
1:42.0,,,79-96,2,C. Brewer makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope)
1:42.0,,,79-96,,Shooting foul by K. Faried (drawn by C. Brewer)
1:42.0,,,79-97,1,C. Brewer makes free throw 1 of 1
1:22.0,T. Lyles misses 2-pt shot from 2 ft,,79-97,,
1:20.0,,,79-97,,Defensive rebound by J. Randle
1:08.0,,,79-97,,J. Randle misses 2-pt shot from 7 ft
1:04.0,Defensive rebound by K. Faried,,79-97,,
0:59.0,J. Hernangomez makes 3-pt shot from 22 ft (assist by E. Mudiay),3,82-97,,
0:48.0,,,82-97,,Shooting foul by K. Faried (drawn by J. Clarkson)
0:48.0,,,82-97,,J. Clarkson misses free throw 1 of 2
0:48.0,,,82-97,,Offensive rebound by Team
0:48.0,,,82-97,,J. Clarkson misses free throw 2 of 2
0:46.0,Defensive rebound by T. Lyles,,82-97,,
0:40.0,Turnover by T. Lyles (traveling),,82-97,,
0:34.0,,,82-97,,K. Caldwell-Pope misses 3-pt shot from 26 ft
0:29.0,Defensive rebound by K. Faried,,82-97,,
0:24.0,Shooting foul by J. Clarkson (drawn by E. Mudiay),,82-97,,
0:24.0,E. Mudiay makes free throw 1 of 2,1,83-97,,
0:24.0,E. Mudiay makes free throw 2 of 2,1,84-97,,
0:03.0,,,84-99,2,J. Clarkson makes 2-pt shot from 1 ft
0:00.0,G. Harris misses 3-pt shot from 42 ft,,84-99,,
0:00.0,Offensive rebound by Team,,84-99,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,84-101,2,J. Clarkson makes 2-pt shot from 2 ft (assist by C. Brewer)
11:24.0,W. Barton misses 3-pt shot from 25 ft,,84-101,,
11:20.0,,,84-101,,Defensive rebound by J. Hart
11:11.0,,,84-103,2,J. Randle makes 2-pt shot from 4 ft
10:57.0,Shooting foul by J. Randle (drawn by T. Lyles),,84-103,,
10:57.0,T. Lyles misses free throw 1 of 2,,84-103,,
10:57.0,Offensive rebound by Team,,84-103,,
10:57.0,M. Plumlee enters the game for K. Faried,,84-103,,
10:57.0,T. Lyles misses free throw 2 of 2,,84-103,,
10:54.0,,,84-103,,Defensive rebound by J. Randle
10:36.0,,,84-103,,Shooting foul by J. Hernangomez (drawn by J. Hart)
10:36.0,,,84-103,,J. Hart misses free throw 1 of 2
10:36.0,,,84-103,,Offensive rebound by Team
10:36.0,,,84-104,1,J. Hart makes free throw 2 of 2
10:24.0,J. Murray misses 3-pt shot from 26 ft,,84-104,,
10:21.0,,,84-104,,Defensive rebound by L. Ball
10:17.0,,,84-104,,J. Clarkson misses 3-pt shot from 25 ft
10:12.0,Defensive rebound by T. Lyles,,84-104,,
10:08.0,J. Murray makes 2-pt shot from 2 ft,2,86-104,,
9:53.0,,,86-106,2,L. Ball makes 2-pt shot from 1 ft (assist by J. Randle)
9:42.0,Turnover by M. Plumlee (traveling),,86-106,,
9:32.0,,,86-109,3,J. Randle makes 3-pt shot from 27 ft (assist by L. Ball)
9:31.0,Denver full timeout,,86-109,,
