time,Brooklyn,pts.away,score,pts.home,Houston
3:42.0,I. Whitehead makes 2-pt shot from 17 ft,2,95-112,,
3:19.0,,,95-112,,Turnover by L. Mbah a Moute (traveling)
3:19.0,,,95-112,,C. Paul enters the game for E. Gordon
3:09.0,I. Whitehead misses 2-pt shot at rim,,95-112,,
3:07.0,,,95-112,,Defensive rebound by C. Paul
3:05.0,Personal foul by Q. Acy (drawn by C. Capela),,95-112,,
3:01.0,,,95-115,3,J. Harden makes 3-pt shot from 24 ft (assist by L. Mbah a Moute)
2:38.0,T. Mozgov makes 2-pt shot at rim (assist by S. Kilpatrick),2,97-115,,
2:21.0,,,97-117,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
2:21.0,Brooklyn full timeout,,97-117,,
2:10.0,Turnover by S. Kilpatrick (lost ball; steal by P. Tucker),,97-117,,
1:59.0,,,97-117,,J. Harden misses 3-pt shot from 28 ft
1:54.0,,,97-117,,Offensive rebound by C. Paul
1:38.0,,,97-117,,J. Harden misses 3-pt shot from 25 ft
1:35.0,Defensive rebound by Q. Acy,,97-117,,
1:31.0,J. Harris misses 3-pt shot from 24 ft,,97-117,,
1:28.0,Offensive rebound by T. Mozgov,,97-117,,
1:28.0,Shooting foul by C. Paul (drawn by I. Whitehead),,97-117,,
1:28.0,I. Whitehead misses free throw 1 of 2,,97-117,,
1:28.0,Offensive rebound by Team,,97-117,,
1:28.0,,,97-117,,B. Weber enters the game for P. Tucker
1:28.0,,,97-117,,B. Brown enters the game for L. Mbah a Moute
1:28.0,,,97-117,,T. Black enters the game for J. Harden
1:28.0,,,97-117,,T. Williams enters the game for C. Paul
1:28.0,I. Whitehead makes free throw 2 of 2,1,98-117,,
1:15.0,,,98-117,,Turnover by T. Williams (bad pass; steal by I. Whitehead)
1:11.0,J. Harris makes 3-pt shot from 24 ft (assist by I. Whitehead),3,101-117,,
0:57.0,,,101-117,,T. Black misses 3-pt shot from 23 ft
0:54.0,Defensive rebound by Q. Acy,,101-117,,
0:44.0,S. Kilpatrick misses 2-pt shot from 1 ft,,101-117,,
0:42.0,,,101-117,,Defensive rebound by C. Capela
0:28.0,,,101-117,,B. Brown misses 3-pt shot from 27 ft
0:25.0,Defensive rebound by I. Whitehead,,101-117,,
0:17.0,T. Mozgov makes 2-pt shot from 1 ft (assist by I. Whitehead),2,103-117,,
