time,Brooklyn,pts.away,score,pts.home,Charlotte
8:22.0,,,55-62,,Shooting foul by D. Russell (drawn by M. Kidd-Gilchrist)
8:22.0,Technical foul by D. Carroll,,55-62,,
8:22.0,,,55-63,1,K. Walker makes technical free throw
8:22.0,,,55-64,1,M. Kidd-Gilchrist makes free throw 1 of 1
8:11.0,A. Crabbe misses 2-pt shot from 13 ft,,55-64,,
8:08.0,,,55-64,,Defensive rebound by N. Batum
8:01.0,Personal foul by A. Crabbe (drawn by N. Batum),,55-64,,
7:51.0,,,55-66,2,M. Kidd-Gilchrist makes 2-pt shot from 5 ft (assist by N. Batum)
7:51.0,Brooklyn full timeout,,55-66,,
7:34.0,J. Allen misses 2-pt shot from 2 ft,,55-66,,
7:32.0,,,55-66,,Defensive rebound by M. Kidd-Gilchrist
7:29.0,,,55-68,2,M. Kidd-Gilchrist makes 2-pt shot from 2 ft
7:05.0,D. Russell makes 2-pt shot from 6 ft,2,57-68,,
6:47.0,,,57-70,2,D. Howard makes 2-pt shot from 2 ft (assist by N. Batum)
6:27.0,D. Russell misses 3-pt shot from 27 ft,,57-70,,
6:23.0,Offensive rebound by D. Carroll,,57-70,,
6:21.0,S. Dinwiddie makes 2-pt shot from 10 ft (assist by D. Carroll),2,59-70,,
6:21.0,Shooting foul by M. Kidd-Gilchrist (drawn by S. Dinwiddie),,59-70,,
6:21.0,S. Dinwiddie makes free throw 1 of 1,1,60-70,,
6:12.0,,,60-70,,N. Batum misses 2-pt shot from 18 ft
6:08.0,,,60-70,,Offensive rebound by M. Kidd-Gilchrist
5:55.0,,,60-70,,D. Howard misses 2-pt shot from 1 ft
5:53.0,Defensive rebound by S. Dinwiddie,,60-70,,
5:46.0,,,60-70,,Personal foul by M. Williams (drawn by D. Carroll)
5:46.0,,,60-70,,J. Lamb enters the game for M. Kidd-Gilchrist
5:40.0,A. Crabbe makes 3-pt shot from 26 ft (assist by D. Russell),3,63-70,,
5:25.0,,,63-70,,Turnover by M. Williams (traveling)
5:25.0,J. Harris enters the game for D. Russell,,63-70,,
5:25.0,Q. Acy enters the game for D. Carroll,,63-70,,
5:25.0,D. Cunningham enters the game for J. Allen,,63-70,,
5:03.0,S. Dinwiddie misses 2-pt shot from 10 ft,,63-70,,
5:01.0,,,63-70,,Defensive rebound by D. Howard
4:51.0,,,63-70,,Turnover by N. Batum (out of bounds lost ball)
4:37.0,D. Cunningham misses 3-pt shot from 25 ft,,63-70,,
4:32.0,,,63-70,,Defensive rebound by D. Howard
4:24.0,,,63-70,,K. Walker misses 2-pt shot from 1 ft
4:22.0,Defensive rebound by Q. Acy,,63-70,,
4:16.0,J. Harris makes 3-pt shot from 23 ft (assist by S. Dinwiddie),3,66-70,,
4:16.0,,,66-70,,Charlotte full timeout
4:04.0,,,66-72,2,N. Batum makes 2-pt shot from 17 ft (assist by K. Walker)
3:53.0,S. Dinwiddie misses 2-pt shot from 2 ft,,66-72,,
3:50.0,,,66-72,,Defensive rebound by D. Howard
3:34.0,,,66-72,,Shooting foul by D. Cunningham (drawn by D. Howard)
3:34.0,,,66-72,,D. Howard misses free throw 1 of 2
3:34.0,,,66-72,,Offensive rebound by Team
3:34.0,,,66-72,,F. Kaminsky enters the game for M. Williams
3:34.0,,,66-73,1,D. Howard makes free throw 2 of 2
3:15.0,D. Cunningham misses 3-pt shot from 22 ft,,66-73,,
3:12.0,,,66-73,,Defensive rebound by F. Kaminsky
3:06.0,,,66-73,,Turnover by D. Howard (lost ball; steal by J. Harris)
2:52.0,A. Crabbe misses 3-pt shot from 23 ft,,66-73,,
2:49.0,Offensive rebound by D. Cunningham,,66-73,,
2:41.0,A. Crabbe misses 2-pt shot from 7 ft,,66-73,,
2:39.0,,,66-73,,Defensive rebound by F. Kaminsky
2:35.0,,,66-75,2,K. Walker makes 2-pt shot at rim
2:06.0,Q. Acy misses 3-pt shot from 23 ft,,66-75,,
2:01.0,Offensive rebound by D. Cunningham,,66-75,,
2:01.0,D. Cunningham makes 2-pt shot at rim,2,68-75,,
1:49.0,,,68-77,2,K. Walker makes 2-pt shot from 13 ft
1:28.0,D. Cunningham makes 3-pt shot from 24 ft (assist by S. Dinwiddie),3,71-77,,
1:14.0,,,71-80,3,K. Walker makes 3-pt shot from 25 ft
1:07.0,Shooting foul by D. Howard (drawn by D. Cunningham),,71-80,,
1:07.0,D. Cunningham misses free throw 1 of 2,,71-80,,
1:07.0,Offensive rebound by Team,,71-80,,
1:07.0,,,71-80,,M. Carter-Williams enters the game for D. Howard
1:07.0,,,71-80,,C. Zeller enters the game for K. Walker
1:07.0,D. Russell enters the game for S. Dinwiddie,,71-80,,
1:07.0,D. Carroll enters the game for A. Crabbe,,71-80,,
1:07.0,D. Cunningham makes free throw 2 of 2,1,72-80,,
1:00.0,,,72-80,,N. Batum misses 3-pt shot from 25 ft
0:56.0,Defensive rebound by Q. Acy,,72-80,,
0:42.0,,,72-80,,Personal foul by N. Batum (drawn by D. Carroll)
0:42.0,D. Carroll makes free throw 1 of 2,1,73-80,,
0:42.0,D. Carroll makes free throw 2 of 2,1,74-80,,
0:27.0,,,74-80,,F. Kaminsky misses 2-pt shot from 7 ft (block by D. Cunningham)
0:24.0,Defensive rebound by D. Cunningham,,74-80,,
0:04.0,D. Carroll misses 2-pt shot from 3 ft (block by M. Carter-Williams),,74-80,,
0:00.0,Offensive rebound by J. Harris,,74-80,,
0:00.0,D. Russell misses 3-pt shot from 25 ft,,74-80,,
0:00.0,Offensive rebound by Team,,74-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,74-80,,J. Lamb misses 2-pt shot from 8 ft (block by Q. Acy)
11:35.0,Defensive rebound by D. Russell,,74-80,,
11:12.0,J. Harris misses 3-pt shot from 28 ft,,74-80,,
11:09.0,,,74-80,,Defensive rebound by F. Kaminsky
11:01.0,,,74-80,,C. Zeller misses 2-pt shot from 4 ft
10:59.0,Defensive rebound by Q. Acy,,74-80,,
10:45.0,D. Cunningham makes 3-pt shot from 23 ft (assist by J. Harris),3,77-80,,
10:36.0,,,77-83,3,F. Kaminsky makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
10:21.0,J. Harris misses 2-pt shot from 1 ft,,77-83,,
10:21.0,,,77-83,,Defensive rebound by J. Lamb
10:04.0,,,77-83,,Turnover by M. Carter-Williams (bad pass; steal by J. Harris)
10:00.0,D. Cunningham makes 2-pt shot from 1 ft (assist by D. Russell),2,79-83,,
9:37.0,,,79-85,2,C. Zeller makes 2-pt shot from 1 ft (assist by J. Lamb)
9:24.0,,,79-85,,Personal foul by C. Zeller (drawn by D. Russell)
9:24.0,J. Allen enters the game for D. Cunningham,,79-85,,
9:18.0,J. Allen misses 2-pt shot from 1 ft,,79-85,,
9:13.0,,,79-85,,Defensive rebound by M. Carter-Williams
9:09.0,,,79-85,,T. Graham misses 2-pt shot from 14 ft
9:07.0,,,79-85,,Offensive rebound by F. Kaminsky
8:58.0,,,79-87,2,T. Graham makes 2-pt shot from 9 ft (assist by J. Lamb)
8:53.0,Offensive foul by Q. Acy (drawn by T. Graham),,79-87,,
8:53.0,Turnover by Q. Acy (offensive foul),,79-87,,
8:40.0,,,79-89,2,J. Lamb makes 2-pt shot from 15 ft (assist by F. Kaminsky)
8:37.0,Brooklyn full timeout,,79-89,,
8:25.0,J. Allen makes 2-pt shot at rim (assist by D. Russell),2,81-89,,
8:12.0,,,81-91,2,C. Zeller makes 2-pt shot from 8 ft (assist by M. Carter-Williams)
7:59.0,D. Russell makes 2-pt shot from 12 ft,2,83-91,,
7:59.0,Shooting foul by T. Graham (drawn by D. Russell),,83-91,,
7:59.0,,,83-91,,K. Walker enters the game for T. Graham
7:59.0,S. Dinwiddie enters the game for Q. Acy,,83-91,,
7:59.0,D. Russell makes free throw 1 of 1,1,84-91,,
7:43.0,,,84-93,2,C. Zeller makes 2-pt shot from 4 ft (assist by K. Walker)
7:23.0,D. Carroll makes 2-pt shot at rim (assist by J. Allen),2,86-93,,
7:01.0,,,86-95,2,K. Walker makes 2-pt shot from 2 ft
6:44.0,Turnover by J. Harris (bad pass; steal by K. Walker),,86-95,,
6:43.0,Personal foul by D. Russell (drawn by K. Walker),,86-95,,
6:43.0,A. Crabbe enters the game for D. Russell,,86-95,,
6:36.0,Personal foul by S. Dinwiddie (drawn by K. Walker),,86-95,,
6:22.0,,,86-95,,J. Lamb misses 2-pt shot from 6 ft
6:20.0,,,86-95,,Offensive rebound by F. Kaminsky
6:17.0,,,86-98,3,K. Walker makes 3-pt shot from 25 ft (assist by F. Kaminsky)
5:55.0,S. Dinwiddie makes 2-pt shot from 10 ft (assist by D. Carroll),2,88-98,,
5:39.0,,,88-100,2,K. Walker makes 2-pt shot from 16 ft
5:36.0,Brooklyn full timeout,,88-100,,
5:36.0,,,88-100,,N. Batum enters the game for J. Lamb
5:36.0,,,88-100,,M. Williams enters the game for M. Carter-Williams
5:36.0,,,88-100,,M. Kidd-Gilchrist enters the game for F. Kaminsky
5:36.0,D. Russell enters the game for J. Harris,,88-100,,
5:25.0,A. Crabbe misses 3-pt shot from 27 ft,,88-100,,
5:21.0,Offensive rebound by A. Crabbe,,88-100,,
5:12.0,Turnover by S. Dinwiddie (bad pass),,88-100,,
5:03.0,,,88-103,3,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum)
4:54.0,,,88-103,,D. Howard enters the game for C. Zeller
