time,Indiana,pts.away,score,pts.home,LA Lakers
4:06.0,,,82-89,1,J. Clarkson makes free throw 1 of 1
4:06.0,Indiana full timeout,,82-89,,
3:49.0,V. Oladipo misses 3-pt shot from 26 ft,,82-89,,
3:45.0,Offensive rebound by B. Bogdanovic,,82-89,,
3:31.0,Turnover by B. Bogdanovic (bad pass),,82-89,,
3:17.0,,,82-89,,Turnover by J. Clarkson (bad pass)
3:17.0,Indiana full timeout,,82-89,,
3:02.0,B. Bogdanovic misses 3-pt shot from 26 ft,,82-89,,
3:00.0,,,82-89,,Defensive rebound by K. Kuzma
2:42.0,,,82-92,3,K. Kuzma makes 3-pt shot from 27 ft
2:25.0,V. Oladipo misses 2-pt shot from 3 ft (block by L. Nance),,82-92,,
2:25.0,Offensive rebound by Team,,82-92,,
2:13.0,V. Oladipo misses 3-pt shot from 27 ft,,82-92,,
2:10.0,,,82-92,,Defensive rebound by L. Nance
1:53.0,,,82-95,3,J. Clarkson makes 3-pt shot from 27 ft
1:33.0,Turnover by V. Oladipo (lost ball; steal by L. Nance),,82-95,,
1:31.0,,,82-97,2,J. Clarkson makes 2-pt shot at rim (assist by L. Nance)
1:31.0,Indiana full timeout,,82-97,,
1:21.0,C. Joseph misses 3-pt shot from 24 ft,,82-97,,
1:17.0,Offensive rebound by T. Young,,82-97,,
1:15.0,C. Joseph makes 2-pt shot from 2 ft,2,84-97,,
0:55.0,,,84-97,,K. Kuzma misses 3-pt shot from 27 ft
0:52.0,Defensive rebound by D. Sabonis,,84-97,,
0:32.0,Shooting foul by L. Nance (drawn by V. Oladipo),,84-97,,
0:32.0,V. Oladipo makes free throw 1 of 2,1,85-97,,
0:32.0,V. Oladipo makes free throw 2 of 2,1,86-97,,
0:27.0,,,86-99,2,L. Nance makes 2-pt shot from 1 ft (assist by K. Kuzma)
0:23.0,C. Joseph misses 3-pt shot from 26 ft,,86-99,,
0:23.0,,,86-99,,Defensive rebound by L. Nance
