time,Cleveland,pts.away,score,pts.home,New Orleans
2:04.0,,,98-117,,Shooting foul by I. Shumpert (drawn by T. Allen)
2:04.0,,,98-117,,T. Allen misses free throw 1 of 2
2:04.0,,,98-117,,Offensive rebound by Team
2:04.0,,,98-117,,T. Allen misses free throw 2 of 2
2:04.0,Defensive rebound by C. Osman,,98-117,,
1:48.0,Turnover by I. Shumpert (bad pass),,98-117,,
1:41.0,,,98-117,,J. Jones misses 2-pt shot from 5 ft
1:37.0,Defensive rebound by A. Zizic,,98-117,,
1:29.0,C. Osman makes 2-pt shot from 14 ft (assist by I. Shumpert),2,100-117,,
1:23.0,,,100-117,,C. Cooke misses 2-pt shot from 5 ft (block by A. Zizic)
1:22.0,,,100-117,,Offensive rebound by J. Smith
1:20.0,,,100-117,,J. Smith misses 2-pt shot from 2 ft
1:20.0,,,100-117,,Offensive rebound by J. Smith
1:19.0,,,100-117,,J. Smith misses 2-pt shot from 1 ft
1:19.0,,,100-117,,Offensive rebound by J. Smith
1:18.0,,,100-119,2,J. Smith makes 2-pt shot from 1 ft
1:04.0,A. Zizic misses 2-pt shot from 7 ft,,100-119,,
0:59.0,,,100-119,,Defensive rebound by J. Jones
0:55.0,,,100-119,,D. Miller misses 2-pt shot from 19 ft
0:49.0,Defensive rebound by C. Osman,,100-119,,
0:47.0,Shooting foul by J. Smith (drawn by A. Zizic),,100-119,,
0:47.0,A. Zizic misses free throw 1 of 2,,100-119,,
0:47.0,Offensive rebound by Team,,100-119,,
0:47.0,A. Zizic makes free throw 2 of 2,1,101-119,,
0:41.0,,,101-121,2,T. Allen makes 2-pt shot from 8 ft
0:30.0,C. Osman misses 3-pt shot from 24 ft,,101-121,,
0:25.0,,,101-121,,Defensive rebound by J. Smith
0:20.0,,,101-123,2,C. Cooke makes 2-pt shot from 8 ft
0:06.0,Turnover by A. Zizic (lost ball; steal by C. Cooke),,101-123,,
