time,LA Lakers,pts.away,score,pts.home,Boston
1:29.0,B. Ingram makes free throw 2 of 2,1,48-56,,
1:19.0,,,48-56,,Shooting foul by J. Randle (drawn by K. Irving)
1:19.0,,,48-57,1,K. Irving makes free throw 1 of 2
1:19.0,,,48-58,1,K. Irving makes free throw 2 of 2
1:04.0,B. Ingram makes 2-pt shot from 2 ft (assist by J. Randle),2,50-58,,
0:53.0,,,50-58,,K. Irving misses 2-pt shot from 2 ft (block by L. Ball)
0:50.0,,,50-58,,Offensive rebound by A. Baynes
0:49.0,,,50-58,,A. Baynes misses 2-pt shot from 2 ft
0:49.0,Defensive rebound by J. Randle,,50-58,,
0:42.0,K. Kuzma makes 2-pt shot from 2 ft (assist by K. Caldwell-Pope),2,52-58,,
0:25.0,,,52-60,2,A. Baynes makes 2-pt shot from 9 ft (assist by M. Smart)
0:25.0,,,52-60,,Shooting foul by J. Randle (drawn by A. Baynes)
0:25.0,B. Lopez enters the game for J. Randle,,52-60,,
0:25.0,,,52-61,1,A. Baynes makes free throw 1 of 1
0:04.0,L. Ball misses 3-pt shot from 23 ft,,52-61,,
0:01.0,,,52-61,,Defensive rebound by M. Morris
0:00.0,,,52-61,,M. Morris misses 3-pt shot from 60 ft
0:00.0,,,52-61,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,52-61,,K. Irving misses 3-pt shot from 28 ft
11:45.0,Defensive rebound by B. Ingram,,52-61,,
11:31.0,Shooting foul by K. Irving (drawn by B. Ingram),,52-61,,
11:31.0,B. Ingram misses free throw 1 of 2,,52-61,,
11:31.0,Offensive rebound by Team,,52-61,,
11:31.0,B. Ingram makes free throw 2 of 2,1,53-61,,
11:20.0,,,53-61,,M. Smart misses 2-pt shot from 8 ft (block by L. Ball)
11:17.0,Defensive rebound by L. Ball,,53-61,,
11:16.0,K. Kuzma makes 2-pt shot from 2 ft (assist by L. Ball),2,55-61,,
10:56.0,,,55-63,2,J. Brown makes 2-pt shot from 17 ft (assist by M. Smart)
10:44.0,Turnover by B. Lopez (bad pass),,55-63,,
10:35.0,,,55-63,,Shooting foul by K. Kuzma (drawn by M. Morris)
10:35.0,,,55-64,1,M. Morris makes free throw 1 of 2
10:35.0,,,55-64,,M. Morris misses free throw 2 of 2
10:35.0,,,55-64,,Offensive rebound by Team
10:29.0,,,55-67,3,M. Smart makes 3-pt shot from 22 ft (assist by M. Morris)
10:09.0,B. Ingram makes 2-pt shot from 20 ft,2,57-67,,
10:09.0,Shooting foul by J. Brown (drawn by B. Ingram),,57-67,,
10:09.0,B. Ingram misses free throw 1 of 1,,57-67,,
9:56.0,Offensive rebound by K. Kuzma,,57-67,,
9:56.0,K. Kuzma misses 2-pt shot from 2 ft,,57-67,,
9:56.0,,,57-67,,Defensive rebound by A. Baynes
9:56.0,,,57-69,2,A. Baynes makes 2-pt shot from 1 ft (assist by K. Irving)
9:56.0,,,57-69,,Shooting foul by K. Caldwell-Pope (drawn by A. Baynes)
9:56.0,,,57-70,1,A. Baynes makes free throw 1 of 1
9:46.0,L. Ball makes 2-pt shot at rim,2,59-70,,
9:31.0,,,59-70,,M. Smart misses 2-pt shot from 19 ft
9:29.0,Defensive rebound by K. Kuzma,,59-70,,
9:21.0,B. Lopez misses 3-pt shot from 25 ft,,59-70,,
9:15.0,,,59-70,,Defensive rebound by J. Brown
9:10.0,,,59-70,,K. Irving misses 2-pt shot from 18 ft
9:07.0,Defensive rebound by B. Ingram,,59-70,,
9:02.0,B. Lopez makes 2-pt shot at rim (assist by B. Ingram),2,61-70,,
8:44.0,,,61-70,,M. Smart misses 2-pt shot from 5 ft
8:42.0,Defensive rebound by K. Kuzma,,61-70,,
8:35.0,Offensive charge foul by K. Kuzma (drawn by A. Baynes),,61-70,,
8:35.0,Turnover by K. Kuzma (offensive foul),,61-70,,
8:23.0,,,61-70,,K. Irving misses 2-pt shot from 11 ft (block by B. Lopez)
8:21.0,Defensive rebound by K. Caldwell-Pope,,61-70,,
8:19.0,K. Caldwell-Pope makes 2-pt shot from 13 ft,2,63-70,,
8:18.0,,,63-70,,Boston full timeout
