time,Sacramento,pts.away,score,pts.home,New Orleans
4:24.0,Z. Randolph makes 3-pt shot from 25 ft (assist by D. Fox),3,105-102,,
4:09.0,,,105-104,2,D. Cousins makes 2-pt shot from 1 ft
4:09.0,,,105-104,,Shooting foul by Z. Randolph (drawn by D. Cousins)
4:09.0,,,105-105,1,D. Cousins makes free throw 1 of 1
3:45.0,Z. Randolph makes 3-pt shot from 23 ft,3,108-105,,
3:28.0,,,108-105,,D. Cousins misses 3-pt shot from 26 ft
3:27.0,Defensive rebound by Team,,108-105,,
3:27.0,,,108-105,,Loose ball foul by E. Moore (drawn by D. Fox)
3:15.0,F. Mason makes 2-pt shot from 22 ft,2,110-105,,
3:13.0,,,110-105,,New Orleans full timeout
2:56.0,,,110-107,2,J. Holiday makes 2-pt shot from 16 ft
2:37.0,Z. Randolph misses 3-pt shot from 26 ft,,110-107,,
2:33.0,Offensive rebound by V. Carter,,110-107,,
2:32.0,V. Carter misses 2-pt shot from 2 ft,,110-107,,
2:32.0,,,110-107,,Defensive rebound by A. Davis
2:18.0,,,110-107,,D. Cousins misses 2-pt shot from 5 ft
2:18.0,Defensive rebound by Z. Randolph,,110-107,,
1:54.0,Turnover by Team (shot clock),,110-107,,
1:52.0,Z. Randolph misses 3-pt shot from 25 ft,,110-107,,
1:52.0,Offensive rebound by Team,,110-107,,
1:36.0,,,110-107,,Turnover by J. Holiday (bad pass; steal by D. Fox)
1:34.0,Shooting foul by J. Holiday (drawn by D. Fox),,110-107,,
1:34.0,D. Fox makes free throw 1 of 2,1,111-107,,
1:34.0,D. Fox makes free throw 2 of 2,1,112-107,,
1:20.0,,,112-107,,J. Holiday misses 2-pt shot from 1 ft
1:20.0,Defensive rebound by Team,,112-107,,
0:58.0,F. Mason makes 2-pt shot from 8 ft,2,114-107,,
0:58.0,,,114-107,,New Orleans full timeout
0:54.0,,,114-107,,E. Moore misses 3-pt shot from 26 ft
0:50.0,Defensive rebound by Z. Randolph,,114-107,,
0:32.0,,,114-107,,Personal foul by D. Cousins (drawn by F. Mason)
0:32.0,F. Mason makes free throw 1 of 2,1,115-107,,
0:32.0,F. Mason makes free throw 2 of 2,1,116-107,,
0:29.0,,,116-107,,D. Cousins misses 3-pt shot from 26 ft
0:27.0,,,116-107,,Offensive rebound by E. Moore
0:27.0,,,116-109,2,E. Moore makes 2-pt shot at rim
0:19.0,Turnover by F. Mason (bad pass),,116-109,,
0:13.0,,,116-109,,J. Nelson misses 3-pt shot from 23 ft
0:10.0,Defensive rebound by B. Hield,,116-109,,
0:07.0,Turnover by B. Hield (out of bounds lost ball),,116-109,,
0:06.0,,,116-109,,D. Cousins misses 3-pt shot from 22 ft
0:04.0,Defensive rebound by D. Fox,,116-109,,
0:00.0,F. Mason misses 3-pt shot from 80 ft,,116-109,,
0:00.0,Offensive rebound by Team,,116-109,,
