time,Minnesota,pts.away,score,pts.home,Chicago
3:15.0,Shooting foul by L. Markkanen (drawn by J. Butler),,107-104,,
3:15.0,J. Butler makes free throw 1 of 2,1,108-104,,
3:15.0,T. Gibson enters the game for N. Bjelica,,108-104,,
3:15.0,J. Butler makes free throw 2 of 2,1,109-104,,
3:02.0,,,109-104,,Z. LaVine misses 2-pt shot from 1 ft (block by T. Gibson)
3:02.0,,,109-104,,Offensive rebound by Team
2:56.0,,,109-104,,Z. LaVine misses 2-pt shot from 19 ft
2:53.0,Defensive rebound by T. Gibson,,109-104,,
2:38.0,J. Butler misses 2-pt shot from 12 ft,,109-104,,
2:34.0,Offensive rebound by K. Towns,,109-104,,
2:19.0,A. Wiggins misses 3-pt shot from 22 ft,,109-104,,
2:16.0,,,109-104,,Defensive rebound by Z. LaVine
2:12.0,,,109-104,,Shooting foul by K. Towns (drawn by Z. LaVine)
2:12.0,,,109-105,1,Z. LaVine makes free throw 1 of 2
2:12.0,,,109-106,1,Z. LaVine makes free throw 2 of 2
1:52.0,K. Towns misses 2-pt shot from 19 ft,,109-106,,
1:51.0,Offensive rebound by Team,,109-106,,
1:41.0,J. Butler misses 3-pt shot from 25 ft,,109-106,,
1:39.0,,,109-106,,Defensive rebound by B. Portis
1:31.0,,,109-106,,Z. LaVine misses 3-pt shot from 24 ft
1:26.0,Defensive rebound by A. Wiggins,,109-106,,
1:20.0,T. Gibson makes 2-pt shot from 1 ft (assist by J. Butler),2,111-106,,
1:20.0,,,111-106,,Chicago full timeout
1:11.0,,,111-108,2,Z. LaVine makes 2-pt shot at rim (assist by J. Grant)
0:48.0,Turnover by T. Jones (out of bounds lost ball),,111-108,,
0:41.0,,,111-111,3,Z. LaVine makes 3-pt shot from 24 ft (assist by J. Grant)
0:40.0,Minnesota full timeout,,111-111,,
0:40.0,,,111-111,,D. Nwaba enters the game for J. Grant
0:21.0,J. Butler makes 2-pt shot from 2 ft,2,113-111,,
0:21.0,,,113-111,,Chicago full timeout
0:21.0,,,113-111,,J. Grant enters the game for D. Nwaba
0:18.0,,,113-111,,Shooting foul by J. Butler (drawn by Z. LaVine)
0:18.0,,,113-112,1,Z. LaVine makes free throw 1 of 3
0:18.0,,,113-113,1,Z. LaVine makes free throw 2 of 3
0:18.0,,,113-113,,D. Nwaba enters the game for J. Grant
0:18.0,,,113-114,1,Z. LaVine makes free throw 3 of 3
0:18.0,Minnesota full timeout,,113-114,,
0:06.0,K. Towns misses 3-pt shot from 25 ft,,113-114,,
0:02.0,Offensive rebound by T. Jones,,113-114,,
0:00.0,J. Butler misses 3-pt shot from 22 ft,,113-114,,
0:00.0,,,113-114,,Defensive rebound by D. Nwaba
