time,Utah,pts.away,score,pts.home,Portland
5:08.0,,,78-93,,Shooting foul by R. Gobert (drawn by J. Nurkic)
5:08.0,,,78-93,,J. Nurkic misses free throw 1 of 1
5:08.0,Defensive rebound by R. Rubio,,78-93,,
5:00.0,R. Rubio misses 2-pt shot at rim (block by J. Nurkic),,78-93,,
4:57.0,,,78-93,,Defensive rebound by C. McCollum
4:55.0,,,78-93,,Turnover by E. Turner (out of bounds lost ball)
4:55.0,Utah full timeout,,78-93,,
4:55.0,J. Crowder enters the game for J. Jerebko,,78-93,,
4:44.0,R. Gobert makes 2-pt shot from 1 ft (assist by R. Rubio),2,80-93,,
4:20.0,,,80-96,3,D. Lillard makes 3-pt shot from 25 ft (assist by J. Nurkic)
4:05.0,Turnover by D. Mitchell (lost ball; steal by J. Nurkic),,80-96,,
4:04.0,Personal take foul by R. Rubio (drawn by C. McCollum),,80-96,,
3:46.0,,,80-98,2,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard)
3:30.0,R. Rubio makes 3-pt shot from 25 ft,3,83-98,,
3:06.0,,,83-98,,D. Lillard misses 3-pt shot from 28 ft
3:03.0,Defensive rebound by R. Rubio,,83-98,,
3:03.0,,,83-98,,Personal foul by J. Nurkic
3:03.0,,,83-98,,Technical foul by J. Nurkic
3:03.0,R. Rubio makes technical free throw,1,84-98,,
3:03.0,R. Rubio makes free throw 1 of 2,1,85-98,,
3:03.0,E. Udoh enters the game for J. Ingles,,85-98,,
3:03.0,R. O'Neale enters the game for R. Gobert,,85-98,,
3:03.0,D. Exum enters the game for D. Mitchell,,85-98,,
3:03.0,R. Rubio makes free throw 2 of 2,1,86-98,,
2:50.0,,,86-98,,Shooting foul by E. Udoh (drawn by J. Nurkic)
2:50.0,,,86-99,1,J. Nurkic makes free throw 1 of 2
2:50.0,R. Neto enters the game for R. Rubio,,86-99,,
2:50.0,,,86-99,,J. Nurkic misses free throw 2 of 2
2:48.0,Defensive rebound by R. O'Neale,,86-99,,
2:39.0,D. Exum misses 2-pt shot from 2 ft,,86-99,,
2:33.0,Offensive rebound by E. Udoh,,86-99,,
2:33.0,E. Udoh makes 2-pt shot at rim,2,88-99,,
2:15.0,,,88-99,,J. Nurkic misses 2-pt shot from 4 ft
2:13.0,Defensive rebound by D. Exum,,88-99,,
2:10.0,R. O'Neale misses 3-pt shot from 24 ft,,88-99,,
2:10.0,,,88-99,,Defensive rebound by E. Turner
1:48.0,,,88-99,,C. McCollum misses 2-pt shot from 17 ft
1:45.0,Defensive rebound by R. O'Neale,,88-99,,
1:42.0,Offensive foul by J. Crowder (drawn by D. Lillard),,88-99,,
1:42.0,Turnover by J. Crowder (offensive foul),,88-99,,
1:24.0,,,88-99,,E. Turner misses 3-pt shot from 23 ft
1:22.0,Defensive rebound by R. O'Neale,,88-99,,
1:21.0,Shooting foul by C. McCollum (drawn by J. Crowder),,88-99,,
1:21.0,J. Crowder makes free throw 1 of 2,1,89-99,,
1:21.0,J. Crowder makes free throw 2 of 2,1,90-99,,
1:01.0,,,90-99,,Shooting foul by E. Udoh (drawn by C. McCollum)
1:01.0,,,90-100,1,C. McCollum makes free throw 1 of 2
1:01.0,,,90-100,,W. Baldwin enters the game for D. Lillard
1:01.0,,,90-100,,Z. Collins enters the game for E. Turner
1:01.0,,,90-100,,J. Layman enters the game for A. Aminu
1:01.0,,,90-100,,C. Swanigan enters the game for J. Nurkic
1:01.0,,,90-100,,C. McCollum misses free throw 2 of 2
0:59.0,Defensive rebound by Team,,90-100,,
0:59.0,,,90-100,,P. Connaughton enters the game for C. McCollum
0:52.0,J. Crowder misses 3-pt shot from 26 ft,,90-100,,
0:49.0,,,90-100,,Defensive rebound by C. Swanigan
0:27.0,,,90-102,2,W. Baldwin makes 2-pt shot from 15 ft
0:17.0,R. O'Neale makes 3-pt shot from 26 ft,3,93-102,,
