time,Philadelphia,pts.away,score,pts.home,New Orleans
8:33.0,T. Luwawu-Cabarrot enters the game for F. Korkmaz,,103-103,,
8:19.0,Shooting foul by A. Davis (drawn by A. Johnson),,103-103,,
8:19.0,A. Johnson makes free throw 1 of 2,1,104-103,,
8:19.0,J. Bayless enters the game for J. Redick,,104-103,,
8:19.0,A. Johnson makes free throw 2 of 2,1,105-103,,
8:06.0,,,105-105,2,R. Rondo makes 2-pt shot from 8 ft
7:58.0,D. Saric misses 3-pt shot from 26 ft,,105-105,,
7:54.0,,,105-105,,Defensive rebound by A. Davis
7:42.0,,,105-108,3,J. Holiday makes 3-pt shot from 26 ft (assist by A. Davis)
7:26.0,B. Simmons makes 2-pt shot at rim,2,107-108,,
7:20.0,,,107-111,3,J. Holiday makes 3-pt shot from 23 ft (assist by R. Rondo)
7:00.0,D. Saric misses 2-pt shot from 5 ft (block by A. Davis),,107-111,,
6:57.0,,,107-111,,Defensive rebound by A. Davis
6:53.0,,,107-114,3,A. Davis makes 3-pt shot from 25 ft (assist by R. Rondo)
6:51.0,Philadelphia full timeout,,107-114,,
6:37.0,Shooting foul by J. Holiday (drawn by B. Simmons),,107-114,,
6:37.0,B. Simmons misses free throw 1 of 2,,107-114,,
6:37.0,Offensive rebound by Team,,107-114,,
6:37.0,T. Booker enters the game for D. Saric,,107-114,,
6:37.0,B. Simmons makes free throw 2 of 2,1,108-114,,
6:21.0,,,108-114,,J. Holiday misses 3-pt shot from 25 ft
6:15.0,,,108-114,,Offensive rebound by E. Moore
6:01.0,,,108-117,3,D. Cunningham makes 3-pt shot from 23 ft (assist by A. Davis)
5:44.0,B. Simmons misses 2-pt shot from 12 ft,,108-117,,
5:41.0,,,108-117,,Defensive rebound by J. Holiday
5:21.0,,,108-117,,R. Rondo misses 3-pt shot from 25 ft
5:21.0,Defensive rebound by Team,,108-117,,
5:21.0,J. Redick enters the game for J. Bayless,,108-117,,
5:06.0,Turnover by J. Redick (bad pass; steal by A. Davis),,108-117,,
5:04.0,Personal foul by J. Redick (drawn by J. Holiday),,108-117,,
5:04.0,R. Holmes enters the game for A. Johnson,,108-117,,
4:54.0,,,108-117,,Technical foul by A. Davis (drawn by B. Simmons)
4:54.0,,,108-117,,Turnover by A. Davis (turnover)
4:54.0,B. Simmons makes flagrant free throw 2 of 2,1,109-117,,
4:54.0,B. Simmons makes flagrant free throw 1 of 2,1,110-117,,
4:54.0,D. Saric enters the game for T. Luwawu-Cabarrot,,110-117,,
4:32.0,B. Simmons misses 2-pt shot from 12 ft,,110-117,,
4:32.0,,,110-117,,Defensive rebound by A. Davis
4:32.0,Personal foul by B. Simmons (drawn by A. Davis),,110-117,,
4:16.0,,,110-117,,E. Moore misses 2-pt shot from 18 ft
4:12.0,Defensive rebound by T. Booker,,110-117,,
4:06.0,J. Redick makes 2-pt shot from 22 ft,2,112-117,,
3:47.0,,,112-120,3,J. Holiday makes 3-pt shot from 24 ft
3:28.0,B. Simmons makes 2-pt shot at rim,2,114-120,,
3:13.0,,,114-122,2,A. Davis makes 2-pt shot from 20 ft (assist by R. Rondo)
3:11.0,Philadelphia full timeout,,114-122,,
3:11.0,,,114-122,,New Orleans full timeout
3:11.0,,,114-122,,D. Cousins enters the game for D. Cunningham
3:03.0,Turnover by B. Simmons (bad pass; steal by E. Moore),,114-122,,
2:54.0,,,114-125,3,J. Holiday makes 3-pt shot from 25 ft (assist by R. Rondo)
2:42.0,,,114-125,,Personal foul by E. Moore (drawn by J. Redick)
2:42.0,J. Redick makes free throw 1 of 2,1,115-125,,
2:42.0,J. Redick makes free throw 2 of 2,1,116-125,,
2:36.0,,,116-127,2,E. Moore makes 2-pt shot from 1 ft (assist by R. Rondo)
2:16.0,D. Saric makes 2-pt shot from 7 ft (assist by B. Simmons),2,118-127,,
1:54.0,,,118-127,,A. Davis misses 2-pt shot from 17 ft
1:50.0,Defensive rebound by B. Simmons,,118-127,,
1:41.0,D. Saric misses 3-pt shot from 25 ft,,118-127,,
1:37.0,,,118-127,,Defensive rebound by J. Holiday
1:17.0,,,118-127,,J. Holiday misses 2-pt shot from 21 ft
1:13.0,Defensive rebound by R. Holmes,,118-127,,
1:04.0,T. Booker makes 2-pt shot at rim (assist by D. Saric),2,120-127,,
0:56.0,Personal foul by T. Booker (drawn by A. Davis),,120-127,,
0:49.0,Personal foul by R. Holmes (drawn by J. Holiday),,120-127,,
0:49.0,,,120-128,1,J. Holiday makes free throw 1 of 2
0:49.0,,,120-129,1,J. Holiday makes free throw 2 of 2
0:43.0,B. Simmons makes 2-pt shot at rim,2,122-129,,
0:40.0,Personal foul by B. Simmons (drawn by D. Cousins),,122-129,,
0:40.0,,,122-130,1,D. Cousins makes free throw 1 of 2
0:40.0,,,122-131,1,D. Cousins makes free throw 2 of 2
0:40.0,Philadelphia full timeout,,122-131,,
0:40.0,,,122-131,,D. Cunningham enters the game for A. Davis
0:40.0,J. Bayless enters the game for T. Booker,,122-131,,
0:37.0,B. Simmons makes 2-pt shot from 1 ft (assist by J. Redick),2,124-131,,
0:32.0,,,124-131,,Turnover by J. Holiday (bad pass)
0:26.0,B. Simmons misses 2-pt shot from 8 ft,,124-131,,
0:23.0,,,124-131,,Defensive rebound by D. Cousins
0:01.0,,,124-131,,Turnover by Team (shot clock)
