time,Oklahoma City,pts.away,score,pts.home,Philadelphia
3:03.0,,,94-87,1,J. Embiid makes free throw 2 of 2
2:41.0,R. Westbrook misses 2-pt shot from 19 ft,,94-87,,
2:38.0,,,94-87,,Defensive rebound by R. Covington
2:26.0,,,94-89,2,J. Embiid makes 2-pt shot from 2 ft
2:26.0,,,94-89,,Shooting foul by C. Anthony (drawn by J. Embiid)
2:26.0,,,94-89,,J. Embiid misses free throw 1 of 1
2:24.0,Defensive rebound by R. Westbrook,,94-89,,
2:13.0,R. Westbrook misses 2-pt shot from 1 ft,,94-89,,
2:11.0,,,94-89,,Defensive rebound by B. Simmons
1:55.0,,,94-92,3,D. Saric makes 3-pt shot from 26 ft (assist by J. Redick)
1:32.0,P. George misses 2-pt shot from 20 ft,,94-92,,
1:29.0,Offensive rebound by A. Roberson,,94-92,,
1:11.0,R. Westbrook misses 2-pt shot at rim,,94-92,,
1:08.0,,,94-92,,Defensive rebound by B. Simmons
1:06.0,Personal foul by P. George (drawn by R. Covington),,94-92,,
0:53.0,,,94-94,2,B. Simmons makes 2-pt shot at rim (assist by J. Embiid)
0:53.0,Oklahoma City full timeout,,94-94,,
0:45.0,R. Westbrook misses 2-pt shot from 2 ft,,94-94,,
0:43.0,,,94-94,,Defensive rebound by R. Covington
0:25.0,,,94-94,,Turnover by J. Embiid (out of bounds lost ball)
0:01.0,P. George misses 3-pt shot from 31 ft,,94-94,,
0:01.0,Offensive rebound by Team,,94-94,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: J. Embiid vs. S. Adams (B. Simmons gains possession),,,,Jump ball: J. Embiid vs. S. Adams (B. Simmons gains possession)
4:45.0,Personal foul by C. Anthony (drawn by J. Embiid),,94-94,,
4:36.0,,,94-96,2,J. Embiid makes 2-pt shot at rim (assist by J. Redick)
4:10.0,C. Anthony makes 2-pt shot from 19 ft,2,96-96,,
3:58.0,,,96-96,,R. Covington misses 3-pt shot from 22 ft
3:56.0,Defensive rebound by A. Roberson,,96-96,,
3:56.0,,,96-96,,Personal foul by D. Saric (drawn by A. Roberson)
3:41.0,R. Westbrook misses 3-pt shot from 25 ft,,96-96,,
3:37.0,,,96-96,,Defensive rebound by J. Embiid
3:28.0,,,96-96,,J. Redick misses 3-pt shot from 27 ft
3:25.0,Defensive rebound by C. Anthony,,96-96,,
3:08.0,Turnover by R. Westbrook (bad pass; steal by B. Simmons),,96-96,,
2:50.0,,,96-98,2,J. Embiid makes 2-pt shot from 19 ft (assist by B. Simmons)
2:29.0,C. Anthony misses 2-pt shot from 18 ft,,96-98,,
2:27.0,,,96-98,,Defensive rebound by Team
2:15.0,,,96-98,,Turnover by J. Embiid (lost ball; steal by A. Roberson)
2:08.0,Turnover by A. Roberson (bad pass; steal by B. Simmons),,96-98,,
1:48.0,,,96-100,2,R. Covington makes 2-pt shot from 1 ft (assist by J. Embiid)
1:48.0,Oklahoma City full timeout,,96-100,,
1:39.0,Shooting foul by B. Simmons (drawn by R. Westbrook),,96-100,,
1:39.0,R. Westbrook misses free throw 1 of 2,,96-100,,
1:39.0,Offensive rebound by Team,,96-100,,
1:39.0,R. Westbrook makes free throw 2 of 2,1,97-100,,
1:21.0,,,97-102,2,J. Redick makes 2-pt shot from 21 ft (assist by D. Saric)
1:06.0,P. George makes 3-pt shot from 27 ft (assist by A. Roberson),3,100-102,,
0:42.0,,,100-102,,J. Redick misses 3-pt shot from 34 ft
0:39.0,Defensive rebound by P. George,,100-102,,
0:36.0,R. Westbrook makes 2-pt shot at rim,2,102-102,,
0:36.0,,,102-102,,Philadelphia full timeout
0:29.0,,,102-102,,J. Embiid misses 2-pt shot from 8 ft
0:28.0,Defensive rebound by R. Westbrook,,102-102,,
0:28.0,Oklahoma City full timeout,,102-102,,
0:28.0,A. Abrines enters the game for A. Roberson,,102-102,,
0:08.0,R. Westbrook misses 2-pt shot from 1 ft (block by J. Embiid),,102-102,,
0:08.0,A. Roberson enters the game for A. Abrines,,102-102,,
0:07.0,,,102-102,,Defensive rebound by Team
0:06.0,Personal foul by S. Adams (drawn by J. Embiid),,102-102,,
0:01.0,,,102-102,,D. Saric misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by A. Roberson,,102-102,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
5:00.0,Start of 2nd overtime,,,,Start of 2nd overtime
5:00.0,Jump ball: J. Embiid vs. S. Adams (R. Westbrook gains possession),,,,Jump ball: J. Embiid vs. S. Adams (R. Westbrook gains possession)
4:41.0,C. Anthony makes 2-pt shot from 17 ft,2,104-102,,
4:21.0,,,104-104,2,B. Simmons makes 2-pt shot from 4 ft (assist by J. Embiid)
3:57.0,R. Westbrook misses 3-pt shot from 27 ft,,104-104,,
3:54.0,,,104-104,,Defensive rebound by B. Simmons
3:34.0,,,104-106,2,J. Embiid makes 2-pt shot from 8 ft (assist by D. Saric)
3:20.0,P. George misses 3-pt shot from 23 ft,,104-106,,
3:14.0,,,104-106,,Defensive rebound by J. Embiid
2:58.0,,,104-106,,J. Redick misses 2-pt shot from 2 ft (block by A. Roberson)
2:51.0,Defensive rebound by P. George,,104-106,,
2:49.0,R. Westbrook makes 3-pt shot from 25 ft,3,107-106,,
2:33.0,Personal foul by P. George (drawn by B. Simmons),,107-106,,
2:31.0,,,107-109,3,R. Covington makes 3-pt shot from 26 ft (assist by J. Redick)
2:14.0,P. George makes 2-pt shot from 2 ft (assist by R. Westbrook),2,109-109,,
1:47.0,,,109-109,,Turnover by B. Simmons (bad pass; steal by A. Roberson)
1:33.0,R. Westbrook makes 2-pt shot from 19 ft,2,111-109,,
1:33.0,,,111-109,,Philadelphia full timeout
1:19.0,,,111-109,,R. Covington misses 3-pt shot from 26 ft
1:19.0,,,111-109,,Offensive rebound by Team
1:19.0,Personal foul by S. Adams (drawn by J. Embiid),,111-109,,
1:06.0,,,111-111,2,J. Embiid makes 2-pt shot from 1 ft
0:48.0,R. Westbrook misses 3-pt shot from 27 ft,,111-111,,
0:44.0,,,111-111,,Defensive rebound by Team
0:26.0,,,111-111,,Turnover by J. Embiid (lost ball; steal by A. Roberson)
0:02.0,A. Roberson misses 2-pt shot at rim,,111-111,,
0:01.0,,,111-111,,Defensive rebound by D. Saric
0:01.0,,,111-111,,Philadelphia full timeout
0:00.0,End of 2nd overtime,,,,End of 2nd overtime
5:00.0,Start of 3rd overtime,,,,Start of 3rd overtime
5:00.0,Jump ball: J. Embiid vs. S. Adams (P. George gains possession),,,,Jump ball: J. Embiid vs. S. Adams (P. George gains possession)
4:49.0,R. Westbrook makes 2-pt shot from 21 ft,2,113-111,,
4:36.0,,,113-113,2,D. Saric makes 2-pt shot from 2 ft (assist by B. Simmons)
4:24.0,R. Westbrook misses 2-pt shot from 1 ft,,113-113,,
4:22.0,,,113-113,,Defensive rebound by J. Redick
4:00.0,,,113-113,,D. Saric misses 3-pt shot from 28 ft
3:55.0,Defensive rebound by R. Westbrook,,113-113,,
3:52.0,R. Westbrook makes 2-pt shot from 1 ft,2,115-113,,
3:51.0,,,115-113,,Philadelphia full timeout
3:40.0,,,115-115,2,J. Embiid makes 2-pt shot from 1 ft (assist by B. Simmons)
3:18.0,C. Anthony misses 2-pt shot from 20 ft,,115-115,,
3:15.0,Offensive rebound by R. Westbrook,,115-115,,
2:56.0,R. Westbrook makes 2-pt shot from 19 ft,2,117-115,,
2:43.0,Personal foul by A. Roberson (drawn by J. Redick),,117-115,,
2:40.0,,,117-115,,R. Covington misses 2-pt shot from 2 ft
2:38.0,Defensive rebound by R. Westbrook,,117-115,,
2:23.0,R. Westbrook misses 2-pt shot from 22 ft,,117-115,,
2:21.0,,,117-115,,Defensive rebound by D. Saric
2:12.0,Personal foul by S. Adams (drawn by J. Embiid),,117-115,,
2:12.0,P. Patterson enters the game for S. Adams,,117-115,,
2:03.0,,,117-115,,D. Saric misses 3-pt shot from 25 ft
1:59.0,Defensive rebound by R. Westbrook,,117-115,,
1:58.0,,,117-115,,Personal foul by J. Redick (drawn by R. Westbrook)
1:46.0,R. Westbrook misses 2-pt shot from 11 ft,,117-115,,
1:44.0,,,117-115,,Defensive rebound by D. Saric
1:31.0,,,117-115,,Shooting foul by P. Patterson (drawn by J. Embiid)
1:31.0,,,117-116,1,J. Embiid makes free throw 1 of 2
1:31.0,,,117-117,1,J. Embiid makes free throw 2 of 2
1:09.0,P. George misses 2-pt shot from 10 ft (block by R. Covington),,117-117,,
1:04.0,Offensive rebound by R. Westbrook,,117-117,,
1:03.0,R. Westbrook misses 2-pt shot from 10 ft,,117-117,,
1:03.0,,,117-117,,Defensive rebound by B. Simmons
0:48.0,,,117-117,,J. Embiid misses 2-pt shot from 12 ft
0:42.0,Defensive rebound by P. George,,117-117,,
0:39.0,R. Westbrook misses 2-pt shot from 13 ft (block by J. Embiid),,117-117,,
0:35.0,Offensive rebound by R. Westbrook,,117-117,,
0:33.0,P. George misses 3-pt shot from 26 ft,,117-117,,
0:33.0,Offensive rebound by P. George,,117-117,,
0:27.0,Oklahoma City full timeout,,117-117,,
0:09.0,A. Roberson makes 2-pt shot from 2 ft (assist by R. Westbrook),2,119-117,,
0:09.0,,,119-117,,Philadelphia full timeout
0:01.0,,,119-117,,J. Redick misses 3-pt shot from 28 ft (block by P. Patterson)
0:01.0,Defensive rebound by R. Westbrook,,119-117,,
0:01.0,,,119-117,,Personal foul by J. Embiid (drawn by R. Westbrook)
0:01.0,R. Westbrook misses free throw 1 of 2,,119-117,,
0:01.0,Offensive rebound by Team,,119-117,,
0:01.0,R. Westbrook misses free throw 2 of 2,,119-117,,
0:00.0,,,119-117,,Defensive rebound by R. Covington
