time,Washington,pts.away,score,pts.home,Oklahoma City
4:56.0,Defensive rebound by B. Beal,,94-103,,
4:43.0,K. Oubre misses 3-pt shot from 24 ft,,94-103,,
4:41.0,,,94-103,,Defensive rebound by S. Adams
4:35.0,,,94-103,,P. George misses 3-pt shot from 22 ft
4:35.0,,,94-103,,Offensive rebound by C. Anthony
4:34.0,,,94-105,2,C. Anthony makes 2-pt shot at rim
4:17.0,B. Beal makes 3-pt shot from 24 ft (assist by J. Wall),3,97-105,,
3:59.0,,,97-108,3,T. Ferguson makes 3-pt shot from 23 ft (assist by C. Anthony)
3:35.0,Shooting foul by S. Adams (drawn by B. Beal),,97-108,,
3:35.0,B. Beal misses free throw 1 of 2,,97-108,,
3:35.0,Offensive rebound by Team,,97-108,,
3:35.0,B. Beal makes free throw 2 of 2,1,98-108,,
3:16.0,,,98-108,,R. Westbrook misses 3-pt shot from 24 ft
3:14.0,Defensive rebound by B. Beal,,98-108,,
3:08.0,B. Beal makes 2-pt shot from 1 ft,2,100-108,,
3:03.0,,,100-108,,Shooting foul by M. Morris (drawn by R. Westbrook)
3:03.0,,,100-109,1,R. Westbrook makes free throw 1 of 2
3:03.0,,,100-110,1,R. Westbrook makes free throw 2 of 2
2:50.0,J. Wall misses 3-pt shot from 25 ft,,100-110,,
2:46.0,Offensive rebound by O. Porter,,100-110,,
2:45.0,B. Beal makes 3-pt shot from 24 ft,3,103-110,,
2:30.0,,,103-112,2,R. Westbrook makes 2-pt shot from 19 ft
2:05.0,K. Oubre misses 3-pt shot from 22 ft,,103-112,,
2:03.0,Offensive rebound by O. Porter,,103-112,,
2:02.0,J. Wall makes 3-pt shot from 24 ft (assist by O. Porter),3,106-112,,
1:44.0,,,106-114,2,R. Westbrook makes 2-pt shot at rim
1:35.0,Turnover by B. Beal (out of bounds lost ball),,106-114,,
1:16.0,,,106-116,2,C. Anthony makes 2-pt shot at rim (assist by R. Westbrook)
1:09.0,B. Beal misses 3-pt shot from 27 ft,,106-116,,
1:06.0,Offensive rebound by Team,,106-116,,
1:03.0,Turnover by K. Oubre (bad pass; steal by S. Adams),,106-116,,
1:02.0,,,106-118,2,R. Westbrook makes 2-pt shot at rim
0:53.0,J. Wall makes 3-pt shot from 25 ft,3,109-118,,
0:34.0,,,109-118,,P. George misses 3-pt shot from 25 ft
0:28.0,,,109-118,,Offensive rebound by T. Ferguson
0:15.0,,,109-121,3,R. Westbrook makes 3-pt shot from 25 ft
0:11.0,J. Wall makes 3-pt shot from 26 ft,3,112-121,,
