time,Houston,pts.away,score,pts.home,New York
3:59.0,D. Jackson enters the game for J. Harden,,114-90,,
3:55.0,Z. Qi misses 3-pt shot from 27 ft,,114-90,,
3:51.0,Offensive rebound by D. Jackson,,114-90,,
3:37.0,Turnover by Z. Qi (lost ball; steal by F. Ntilikina),,114-90,,
3:37.0,Loose ball foul by Z. Qi (drawn by F. Ntilikina),,114-90,,
3:20.0,,,114-90,,K. Porzingis misses 3-pt shot from 27 ft
3:16.0,Defensive rebound by C. Capela,,114-90,,
3:12.0,T. Ariza misses 3-pt shot from 23 ft,,114-90,,
3:07.0,,,114-90,,Defensive rebound by D. Dotson
3:05.0,,,114-92,2,K. Porzingis makes 2-pt shot from 5 ft (assist by D. Dotson)
3:05.0,,,114-92,,Shooting foul by D. Jackson (drawn by K. Porzingis)
3:05.0,,,114-93,1,K. Porzingis makes free throw 1 of 1
2:43.0,,,114-93,,Shooting block foul by W. Hernangomez (drawn by Z. Qi)
2:43.0,,,114-93,,New York full timeout
2:43.0,Z. Qi makes free throw 1 of 2,1,115-93,,
2:43.0,Z. Qi misses free throw 2 of 2,,115-93,,
2:41.0,,,115-93,,Defensive rebound by K. Porzingis
2:24.0,,,115-93,,Shooting foul by Z. Qi (drawn by K. Porzingis)
2:24.0,,,115-94,1,K. Porzingis makes free throw 1 of 2
2:24.0,,,115-95,1,K. Porzingis makes free throw 2 of 2
2:05.0,Turnover by C. Capela (turnover),,115-95,,
1:51.0,,,115-95,,Offensive foul by W. Hernangomez (drawn by C. Capela)
1:51.0,,,115-95,,Turnover by W. Hernangomez (offensive foul)
1:51.0,,,115-95,,D. McDermott enters the game for K. Porzingis
1:40.0,B. Brown misses 2-pt shot from 6 ft,,115-95,,
1:38.0,Offensive rebound by C. Capela,,115-95,,
1:37.0,D. Jackson makes 2-pt shot at rim,2,117-95,,
1:21.0,,,117-95,,R. Sessions misses 2-pt shot from 3 ft
1:19.0,Defensive rebound by C. Capela,,117-95,,
1:15.0,Z. Qi makes 2-pt shot at rim (assist by B. Brown),2,119-95,,
0:58.0,,,119-97,2,W. Hernangomez makes 2-pt shot from 1 ft (assist by F. Ntilikina)
0:48.0,D. Jackson misses 3-pt shot from 25 ft,,119-97,,
0:45.0,,,119-97,,Defensive rebound by F. Ntilikina
0:33.0,,,119-97,,D. McDermott misses 3-pt shot from 23 ft
0:30.0,Defensive rebound by C. Capela,,119-97,,
0:26.0,Z. Qi misses 3-pt shot from 27 ft,,119-97,,
0:23.0,,,119-97,,Defensive rebound by D. Dotson
0:10.0,,,119-97,,W. Hernangomez misses 2-pt shot from 4 ft
0:08.0,Defensive rebound by C. Capela,,119-97,,
