time,Miami,pts.away,score,pts.home,Utah
3:07.0,,,71-74,1,R. Gobert makes free throw 1 of 1
2:47.0,H. Whiteside misses 2-pt shot from 7 ft (block by R. Gobert),,71-74,,
2:47.0,Offensive rebound by Team,,71-74,,
2:45.0,D. Waiters makes 3-pt shot from 23 ft (assist by G. Dragic),3,74-74,,
2:28.0,,,74-74,,A. Burks misses 3-pt shot from 25 ft
2:24.0,Defensive rebound by H. Whiteside,,74-74,,
2:09.0,D. Waiters makes 2-pt shot from 19 ft,2,76-74,,
1:46.0,,,76-74,,Turnover by J. Ingles (bad pass; steal by G. Dragic)
1:27.0,J. Richardson makes 3-pt shot from 23 ft (assist by D. Waiters),3,79-74,,
1:27.0,,,79-74,,Utah full timeout
1:19.0,,,79-74,,R. Hood misses 3-pt shot from 25 ft
1:16.0,Defensive rebound by T. Johnson,,79-74,,
1:00.0,D. Waiters makes 3-pt shot from 25 ft,3,82-74,,
0:48.0,,,82-74,,R. Hood misses 3-pt shot from 24 ft
0:44.0,Defensive rebound by D. Waiters,,82-74,,
0:31.0,Shooting foul by D. Mitchell (drawn by D. Waiters),,82-74,,
0:31.0,D. Waiters makes free throw 1 of 2,1,83-74,,
0:31.0,D. Waiters makes free throw 2 of 2,1,84-74,,
0:31.0,,,84-74,,Utah full timeout
0:28.0,,,84-74,,D. Mitchell misses 3-pt shot from 24 ft
0:24.0,Defensive rebound by H. Whiteside,,84-74,,
0:01.0,Turnover by Team (shot clock),,84-74,,
