time,New York,pts.away,score,pts.home,Sacramento
5:39.0,F. Ntilikina enters the game for C. Lee,,56-72,,
5:32.0,T. Burke misses 2-pt shot from 11 ft,,56-72,,
5:28.0,,,56-72,,Defensive rebound by B. Caboclo
5:15.0,,,56-74,2,K. Koufos makes 2-pt shot from 6 ft (assist by B. Bogdanovic)
5:02.0,T. Hardaway misses 2-pt shot from 9 ft,,56-74,,
4:56.0,Offensive rebound by E. Kanter,,56-74,,
4:56.0,E. Kanter makes 2-pt shot at rim,2,58-74,,
4:48.0,,,58-74,,B. Bogdanovic misses 3-pt shot from 27 ft
4:45.0,Defensive rebound by E. Kanter,,58-74,,
4:34.0,T. Burke misses 2-pt shot from 8 ft,,58-74,,
4:30.0,,,58-74,,Defensive rebound by D. Fox
4:27.0,,,58-74,,Sacramento full timeout
4:27.0,,,58-74,,B. Hield enters the game for B. Bogdanovic
4:14.0,,,58-74,,D. Fox misses 3-pt shot from 24 ft
4:09.0,Defensive rebound by E. Kanter,,58-74,,
3:51.0,T. Hardaway makes 2-pt shot from 2 ft,2,60-74,,
3:29.0,,,60-74,,F. Mason enters the game for D. Fox
3:29.0,,,60-74,,V. Carter enters the game for B. Caboclo
3:29.0,K. O'Quinn enters the game for E. Kanter,,60-74,,
3:27.0,,,60-77,2,V. Carter makes 3-pt shot from 23 ft (assist by J. Jackson)
3:04.0,F. Ntilikina makes 3-pt shot from 25 ft (assist by T. Burke),3,63-77,,
2:40.0,,,63-77,,B. Hield misses 2-pt shot from 17 ft
2:37.0,Defensive rebound by L. Thomas,,63-77,,
2:33.0,T. Burke makes 2-pt shot from 16 ft,2,65-77,,
2:08.0,,,65-79,2,K. Koufos makes 2-pt shot from 7 ft
1:53.0,F. Ntilikina misses 2-pt shot from 10 ft,,65-79,,
1:50.0,,,65-79,,Defensive rebound by V. Carter
1:37.0,,,65-79,,J. Jackson misses 2-pt shot from 6 ft
1:34.0,Defensive rebound by T. Burke,,65-79,,
1:28.0,T. Hardaway misses 3-pt shot from 24 ft,,65-79,,
1:24.0,Offensive rebound by T. Burke,,65-79,,
1:17.0,K. O'Quinn makes 2-pt shot from 10 ft (assist by T. Burke),2,67-79,,
1:04.0,,,67-81,2,F. Mason makes 2-pt shot from 10 ft
0:49.0,,,67-81,,Personal foul by K. Koufos (drawn by T. Hardaway)
0:49.0,,,67-81,,S. Labissiere enters the game for K. Koufos
0:49.0,T. Williams enters the game for T. Hardaway,,67-81,,
0:43.0,T. Burke makes 2-pt shot from 13 ft,2,69-81,,
0:24.0,,,69-83,2,J. Jackson makes 2-pt shot from 1 ft (assist by S. Labissiere)
0:02.0,L. Thomas makes 3-pt shot from 22 ft (assist by T. Burke),3,72-83,,
0:00.0,,,72-83,,B. Hield misses 3-pt shot from 35 ft
0:00.0,,,72-83,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,72-85,2,S. Labissiere makes 2-pt shot from 6 ft (assist by G. Temple)
11:19.0,F. Ntilikina misses 2-pt shot from 8 ft,,72-85,,
11:17.0,,,72-85,,Defensive rebound by S. Labissiere
11:01.0,,,72-87,2,B. Hield makes 2-pt shot from 18 ft (assist by G. Temple)
10:46.0,Shooting foul by F. Mason (drawn by T. Burke),,72-87,,
10:46.0,T. Burke misses free throw 1 of 2,,72-87,,
10:46.0,Offensive rebound by Team,,72-87,,
10:46.0,C. Lee enters the game for F. Ntilikina,,72-87,,
10:46.0,M. Beasley enters the game for L. Thomas,,72-87,,
10:46.0,T. Burke makes free throw 2 of 2,1,73-87,,
10:27.0,,,73-90,3,V. Carter makes 3-pt shot from 24 ft (assist by G. Temple)
10:09.0,Turnover by T. Williams (out of bounds lost ball),,73-90,,
9:48.0,,,73-92,2,B. Hield makes 2-pt shot from 19 ft
9:31.0,K. O'Quinn misses 2-pt shot from 2 ft (block by S. Labissiere),,73-92,,
9:27.0,Offensive rebound by M. Beasley,,73-92,,
9:25.0,M. Beasley misses 2-pt shot at rim,,73-92,,
9:24.0,Offensive rebound by K. O'Quinn,,73-92,,
9:22.0,Turnover by K. O'Quinn (lost ball; steal by F. Mason),,73-92,,
9:19.0,,,73-92,,G. Temple misses 3-pt shot from 25 ft
9:15.0,Defensive rebound by T. Williams,,73-92,,
9:02.0,Turnover by M. Beasley (lost ball; steal by G. Temple),,73-92,,
8:56.0,,,73-92,,Turnover by B. Hield (bad pass; steal by T. Burke)
8:52.0,K. O'Quinn makes 2-pt shot from 1 ft (assist by T. Burke),2,75-92,,
