time,LA Lakers,pts.away,score,pts.home,Philadelphia
7:49.0,B. Ingram enters the game for A. Bogut,,88-83,,
7:44.0,K. Kuzma misses 2-pt shot from 9 ft,,88-83,,
7:43.0,,,88-83,,Defensive rebound by Team
7:29.0,,,88-83,,Personal foul by A. Johnson (drawn by J. Clarkson)
7:29.0,,,88-83,,Turnover by A. Johnson (turnover)
7:09.0,J. Clarkson makes 2-pt shot at rim,2,90-83,,
7:00.0,,,90-83,,B. Simmons misses 2-pt shot from 1 ft (block by J. Randle)
6:56.0,,,90-83,,Offensive rebound by R. Holmes
6:56.0,,,90-85,2,R. Holmes makes 2-pt shot at rim
6:56.0,,,90-85,,Shooting foul by J. Randle (drawn by R. Holmes)
6:56.0,,,90-86,1,R. Holmes makes free throw 1 of 1
6:37.0,B. Ingram misses 2-pt shot from 5 ft (block by A. Johnson),,90-86,,
6:34.0,Offensive rebound by J. Randle,,90-86,,
6:32.0,J. Randle makes 2-pt shot from 1 ft,2,92-86,,
6:23.0,,,92-88,2,R. Covington makes 2-pt shot from 5 ft
6:23.0,LA Lakers full timeout,,92-88,,
6:23.0,,,92-88,,J. Embiid enters the game for A. Johnson
6:15.0,,,92-88,,Personal foul by J. Redick (drawn by J. Clarkson)
6:06.0,,,92-88,,Personal foul by B. Simmons (drawn by B. Ingram)
6:06.0,B. Ingram makes free throw 1 of 2,1,93-88,,
6:06.0,K. Caldwell-Pope enters the game for K. Kuzma,,93-88,,
6:06.0,L. Nance enters the game for J. Clarkson,,93-88,,
6:06.0,B. Lopez enters the game for J. Randle,,93-88,,
6:06.0,B. Ingram misses free throw 2 of 2,,93-88,,
6:04.0,,,93-88,,Defensive rebound by B. Simmons
5:51.0,,,93-88,,Turnover by J. Redick (lost ball; steal by K. Caldwell-Pope)
5:40.0,B. Ingram makes 2-pt shot from 22 ft,2,95-88,,
5:38.0,,,95-88,,Philadelphia full timeout
5:27.0,,,95-88,,Shooting foul by B. Lopez (drawn by J. Embiid)
5:27.0,,,95-89,1,J. Embiid makes free throw 1 of 2
5:27.0,,,95-90,1,J. Embiid makes free throw 2 of 2
5:16.0,Turnover by B. Ingram (bad pass; steal by J. Embiid),,95-90,,
5:06.0,,,95-92,2,J. Embiid makes 2-pt shot from 1 ft (assist by B. Simmons)
4:44.0,B. Ingram misses 2-pt shot from 12 ft,,95-92,,
4:42.0,Offensive rebound by L. Nance,,95-92,,
4:38.0,Jump ball: R. Covington vs. L. Nance (K. Caldwell-Pope gains possession),,,,Jump ball: R. Covington vs. L. Nance (K. Caldwell-Pope gains possession)
4:26.0,Offensive foul by B. Lopez (drawn by B. Simmons),,95-92,,
4:26.0,Turnover by B. Lopez (offensive foul),,95-92,,
4:26.0,J. Randle enters the game for B. Lopez,,95-92,,
4:05.0,,,95-94,2,R. Covington makes 2-pt shot from 8 ft (assist by B. Simmons)
3:47.0,J. Randle makes 2-pt shot from 1 ft (assist by B. Ingram),2,97-94,,
3:47.0,Shooting foul by R. Covington (drawn by J. Randle),,97-94,,
3:47.0,J. Randle makes free throw 1 of 1,1,98-94,,
3:32.0,,,98-96,2,R. Holmes makes 2-pt shot from 2 ft (assist by J. Embiid)
3:32.0,,,98-96,,Shooting foul by B. Ingram (drawn by R. Holmes)
3:32.0,,,98-97,1,R. Holmes makes free throw 1 of 1
3:12.0,J. Randle makes 2-pt shot from 2 ft (assist by L. Ball),2,100-97,,
2:55.0,,,100-99,2,J. Embiid makes 2-pt shot from 10 ft
2:38.0,Shooting foul by J. Embiid (drawn by J. Randle),,100-99,,
2:38.0,J. Randle misses free throw 1 of 2,,100-99,,
2:38.0,Offensive rebound by Team,,100-99,,
2:38.0,J. Randle makes free throw 2 of 2,1,101-99,,
2:22.0,,,101-101,2,R. Holmes makes 2-pt shot at rim (assist by J. Embiid)
2:22.0,LA Lakers full timeout,,101-101,,
2:08.0,J. Randle makes 2-pt shot from 1 ft (assist by B. Ingram),2,103-101,,
1:45.0,,,103-101,,Turnover by J. Embiid (lost ball; steal by J. Randle)
1:29.0,B. Ingram misses 2-pt shot from 17 ft,,103-101,,
1:27.0,,,103-101,,Defensive rebound by R. Holmes
1:22.0,,,103-101,,Turnover by J. Redick (lost ball; steal by K. Caldwell-Pope)
1:20.0,Shooting foul by B. Simmons (drawn by K. Caldwell-Pope),,103-101,,
1:20.0,K. Caldwell-Pope makes free throw 1 of 2,1,104-101,,
1:20.0,K. Caldwell-Pope misses free throw 2 of 2,,104-101,,
1:18.0,,,104-101,,Defensive rebound by B. Simmons
1:09.0,Personal foul by L. Nance (drawn by R. Holmes),,104-101,,
1:09.0,,,104-101,,R. Holmes misses free throw 1 of 2
1:09.0,,,104-101,,Offensive rebound by Team
1:09.0,,,104-102,1,R. Holmes makes free throw 2 of 2
0:47.0,Turnover by J. Randle (out of bounds lost ball),,104-102,,
0:39.0,,,104-102,,Shooting foul by J. Randle (drawn by J. Embiid)
0:39.0,,,104-103,1,J. Embiid makes free throw 1 of 2
0:39.0,,,104-104,1,J. Embiid makes free throw 2 of 2
0:29.0,L. Ball misses 3-pt shot from 27 ft,,104-104,,
0:26.0,,,104-104,,Defensive rebound by B. Simmons
0:12.0,,,104-104,,J. Embiid misses 2-pt shot from 5 ft
0:10.0,Defensive rebound by L. Ball,,104-104,,
0:02.0,B. Ingram makes 3-pt shot from 27 ft (assist by L. Ball),3,107-104,,
0:00.0,A. Bogut enters the game for J. Randle,,107-104,,
0:00.0,,,107-104,,R. Holmes misses 3-pt shot from 25 ft
0:00.0,,,107-104,,Offensive rebound by Team
