time,Phoenix,pts.away,score,pts.home,Houston
1:04.0,,,101-97,,J. Harden misses free throw 1 of 2
1:04.0,,,101-97,,Offensive rebound by Team
1:04.0,,,101-97,,J. Harden misses free throw 2 of 2
1:03.0,Defensive rebound by Team,,101-97,,
0:46.0,Turnover by T. Ulis (bad pass; steal by C. Capela),,101-97,,
0:46.0,Personal block foul by M. Chriss (drawn by P. Tucker),,101-97,,
0:46.0,,,101-97,,P. Tucker misses free throw 1 of 2
0:46.0,,,101-97,,Offensive rebound by Team
0:46.0,,,101-98,1,P. Tucker makes free throw 2 of 2
0:21.0,T. Ulis misses 3-pt shot from 39 ft,,101-98,,
0:19.0,,,101-98,,Defensive rebound by J. Johnson
0:12.0,,,101-101,3,J. Harden makes 3-pt shot from 25 ft
0:12.0,Phoenix full timeout,,101-101,,
0:01.0,J. Jackson makes 2-pt shot from 16 ft,2,103-101,,
0:01.0,,,103-101,,Houston full timeout
0:01.0,,,103-101,,G. Green enters the game for C. Capela
0:01.0,D. Bender enters the game for D. House,,103-101,,
0:01.0,S. Harrison enters the game for T. Daniels,,103-101,,
0:00.0,,,103-104,3,G. Green makes 3-pt shot from 23 ft (assist by T. Ariza)
