time,Houston,pts.away,score,pts.home,San Antonio
11:21.0,,,56-38,,L. Aldridge misses 2-pt shot from 12 ft
11:19.0,Defensive rebound by J. Harden,,56-38,,
11:10.0,J. Harden misses 2-pt shot from 8 ft (block by D. Green),,56-38,,
11:07.0,,,56-38,,Defensive rebound by L. Aldridge
11:04.0,,,56-38,,D. Green misses 3-pt shot from 24 ft
11:04.0,,,56-38,,Offensive rebound by D. Murray
10:58.0,,,56-38,,P. Mills misses 3-pt shot from 24 ft
10:58.0,Defensive rebound by C. Capela,,56-38,,
10:49.0,,,56-38,,Personal foul by P. Mills (drawn by C. Paul)
10:34.0,C. Capela misses 2-pt shot from 1 ft,,56-38,,
10:34.0,Offensive rebound by L. Mbah a Moute,,56-38,,
10:23.0,J. Harden misses 3-pt shot from 26 ft,,56-38,,
10:23.0,,,56-38,,Defensive rebound by D. Murray
10:13.0,,,56-41,3,D. Green makes 3-pt shot from 23 ft (assist by P. Mills)
9:51.0,L. Mbah a Moute misses 3-pt shot from 26 ft,,56-41,,
9:51.0,,,56-41,,Defensive rebound by K. Anderson
9:46.0,,,56-43,2,P. Mills makes 2-pt shot from 1 ft (assist by K. Anderson)
9:30.0,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by C. Paul),3,59-43,,
9:03.0,,,59-43,,K. Anderson misses 3-pt shot from 23 ft
9:03.0,,,59-43,,Offensive rebound by D. Murray
8:57.0,,,59-45,2,D. Murray makes 2-pt shot from 1 ft
8:44.0,C. Capela makes 2-pt shot from 4 ft (assist by C. Paul),2,61-45,,
8:44.0,Shooting foul by D. Green (drawn by C. Capela),,61-45,,
8:44.0,C. Capela makes free throw 1 of 1,1,62-45,,
8:37.0,,,62-45,,Turnover by P. Mills (bad pass)
8:23.0,C. Paul misses 3-pt shot from 25 ft,,62-45,,
8:19.0,,,62-45,,Defensive rebound by D. Murray
8:16.0,,,62-45,,P. Mills misses 3-pt shot from 25 ft
8:16.0,Defensive rebound by R. Anderson,,62-45,,
8:07.0,C. Paul misses 2-pt shot from 1 ft (block by K. Anderson),,62-45,,
8:07.0,Offensive rebound by C. Capela,,62-45,,
8:01.0,C. Capela makes 2-pt shot from 2 ft,2,64-45,,
7:53.0,,,64-47,2,D. Murray makes 2-pt shot from 14 ft
7:26.0,L. Mbah a Moute makes 2-pt shot at rim (assist by R. Anderson),2,66-47,,
7:11.0,,,66-49,2,D. Green makes 2-pt shot from 2 ft
7:11.0,,,66-49,,Shooting foul by R. Anderson (drawn by D. Green)
7:11.0,,,66-50,1,D. Green makes free throw 1 of 1
6:55.0,L. Mbah a Moute misses 3-pt shot from 22 ft,,66-50,,
6:55.0,,,66-50,,Defensive rebound by D. Murray
6:47.0,,,66-50,,P. Mills misses 3-pt shot from 23 ft
6:47.0,,,66-50,,Offensive rebound by L. Aldridge
6:38.0,,,66-52,2,K. Anderson makes 2-pt shot from 1 ft (assist by D. Green)
6:17.0,C. Capela misses 2-pt shot from 6 ft,,66-52,,
6:17.0,Offensive rebound by R. Anderson,,66-52,,
6:12.0,R. Anderson makes 2-pt shot at rim,2,68-52,,
6:07.0,,,68-52,,Turnover by D. Murray (out of bounds lost ball)
6:07.0,,,68-52,,San Antonio full timeout
6:07.0,N. Hilario enters the game for C. Paul,,68-52,,
6:07.0,G. Green enters the game for C. Capela,,68-52,,
6:07.0,P. Tucker enters the game for R. Anderson,,68-52,,
5:48.0,J. Harden makes 3-pt shot from 26 ft,3,71-52,,
5:36.0,,,71-54,2,K. Anderson makes 2-pt shot from 1 ft (assist by P. Mills)
5:36.0,,,71-54,,Shooting foul by G. Green (drawn by K. Anderson)
5:36.0,,,71-55,1,K. Anderson makes free throw 1 of 1
5:25.0,J. Harden misses 3-pt shot from 26 ft,,71-55,,
5:20.0,,,71-55,,Defensive rebound by D. Murray
5:13.0,,,71-57,2,D. Green makes 2-pt shot at rim (assist by D. Murray)
5:12.0,,,71-57,,Personal foul by K. Anderson (drawn by J. Harden)
4:56.0,G. Green misses 3-pt shot from 26 ft,,71-57,,
4:53.0,,,71-57,,Defensive rebound by P. Mills
4:42.0,,,71-57,,D. Murray misses 2-pt shot from 1 ft
4:42.0,Defensive rebound by J. Harden,,71-57,,
4:35.0,P. Tucker makes 3-pt shot from 22 ft (assist by N. Hilario),3,74-57,,
4:14.0,,,74-57,,P. Mills misses 3-pt shot from 25 ft
4:14.0,Defensive rebound by P. Tucker,,74-57,,
4:00.0,P. Tucker misses 3-pt shot from 22 ft,,74-57,,
4:00.0,,,74-57,,Defensive rebound by L. Aldridge
3:45.0,,,74-60,3,D. Green makes 3-pt shot from 23 ft (assist by D. Murray)
3:29.0,Turnover by N. Hilario (bad pass; steal by D. Green),,74-60,,
3:29.0,Personal foul by G. Green (drawn by D. Green),,74-60,,
3:29.0,,,74-60,,M. Ginobili enters the game for K. Anderson
3:29.0,,,74-60,,T. Parker enters the game for D. Murray
3:29.0,,,74-60,,B. Forbes enters the game for P. Mills
3:14.0,,,74-60,,Turnover by M. Ginobili (bad pass; steal by N. Hilario)
3:09.0,Shooting foul by M. Ginobili (drawn by J. Harden),,74-60,,
3:09.0,J. Harden makes free throw 1 of 2,1,75-60,,
3:09.0,J. Harden makes free throw 2 of 2,1,76-60,,
2:56.0,,,76-60,,Shooting foul by L. Mbah a Moute (drawn by B. Forbes)
2:56.0,Houston full timeout,,76-60,,
2:56.0,,,76-60,,P. Gasol enters the game for L. Aldridge
2:56.0,,,76-60,,D. Hilliard enters the game for D. Green
2:56.0,R. Anderson enters the game for L. Mbah a Moute,,76-60,,
2:56.0,,,76-61,1,B. Forbes makes free throw 1 of 2
2:56.0,,,76-62,1,B. Forbes makes free throw 2 of 2
2:44.0,G. Green misses 3-pt shot from 25 ft,,76-62,,
2:43.0,Offensive rebound by Team,,76-62,,
2:43.0,,,76-62,,Loose ball foul by T. Parker (drawn by P. Tucker)
2:43.0,P. Tucker makes free throw 1 of 2,1,77-62,,
2:43.0,P. Tucker makes free throw 2 of 2,1,78-62,,
2:31.0,,,78-62,,B. Forbes misses 3-pt shot from 24 ft
2:28.0,Defensive rebound by P. Tucker,,78-62,,
2:07.0,N. Hilario misses 2-pt shot at rim (block by P. Gasol),,78-62,,
2:07.0,,,78-62,,Defensive rebound by P. Gasol
2:00.0,,,78-62,,Shooting foul by N. Hilario (drawn by P. Gasol)
2:00.0,,,78-63,1,P. Gasol makes free throw 1 of 2
2:00.0,,,78-64,1,P. Gasol makes free throw 2 of 2
1:47.0,G. Green makes 2-pt shot from 12 ft,2,80-64,,
1:28.0,,,80-64,,Turnover by M. Ginobili (bad pass)
1:28.0,C. Paul enters the game for G. Green,,80-64,,
1:13.0,J. Harden misses 3-pt shot from 25 ft,,80-64,,
1:09.0,,,80-64,,Defensive rebound by D. Hilliard
1:02.0,Personal foul by R. Anderson (drawn by P. Gasol),,80-64,,
1:02.0,,,80-65,1,P. Gasol makes free throw 1 of 2
1:02.0,,,80-66,1,P. Gasol makes free throw 2 of 2
0:39.0,J. Harden misses 3-pt shot from 27 ft,,80-66,,
0:36.0,,,80-66,,Defensive rebound by P. Gasol
0:34.0,,,80-66,,Shooting foul by J. Harden (drawn by D. Hilliard)
0:34.0,,,80-67,1,D. Hilliard makes free throw 1 of 2
0:34.0,,,80-68,1,D. Hilliard makes free throw 2 of 2
0:28.0,C. Paul misses technical free throw,,80-68,,
0:28.0,Offensive rebound by Team,,80-68,,
0:12.0,J. Harden misses 3-pt shot from 26 ft,,80-68,,
0:08.0,Offensive rebound by N. Hilario,,80-68,,
0:05.0,P. Tucker makes 2-pt shot from 20 ft (assist by R. Anderson),2,82-68,,
0:00.0,,,82-68,,Shooting foul by P. Tucker (drawn by B. Forbes)
0:00.0,,,82-69,1,B. Forbes makes free throw 1 of 2
0:00.0,,,82-70,1,B. Forbes makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,82-70,,M. Ginobili misses 2-pt shot from 15 ft
11:34.0,Defensive rebound by C. Capela,,82-70,,
11:17.0,C. Paul misses 2-pt shot from 12 ft,,82-70,,
11:15.0,,,82-70,,Defensive rebound by P. Gasol
11:09.0,,,82-72,2,T. Parker makes 2-pt shot at rim
10:53.0,G. Green misses 3-pt shot from 25 ft,,82-72,,
10:50.0,,,82-72,,Defensive rebound by P. Gasol
10:37.0,,,82-74,2,B. Forbes makes 2-pt shot at rim
10:18.0,L. Mbah a Moute misses 3-pt shot from 25 ft,,82-74,,
10:13.0,,,82-74,,Defensive rebound by B. Forbes
9:58.0,,,82-76,2,D. Hilliard makes 2-pt shot from 16 ft
9:57.0,Houston full timeout,,82-76,,
9:32.0,C. Paul makes 2-pt shot from 17 ft,2,84-76,,
9:08.0,,,84-76,,T. Parker misses 3-pt shot from 23 ft
9:05.0,Defensive rebound by C. Capela,,84-76,,
8:53.0,G. Green misses 3-pt shot from 25 ft,,84-76,,
8:50.0,,,84-76,,Defensive rebound by P. Gasol
8:40.0,,,84-76,,P. Gasol misses 3-pt shot from 23 ft
8:37.0,Defensive rebound by R. Anderson,,84-76,,
8:30.0,Turnover by C. Paul (step out of bounds),,84-76,,
8:30.0,,,84-76,,P. Mills enters the game for T. Parker
8:16.0,,,84-76,,M. Ginobili misses 2-pt shot at rim (block by C. Capela)
8:16.0,,,84-76,,Offensive rebound by Team
8:16.0,Personal foul by R. Anderson (drawn by P. Gasol),,84-76,,
8:16.0,,,84-76,,D. Green enters the game for M. Ginobili
8:16.0,,,84-76,,D. Murray enters the game for D. Hilliard
8:16.0,P. Tucker enters the game for R. Anderson,,84-76,,
8:11.0,,,84-76,,D. Green misses 3-pt shot from 22 ft
8:08.0,,,84-76,,Offensive rebound by Team
8:01.0,,,84-76,,Turnover by D. Murray (traveling)
7:46.0,C. Paul makes 2-pt shot from 19 ft,2,86-76,,
7:30.0,,,86-76,,Turnover by P. Gasol (lost ball; steal by C. Paul)
7:24.0,G. Green misses 3-pt shot from 26 ft,,86-76,,
7:21.0,Offensive rebound by C. Capela,,86-76,,
7:17.0,C. Paul makes 2-pt shot from 13 ft,2,88-76,,
7:17.0,,,88-76,,San Antonio full timeout
7:17.0,,,88-76,,L. Aldridge enters the game for P. Gasol
7:02.0,,,88-78,2,B. Forbes makes 2-pt shot from 18 ft (assist by L. Aldridge)
6:41.0,C. Paul misses 2-pt shot from 14 ft,,88-78,,
6:38.0,,,88-78,,Defensive rebound by D. Murray
6:33.0,,,88-78,,D. Green misses 2-pt shot from 5 ft (block by C. Capela)
6:29.0,Defensive rebound by L. Mbah a Moute,,88-78,,
6:28.0,P. Tucker misses 3-pt shot from 24 ft,,88-78,,
6:28.0,,,88-78,,Defensive rebound by Team
6:28.0,Personal foul by C. Paul (drawn by P. Mills),,88-78,,
6:28.0,,,88-78,,D. Bertans enters the game for D. Murray
6:28.0,,,88-78,,K. Anderson enters the game for B. Forbes
6:28.0,J. Harden enters the game for C. Paul,,88-78,,
6:16.0,,,88-78,,Turnover by L. Aldridge (bad pass; steal by C. Capela)
6:10.0,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by J. Harden),2,90-78,,
6:10.0,,,90-78,,San Antonio full timeout
5:51.0,,,90-78,,Turnover by D. Green (bad pass; steal by P. Tucker)
5:31.0,J. Harden misses 2-pt shot from 16 ft,,90-78,,
5:27.0,,,90-78,,Defensive rebound by D. Green
5:16.0,,,90-78,,L. Aldridge misses 2-pt shot from 6 ft (block by J. Harden)
5:16.0,,,90-78,,Offensive rebound by Team
5:08.0,,,90-80,2,P. Mills makes 2-pt shot from 12 ft (assist by D. Green)
4:51.0,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden),2,92-80,,
4:30.0,,,92-80,,D. Bertans misses 2-pt shot from 23 ft
4:26.0,Defensive rebound by C. Capela,,92-80,,
4:16.0,L. Mbah a Moute misses 2-pt shot from 20 ft,,92-80,,
4:13.0,,,92-80,,Defensive rebound by D. Green
3:52.0,,,92-82,2,L. Aldridge makes 2-pt shot from 6 ft
3:25.0,P. Tucker misses 3-pt shot from 26 ft,,92-82,,
3:21.0,,,92-82,,Defensive rebound by K. Anderson
3:17.0,,,92-82,,D. Bertans misses 2-pt shot from 3 ft
3:17.0,,,92-82,,Offensive rebound by D. Green
3:03.0,Personal foul by L. Mbah a Moute (drawn by L. Aldridge),,92-82,,
3:03.0,Houston full timeout,,92-82,,
3:03.0,,,92-82,,M. Ginobili enters the game for D. Bertans
3:03.0,,,92-82,,B. Forbes enters the game for K. Anderson
3:03.0,C. Paul enters the game for G. Green,,92-82,,
2:49.0,,,92-85,3,B. Forbes makes 3-pt shot from 24 ft (assist by M. Ginobili)
2:21.0,J. Harden makes 3-pt shot from 25 ft,3,95-85,,
2:03.0,,,95-85,,M. Ginobili misses 3-pt shot from 24 ft
1:55.0,,,95-85,,Offensive rebound by D. Green
1:55.0,,,95-85,,D. Green misses 2-pt shot at rim
1:55.0,,,95-85,,Offensive rebound by L. Aldridge
1:47.0,,,95-85,,P. Mills misses 3-pt shot from 23 ft
1:47.0,Defensive rebound by C. Paul,,95-85,,
1:36.0,J. Harden makes 3-pt shot from 24 ft,3,98-85,,
1:36.0,Shooting foul by M. Ginobili (drawn by J. Harden),,98-85,,
1:36.0,J. Harden makes free throw 1 of 1,1,99-85,,
1:36.0,,,99-85,,San Antonio full timeout
1:36.0,,,99-85,,B. Paul enters the game for P. Mills
1:36.0,,,99-85,,D. Hilliard enters the game for L. Aldridge
1:36.0,,,99-85,,J. Lauvergne enters the game for D. Green
1:36.0,,,99-85,,D. Bertans enters the game for M. Ginobili
1:18.0,,,99-88,3,D. Bertans makes 3-pt shot from 22 ft (assist by D. Hilliard)
1:00.0,L. Mbah a Moute misses 2-pt shot from 1 ft,,99-88,,
0:59.0,,,99-88,,Defensive rebound by D. Hilliard
0:55.0,,,99-88,,B. Forbes misses 2-pt shot at rim
0:55.0,Defensive rebound by C. Paul,,99-88,,
0:34.0,P. Tucker makes 3-pt shot from 23 ft (assist by L. Mbah a Moute),3,102-88,,
0:24.0,,,102-88,,D. Hilliard misses 2-pt shot from 16 ft
